sentence,label_name
"talk to her is so darned assured , we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching . ",positive
's most memorable about circuit ,positive
"video , and so devoid of artifice and purpose ",negative
limited ,negative
at the helm ,positive
"an overstylized , puréed mélange of sex , psychology , drugs and philosophy ",negative
left with a sour taste in your mouth ,negative
put on a show ,positive
afterlife ,positive
its lackadaisical plotting and mindless action ,negative
", sometimes creepy intimacy ",negative
the near-fatal mistake of being what the english call ` too clever by half ,negative
so much farcical ,negative
cult classic ,positive
the tragedy beneath it ,positive
and it is n't that funny ,negative
"an achingly enthralling premise , the film ",positive
but fails to keep it up and settles into clichés . ,negative
gap ,negative
a besotted and obvious drama that tells us nothing new ,negative
"this misty-eyed southern nostalgia piece , ",positive
pomposity ,negative
burns gets caught up in the rush of slapstick thoroughfare . ,negative
that it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened ,negative
an earnest study in despair ,positive
"sometimes murky , always brooding look ",negative
in addition to scoring high for originality of plot ,positive
hollywood has crafted a solid formula for successful animated movies ,positive
while not for every taste ,negative
derailed ,negative
hilarious writer-director himself ,positive
"its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet ",positive
belly laughs ,positive
of exploitative garbage ,negative
hardhearted scrooge ,negative
often food-spittingly ,positive
"energetic , extreme-sports adventure ",positive
you have figured out the con and the players in this debut film by argentine director fabian bielinsky ,positive
but they fascinate in their recklessness . ,positive
suffocating rape-payback horror ,negative
not a good movie ,negative
"when all is said and done , she loves them to pieces -- and ",positive
", amusing , sad and reflective ",positive
rush to the theater for this one ,positive
trotting out threadbare standbys ,negative
to keep things interesting ,positive
getting into too many pointless situations ,negative
"essentially ruined -- or , rather , ",negative
wasting ,negative
"a summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution . ",negative
into clichés ,negative
immensely entertaining ,positive
though it 's equally solipsistic in tone ,positive
dissing the film that they did n't mind the ticket cost ,negative
( `` laissez-passer '' ) ,negative
", like me , think an action film disguised as a war tribute is disgusting to begin with ",negative
friday after next spreads them pretty thin ,negative
to be that rarity among sequels ,positive
is in trouble ,negative
has the dubious distinction of being a really bad imitation of the really bad blair witch project ,negative
is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ? ,negative
unfilmable '' novels ,negative
howard and his co-stars all give committed performances ,positive
really won my heart ,positive
of the long list of renegade-cop tales ,negative
", at times sublime , visuals ",positive
racist portraits ,negative
"is derived from a lobotomy , having had all its vital essence scooped out and discarded ",negative
just about the surest bet for an all-around good time at the movies this summer . ,positive
the script 's bad ideas and awkwardness ,negative
contentious configurations ,negative
the poor quality of pokemon 4 ,negative
bad to be good ,negative
the most accomplished work ,positive
corrupt ,negative
"brings a youthful , out-to-change-the-world aggressiveness ",positive
population ,positive
", composed delivery ",positive
"has all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability ",negative
a credible account of a puzzling real-life happening ,positive
the horror fan who opts to overlook this goofily endearing and well-lensed gorefest ,positive
obnoxious comedy ,negative
considerable talents ,positive
of the things costner movies are known for ,positive
great submarine stories ,positive
"'s a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team ",positive
all the usual spielberg flair ,positive
consistently amusing but ,positive
to laugh at how bad ,negative
a funny yet dark and seedy clash of cultures and generations ,positive
a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart ,positive
"bad , bad movie ",negative
"'s painful to watch witherspoon 's talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama ",negative
"elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry . ",positive
"evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits ",negative
's something vital about the movie . ,positive
"strangers , which opens today in the new york metropolitan area , so distasteful ",negative
: it 's not really funny . ,negative
not-very-funny ,negative
"appalling , ",negative
punch and depth ,positive
any sexual relationship that does n't hurt anyone and works for its participants ,positive
love reading and/or poetry ,positive
recommended ,positive
"there 's no excuse for following up a delightful , well-crafted family film with a computer-generated cold fish . ",negative
"snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this . ",negative
stalking ,negative
in the tries-so-hard-to-be-cool `` clockstoppers ,negative
natural-seeming actors ,positive
a terrible story ,negative
"relies less on forced air than on petter næss ' delicate , clever direction ... and a wonderful , imaginative script by axel hellstenius . ",positive
into an urban hades ,negative
together with a supremely kittenish performance that gradually accumulates more layers ,positive
a semi-autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,negative
"when your subject is illusion versus reality , should n't the reality seem at least passably real ? ",negative
from the movie gods ,positive
silences ,negative
curious about each other against all odds ,positive
it is a remarkably original work . ,positive
", some things are immune to the folly of changing taste and attitude . ",negative
could n't stand to hear ,negative
"feels more like an extended , open-ended poem than a traditionally structured story ",positive
"a stupid , derivative horror film that substitutes extreme ",negative
the wounds of the tortured and self-conscious material ,negative
will ever be anything more than losers ,negative
"tunney , brimming with coltish , neurotic energy , holds the screen like a true star . ",positive
a moving story of determination and the human spirit . ,positive
cute animals ,positive
bilked unsuspecting moviegoers ,negative
good human ,positive
"it 's a hellish , numbing experience to watch , and ",negative
a less-compelling soap opera ,negative
"little action , almost no suspense or believable tension , one-dimensional characters up the wazoo and sets that ",negative
a marvel of production design . ,positive
me feeling refreshed and hopeful ,positive
french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition ,positive
to give the film the substance it so desperately needs ,negative
loosely connected characters and plots that never quite gel ,negative
a freshness and modesty ,positive
's a bargain-basement european pickup . ,negative
the film has an infectious enthusiasm and ,positive
"the movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story , minac drains his movie of all individuality . ",negative
labute continues to improve . ,positive
crime ,negative
's not too much of anything . ,negative
"treats his audience the same way that jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects ",negative
the wild wild west ,positive
a tawdry b-movie scum ,negative
a fat man 's navel ,negative
their story is predictable ,negative
", it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug . ",negative
completely serviceable and quickly forgettable ,negative
"of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing ",negative
while something of bubba ho-tep 's clearly evident quality may end up languishing on a shelf somewhere ,negative
something about how lame it is to try and evade your responsibilities ,negative
take care is nicely performed by a quintet of actresses ,positive
we have no idea what in creation is going on ,negative
"perry 's good and his is an interesting character , ",positive
sticks with its subjects a little longer ,positive
seems to have a knack for wrapping the theater in a cold blanket of urban desperation ,negative
have been right at home as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination ,negative
is guaranteed to lift the spirits of the whole family ,positive
"a more credible script , ",positive
willie would have loved it ,positive
inimitable diaz ,positive
is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama ,positive
by writer-director kurt wimmer ,positive
"from the margin that gives viewers a chance to learn , to grow , to travel ",positive
mildly amusing ,positive
crisp and ,positive
by the full monty ,positive
new inspiration ,positive
gorgeous film ,positive
the comedy is nonexistent . ,negative
intensely lived ,positive
"like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form . ",negative
"pointless , meandering ",negative
vampire fun ,positive
"nothing overly original , mind you , but solidly entertaining . ",positive
fanciful direction ,positive
a very good time ,positive
it will make you wish you were at home watching that movie instead of in the theater watching this one . ,negative
give `` scratch '' a second look ,positive
but it 's great cinematic polemic ,positive
will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche ,negative
the major problem with windtalkers ,negative
no amount of nostalgia for carvey 's glory days ,negative
unsympathetic hero ,negative
mr. audiard 's direction is fluid and quick . ,positive
"the year 's greatest adventure , and jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate ",positive
reap more rewards ,positive
rather than real figures ,negative
achieves its emotional power and moments of revelation ,positive
"death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke . ",negative
are more silly than scary ,negative
be growing ,positive
aspires ,positive
this is the kind of movie that deserves a chance to shine . ,positive
predictable outcome ,negative
as beautifully shaped and ,positive
if considerably less ambitious ,negative
the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow . ,negative
an enjoyably frothy ` date movie ' ... ,positive
"i think it was plato who said , ' i think , therefore i know better than to rush to the theater for this one . ",negative
with passion and energy ,positive
heartwarming and ,positive
uni-dimensional ,negative
the director seems to take an unseemly pleasure in ( the characters ' ) misery and at the same time to congratulate himself for having the guts to confront it . ,negative
"its cast , its cuisine and its quirky tunes ",positive
"below may not mark mr. twohy 's emergence into the mainstream , but his promise remains undiminished . ",positive
watch if you only had a week to live ,positive
without stickiness ,positive
its amiable jerking ,negative
ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side ,positive
a strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet . ,positive
a war tribute ,positive
particularly memorable ,positive
as an exploratory medical procedure or an autopsy ,negative
is both inspiring and pure joy ,positive
it entertaining ,positive
any of these despicable characters ,negative
"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame . ",positive
jackson and co have brought back the value and respect for the term epic cinema . ,positive
brilliance ,positive
drags it back ,negative
has a lot of charm ,positive
's a road-trip drama with too many wrong turns ,negative
this tuxedo ... should have been sent back to the tailor for some major alterations . ,negative
"it might not be 1970s animation , but everything else about it is straight from the saturday morning cartoons -- a retread story , bad writing , and the same old silliness ",negative
damn funny stuff ,positive
repressed ,negative
as a painful elegy and sobering cautionary tale ,positive
"an athlete , a movie star , ",positive
"a baffling subplot involving smuggling drugs inside danish cows falls flat , and if you 're going to alter the bard 's ending , you 'd better have a good alternative ",negative
is n't going to jell ,negative
the product ,positive
there 's no reason to miss interview with the assassin ,positive
"speculation , conspiracy theories or , at best , circumstantial evidence ",negative
"make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm ",positive
if you believe that the shocking conclusion is too much of a plunge or ,negative
there is a certain sense of experimentation and improvisation to this film that may not always work ,negative
silly -- and gross -- ,negative
give all three stories life ,positive
at the variety of tones in spielberg 's work ,positive
hide a weak script ,negative
"it is life affirming and heartbreaking , sweet without the decay factor , funny and sad . ",positive
"life affirming and heartbreaking , sweet without the decay factor , ",positive
unique niche ,positive
intelligent and ,positive
encompasses many more paths ,positive
will find millions of eager fans ,positive
as director of the escort service was inspired ,positive
that may make you hate yourself for giving in ,negative
"as it is a unique , well-crafted psychological study of grief ",positive
guilty of the worst sin of attributable to a movie like this ,negative
's a delightfully quirky movie to be made from curling ,positive
most charmless ,negative
a nagging sense ,negative
have n't laughed that hard in years ,positive
by an overly sillified plot and stop-and-start pacing ,negative
are great rewards here ,positive
cinematic knack ,positive
"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story . ",positive
anyone in his right mind would want to see the it ,positive
make a film in which someone has to be hired to portray richard dawson ,negative
engaging as it is revealing ,positive
i 'm sure there 's a teenage boy out there somewhere who 's dying for this kind of entertainment . ,negative
an uneven look into a grim future that does n't come close to the level of intelligence and visual splendor that can be seen in other films based on philip k. dick stories . ,negative
's not a fresh idea at the core of this tale . ,negative
integrates thoughtfulness and pasta-fagioli comedy ,positive
kinetic enough to engross even the most antsy youngsters ,positive
a true ,positive
"weighted down with slow , uninvolving storytelling and ",negative
"star power , a pop-induced score ",positive
dumb and cheesy ,negative
a compelling investigation of faith versus intellect ,positive
i wo n't be sitting through this one again ,negative
"could have yielded such a flat , plodding picture ",negative
loser ,negative
it 's never too late to believe in your dreams . ' ,positive
"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip . ",negative
a 10-course banquet ,positive
and mainly unfunny ,negative
powerful and astonishingly vivid ,positive
excruciating demonstration ,negative
low-grade ,negative
combined with stunning animation ,positive
", it 's icky . ",negative
", ( haneke ) steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology . ",positive
acting horribly ,negative
a big splash ,positive
a column of words can not adequately describe co-writer/director peter jackson 's expanded vision of j.r.r. tolkien 's middle-earth ,positive
villains ,negative
that already knows it 's won ,positive
"may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother . ",positive
stupidity ,negative
is that it stinks ,negative
traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at . ,negative
"like rudy yellow lodge , eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider . ",negative
"with humor , warmth , and intelligence ",positive
their lack of chemistry ,negative
fairytale ,positive
"there is plenty of room for editing , and ",negative
the town has kind of an authentic feel ,positive
the stunt work is top-notch ; the dialogue and drama often food-spittingly funny . ,positive
"ugly , pointless , stupid movie ",negative
for everyone ,positive
", the lady and the duke represents the filmmaker 's lifelong concern with formalist experimentation in cinematic art . ",positive
"solaris is rigid and evasive in ways that soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and `` ocean 's eleven , '' never were . ",positive
it 's just merely very bad . ,negative
preserves tosca 's intoxicating ardor through his use of the camera . ,positive
to do with imagination than market research ,negative
"mysterious , sensual , ",positive
a disney pic ,positive
bear the laughter ,positive
the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product ,negative
"ill-considered , unholy hokum . ",negative
"as a story of dramatic enlightenment , the screenplay by billy ray and terry george leaves something to be desired . ",negative
nettelbeck ... has a pleasing way with a metaphor . ,positive
"very , very good reasons ",positive
a brief amount ,positive
not quite ,negative
some problems ,negative
"over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ",negative
barbershop '' is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story . ,positive
disney 's cinderella proved that ' a dream is a wish your heart makes ,positive
"a jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages . ",negative
their contrast ,positive
lacks balance ... and fails to put the struggle into meaningful historical context ,negative
"we get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by his kids to watch too many barney videos . ",negative
this is a movie full of grace ,positive
love and culture ,positive
will only satisfy the most emotionally malleable of filmgoers . ,negative
is so convinced of its own brilliance ,positive
"with acting , tone and pace very obviously mark him as a video helmer making his feature debut ",positive
meaningful historical context ,positive
's betting her third feature will be something to behold ,positive
most offensive ,negative
