sentence,label_name
"bad , bad movie ",negative
traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at . ,negative
is grossly contradictory in conveying its social message ,negative
underdeveloped effort ,negative
having an old friend ,positive
to check your brain at the door ,negative
as tiresome as 9 ,negative
"shines on all the characters , as the direction is intelligently accomplished . ",positive
"law enforcement , and a visceral , nasty journey ",negative
bowser ,positive
"it 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress . ",negative
see people working so hard at leading lives of sexy intrigue ,positive
will probably have a reasonably good time with the salton sea ,positive
betrayed by the surprisingly shoddy makeup work ,negative
the movie 's captivating details ,positive
the advantage of a postapocalyptic setting is that it can be made on the cheap . ,negative
a xerox machine ,negative
nothing really happens ,negative
with action confined to slo-mo gun firing and random glass-shattering ,negative
relaxed in its perfect quiet pace and proud in its message . ,positive
99-minute ,positive
me feeling refreshed and hopeful ,positive
... a pretentious mess ... ,negative
have that kind of impact on me these days ,positive
repulse ,negative
deeply pessimistic ,negative
a florid but ultimately vapid crime melodrama ,negative
a bad sign ,negative
proves once again that a man in drag is not in and of himself funny . ,negative
deserved co-winner ,positive
take care is nicely performed by a quintet of actresses ,positive
by the incredibly flexible cast ,positive
a juicy soap opera ,positive
that interweaves individual stories ,positive
a sleep-inducing thriller ,negative
outtakes in which most of the characters forget their lines and ,negative
the updated dickensian sensibility of writer craig bartlett 's story ,positive
they do n't fit well together and neither is well told . ,negative
impressive style ,positive
"though harris is affecting at times , he can not overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities . ",negative
a compelling argument about death ,positive
"a mostly believable , refreshingly low-key and quietly inspirational little sports drama . ",positive
swiftly ,positive
has at least one more story to tell : his own ,positive
'll wait in vain for a movie to happen ,negative
not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted ,negative
of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids ,negative
"for the future , one hopes mr. plympton will find room for one more member of his little band , a professional screenwriter . ",negative
a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals ,negative
did they deem it necessary to document all this emotional misery ? ,negative
"a big , tender hug ",positive
baked cardboard ,negative
's quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer ,positive
by labored writing and slack direction ,negative
expresses our most basic emotions ,positive
making it relatively effortless to read and follow the action at the same time ,positive
beautifully shaped ,positive
there are moments of hilarity to be had . ,positive
be awed by the power and grace of one of the greatest natural sportsmen of modern times ,positive
the characters are paper thin and the plot is so cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects ,negative
"viscerally exciting , and dramatically moving , it 's the very definition of epic adventure . ",positive
will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche ,negative
"a slick , engrossing melodrama . ",positive
"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film ",positive
fails to arrive at any satisfying destination ,negative
", overnight , is robbed and replaced with a persecuted `` other ",negative
"it even uses a totally unnecessary prologue , just because it seems obligatory ",negative
abandon '' ,negative
truly bad ,negative
entertains not ,negative
is consistently amusing and engrossing ... ,positive
but none of which amounts to much of a story ,negative
energized ,positive
make this a comedy or serious drama ,negative
establishes itself as a durable part of the movie landscape : a james bond series for kids . ,positive
", with increasingly amused irony , the relationship between reluctant captors and befuddled captives . ",positive
as a painful elegy and sobering cautionary tale ,positive
"that does n't offer any insight into why , for instance , good things happen to bad people ",negative
marginal intelligence ,negative
cheerfully ,positive
overly convenient plot twists ,negative
brilliantly constructed work . ,positive
this one feels like a life sentence ,negative
characteristically startling visual style and ,positive
"sadly , ` garth ' has n't progressed as nicely as ` wayne . ' ",negative
just how much more grueling and time-consuming the illusion of work is than actual work ,negative
"undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution ",positive
tackling serious themes ,positive
made literature literal without killing its soul ,positive
"with laptops , cell phones and sketchy business plans ",negative
cute alien ,positive
hard to imagine having more fun watching a documentary ,positive
unholy hokum ,negative
frustrating ,negative
", lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , ",negative
its awkward structure ,negative
"elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry . ",positive
up as the worst kind of hubristic folly ,negative
engaging film ,positive
quickly enters the pantheon of wreckage that includes battlefield earth and showgirls ,negative
loser ,negative
"may not be an important movie , or even a good one ",negative
creates sheerly cinematic appeal . ,positive
is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time ,negative
amoral assassin ,negative
the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull ,negative
a freshness and modesty ,positive
wry and engrossing ,positive
the director seems to take an unseemly pleasure in ( the characters ' ) misery and at the same time to congratulate himself for having the guts to confront it . ,negative
simply radiates star-power potential in this remarkable and memorable film . ,positive
"one of the funniest motion pictures of the year , ",positive
good man ,positive
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks . ,negative
the home alone formula ,positive
a big splash ,positive
this poor remake ,negative
been preferable ,positive
homage ,positive
congrats disney on a job well done ,positive
a genuinely moving and wisely unsentimental drama ,positive
betters it ,positive
freshness and ,positive
", the film amounts to being lectured to by tech-geeks , if you 're up for that sort of thing . ",negative
's no real sense of suspense ,negative
boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome . ,negative
you wanting more ,positive
delectable ,positive
perry 's good ,positive
"assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , ",positive
going right through the ranks of the players -- on-camera and off -- that he brings together ,positive
"this film is an act of spiritual faith -- an eloquent , deeply felt meditation on the nature of compassion . ",positive
choppy recycling ,negative
"a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior ",negative
it offers hope ,positive
"are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk . ",positive
powerful and astonishingly vivid ,positive
"with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering ... may put off insiders and outsiders alike . ",negative
tedious ,negative
too much resonance ,negative
equally impressive ,positive
"explode obnoxiously into 2,500 screens ",negative
a load of clams left in the broiling sun for a good three days ,negative
applies more detail to the film 's music than to the story line ,negative
finely ,positive
accurately reflects the rage and alienation that fuels the self-destructiveness of many young people ,positive
it chiefly inspires you to drive a little faster ,positive
"civil disobedience , anti-war movements and the power of strong voices ",positive
a formula that worked five years ago but has since lost its fizz ,negative
too crazy ,negative
"is sure to give you a lot of laughs in this simple , sweet and romantic comedy . ",positive
stupidity ,negative
"simplistic , silly and tedious . ",negative
as beautifully shaped and ,positive
attractive and talented actors ,positive
fessenden continues to do interesting work ,positive
it appears not to have been edited at all ,negative
is tenderly observant of his characters ,positive
snow white ,positive
we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity ,negative
"be low , very low , very very low , ",negative
labute continues to improve . ,positive
but fails to keep it up and settles into clichés . ,negative
"has been overexposed , ",negative
avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style ,negative
dry the undead action flick formula ,negative
", like me , think an action film disguised as a war tribute is disgusting to begin with ",negative
is in trouble ,negative
ol' ,positive
no wrong ,positive
it 's a frankenstein-monster of a film that does n't know what it wants to be . ,negative
"they will have a showdown , but , by then , your senses are as mushy as peas and ",negative
