sentence,label_name
saved this film ,positive
vibrant and intoxicating ,positive
( less a movie than ) ,negative
a film that is an undeniably worthy and devastating experience ,positive
could as easily have been called ` under siege 3 : in alcatraz ' ... a cinematic corpse that never springs to life ,negative
the brim with ideas ,positive
", solid storytelling . ",positive
viscerally repellent ,negative
early work ,positive
"this movie may not have the highest production values you 've ever seen , ",negative
horrid ,negative
piercing intellect ,positive
"the intrigue , betrayal , deceit and murder ",negative
's perfect for the proud warrior that still lingers in the souls of these characters ,positive
"from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb ",positive
"putting together familiar themes of family , forgiveness and love ",positive
great film ,positive
bad alternative music ,negative
muting ,negative
comes closer to the failure of the third revenge of the nerds sequel ,negative
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two ",positive
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ",positive
"demonstrates the unusual power of thoughtful , subjective filmmaking . ",positive
"nearly glows with enthusiasm , sensuality and a conniving wit . ",positive
"'s little to recommend snow dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity . ",negative
to have you scratching your head than hiding under your seat . ,negative
"a sensational , real-life 19th-century crime as a metaphor ",positive
most virtuous ,positive
"an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness ",positive
", big-hearted and frequently ",positive
is just generally insulting ,negative
"'s a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today ",positive
"can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain . ",negative
"presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale ",positive
oozes craft ,positive
liked sometimes ,positive
in the business ,positive
"manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie ",positive
"singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn . ",negative
tedium ,negative
approaching even a vague reason to sit through it all ,negative
mel ,negative
", their struggle is simply too ludicrous and borderline insulting . ",negative
"satisfyingly scarifying , fresh and old-fashioned at the same time . ",positive
a family film ,positive
babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics ,positive
dry and ,negative
is like reading a research paper ,negative
a movie with depth ,positive
cliche ,negative
an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that only seems to care about the bottom line ,positive
"to grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the atlantic love him ",positive
"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf . ",positive
this film that may not always work ,negative
jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness . ,positive
mean ,negative
dumb and derivative horror ,negative
justify the notion of creating a screen adaptation of evans ' saga of hollywood excess ,positive
clever adaptation ,positive
screwed-up characters ,negative
is n't as sharp as the original ,negative
"looks great , has solid acting and a neat premise . ",positive
change the fact that what we have here is a load of clams left in the broiling sun for a good three days ,negative
woefully pretentious . ,negative
an overflowing septic tank ,negative
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough . ,positive
"the punch lines that miss , unfortunately , outnumber the hits by three-to-one . ",negative
meandering and pointless ,negative
"as violent , profane and exploitative as the most offensive action flick you 've ever seen . ",negative
sits there like a side dish no one ordered ,negative
to sit through than most of jaglom 's self-conscious and gratingly irritating films ,negative
its absurdities and crudities ,negative
ordinary and obvious ,negative
"still , the updated dickensian sensibility of writer craig bartlett 's story is appealing . ",positive
almost in a class with that of wilde ,positive
it 's never dull and always looks good . ,positive
"a heavy stench of ` been there , done ",negative
well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances ,positive
"and in a sense , that 's a liability . ",negative
a quiet family drama with a little bit of romance and a dose of darkness ,positive
"deep intelligence and a warm , enveloping affection ",positive
lyrical and celebratory vision ,positive
it feels much longer ,negative
long and eventful ,positive
sinuously plotted and ,positive
's spiffing up leftovers that are n't so substantial or fresh ,negative
ambitious ` what if ,positive
an eventual cult classic would be an understatement ,positive
"so sloppy , so uneven ",negative
sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people . ,positive
the big screen postcard that is a self-glorified martin lawrence lovefest ,negative
runs around and ,positive
is just garbage ,negative
"is fun , and host to some truly excellent sequences ",positive
", do we have that same option to slap her creators because they 're clueless and inept ? ",negative
lucy liu never comes together ,negative
thriller ,positive
an undistinguished attempt to make a classic theater piece cinematic . ,negative
that the film never feels derivative ,positive
great team ,positive
"'s insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships . ",positive
"a full experience , ",positive
stuck around for this long ,negative
restage the whole thing ,negative
"boredom to the point of collapse , ",negative
weirdly likable ,positive
is gorgeously ,positive
"familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ",negative
"like its title character , is repellantly out of control . ",negative
"all the sensuality , all the eroticism of a good vampire tale ",positive
will be on video long before they grow up and you can wait till then ,negative
crafted import ,positive
drain ,negative
the heroes of horror movies try to avoid ,negative
a compelling film . ,positive
-- and deeply appealing ,positive
", funny and beautifully ",positive
juliette binoche 's sand is vivacious ,positive
another tired old vision ,negative
its worst harangues are easy to swallow thanks to remarkable performances by ferrera and ontiveros ,positive
sometimes tedious -- ,negative
not smart and not engaging ,negative
model ,positive
'll find in this dreary mess . ,negative
it wears out its welcome as tryingly as the title character . ,negative
irritates and saddens me ,negative
", you might have fun in this cinematic sandbox ",positive
"there 's no real sense of suspense , and ",negative
light nor magical enough to bring off this kind of whimsy ,negative
most repugnant adaptation ,negative
"you get to see the one of the world 's best actors , daniel auteuil , ",positive
"animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world ",positive
the broiling sun for a good three days ,negative
disappointingly generic ,negative
", and to the script 's refusal of a happy ending ",negative
that could make a person who has lived her life half-asleep suddenly wake up and take notice ,positive
to the gifted korean american stand-up ,positive
standard formula ,negative
"slack and uninspired , and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth ",negative
"'s sharply comic and surprisingly touching , ",positive
might go down as one of the all-time great apocalypse movies ,positive
"overall , it 's a very entertaining , thought-provoking film with a simple message : god is love . ",positive
's as raw and action-packed an experience as a ringside seat at a tough-man contest ,positive
"meandering , low on energy , and too eager ",negative
what goes on for the 110 minutes of `` panic room '' is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals . ,negative
how sandler is losing his touch ,negative
totally past his prime ,negative
is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ? ,negative
that such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies . ,negative
"exalts the marxian dream of honest working folk , ",positive
captivating as the rowdy participants think it is ,positive
the film 's predictable denouement ,negative
a compelling look at a young woman 's tragic odyssey ,positive
imagination ,positive
"horrible , 99-minute ",negative
a fascinating character ,positive
"'s not helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter . ",negative
"the writing is indifferent , and jordan brady 's direction is prosaic ",negative
"the hype , the celebrity , the high life , the conspiracies and the mystery ",positive
has merit and ,positive
dripping with cliche and bypassing no opportunity to trivialize the material ,negative
"to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",positive
below is well below expectations . ,negative
the opulent lushness of every scene ,positive
uncomfortable ,negative
overwhelmingly ,positive
a travesty of a transvestite comedy ,negative
wretchedly unfunny wannabe comedy ,negative
", it 's really unclear why this project was undertaken ",negative
cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots ,positive
road to perdition does display greatness ,positive
"the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality ",positive
the kind of effectively creepy-scary thriller ,positive
an elegant and sly deadpan ,positive
"reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining ",positive
first love sweetly ,positive
i was expecting ,negative
threefold expansion ,positive
the artificial structure ,negative
"yes , i have given this movie a rating of zero . ",negative
pedro ,positive
"by whiny , pathetic , starving and untalented artistes ",negative
grand picture ,positive
is n't an ounce of honest poetry in his entire script ,negative
the most moronic screenplays of the year ,negative
are worthwhile . ,positive
a plot cobbled together from largely flat and uncreative moments ,negative
"while illuminating an era of theatrical comedy that , while past , ",positive
"the story is lacking any real emotional impact , and the plot is both contrived and cliched . ",negative
could be any flatter ,negative
low-brow ,negative
"its exquisite acting , ",positive
minutely detailed wonders ,positive
to take us on his sentimental journey of the heart ,positive
"gross-out flicks , college flicks , or ",negative
impersonal ,negative
"the film , flaws and ",negative
provide much more insight than the inside column of a torn book jacket ,negative
has been gathering dust on mgm 's shelf ,negative
"reeked of a been-there , done-that sameness ",negative
get lost in the murk of its own making ,negative
self-hatred and ,negative
"spirit , perception , conviction ",positive
better-focused ,positive
"a fascinating curiosity piece -- fascinating , that is , for about ten minutes . ",negative
"before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm ",positive
... the kind of entertainment that parents love to have their kids see . ,positive
low-rent -- and even lower-wit -- rip-off ,negative
time bombs and ,negative
rhetoric and cliché ,negative
the level of an after-school tv special ,negative
the milieu is wholly unconvincing ... ,negative
was once an amoral assassin just like the ones who are pursuing him ,negative
"well , in some of those , the mother deer even dies . ",negative
to be oblivious to the existence of this film would be very sweet indeed . ,negative
pleasuring ,positive
been shot ,negative
"with a story that tries to grab us , only to keep letting go at all the wrong moments ",negative
worth a ,positive
"has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth . ",positive
championship ,positive
overuse ,negative
a side dish of asparagus ,negative
drama . ,positive
"the masses with star power , a pop-induced score and sentimental ",positive
'm guessing the director is a magician . ,positive
sloppy plotting ,negative
"to know your ice-t 's from your cool-j 's to realize that as far as these shootings are concerned , something is rotten in the state of california ",negative
brutally dry ,negative
"the pacing is deadly , the narration helps little ",negative
the movie is a lumbering load of hokum but ... ,negative
stupid and ,negative
"an ugly , pointless , stupid movie ",negative
the intentionally low standards ,negative
squeeze a few laughs out of the material ,positive
"notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal , and also the unique way shainberg goes about telling what at heart is a sweet little girl - ",positive
"rarely , a movie is more than a movie . ",positive
"to its last-minute , haphazard theatrical release ",negative
finds amusing juxtapositions that justify his exercise ,positive
a jerry bruckheimer flick any day of the week ,positive
suffering ,negative
i do n't think this movie loves women at all . ,negative
"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone . ",negative
toss-up ,positive
", carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff . ",negative
is blazingly alive and admirable on many levels . ,positive
by avary 's failure to construct a story with even a trace of dramatic interest ,negative
romp that 's always fun to watch ,positive
"has all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability . ",negative
may as well be called `` jar-jar binks : the movie ,negative
its rather slow beginning ,negative
is the best star trek movie in a long time . ,positive
"important , original talent ",positive
maintains suspense on different levels throughout a film that is both gripping and compelling . ,positive
a source of high hilarity ,positive
the most wondrous of all hollywood fantasies -- and the apex of steven spielberg 's misunderstood career ,positive
", schaeffer 's film never settles into the light-footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm . ",negative
deviously adopts the guise of a modern motion picture ,positive
which ones shtick ,negative
deeply humanistic artist ,positive
trusts the story it sets out to tell ,positive
ca n't seem to get a coherent rhythm going ,negative
created a monster but did n't know how to handle it . ,negative
linklater ,negative
a community-college advertisement ,negative
its funny moments ,positive
here 's yet another cool crime movie that actually manages to bring something new into the mix . ,positive
"one of those crazy , mixed-up films that does n't know what it wants to be when it grows up ",negative
pity anyone who sees this mishmash . ,negative
"as beautiful , desirable , even delectable ",positive
"that both thrills the eye and , in its over-the-top way , touches the heart . ",positive
"a tribute to the actress , and to her inventive director ",positive
whose meaning and ,positive
this film puts wang at the forefront of china 's sixth generation of film makers . ,positive
"none of this sounds promising and , ",negative
the overall feeling is genial and decent ,positive
his character awakens to the notion that to be human ,negative
jfk conspiracy nuts ,negative
", stylized humor throughout ",positive
threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans . ,negative
"a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary ",negative
having to inhale this gutter romancer 's secondhand material ,negative
"the enjoyable undercover brother , ",positive
try too hard to be mythic ,negative
"this is lightweight filmmaking , to be sure ",negative
"insipid , brutally clueless film ",negative
may not always work ,negative
that 's right ,positive
distinctly sub-par ,negative
's characteristically startling visual style and an almost palpable sense of intensity . ,positive
the better film 's ,positive
", you can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history . ",positive
one of the world 's most fascinating stories ,positive
be occupied for 72 minutes ,negative
well-formed ,positive
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . ",negative
skip this turd and pick your nose instead because you 're sure to get more out of the latter experience . ,negative
are consistently delightful ,positive
low on both suspense and payoff ,negative
"( less a movie than ) an appalling , odoriferous thing ... so ",negative
estela bravo 's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro ,positive
satisfied ,positive
clever ,positive
blockbuster ,positive
exploitative and ,negative
"assayas ' ambitious , sometimes beautiful adaptation ",positive
"an overstylized , puréed mélange ",negative
"behan 's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense ",positive
"restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy ",positive
hackneyed elements ,negative
easily dismissive ,negative
style and empathy ,positive
"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot . ",negative
"a wise and powerful tale of race and culture forcefully told , with superb performances throughout ",positive
( a ) painfully flat gross-out comedy ... ,negative
designed equilibrium becomes a concept doofus ,negative
ramsay is clearly extraordinarily talented ,positive
does n't make much ,negative
", it must be said that he is an imaginative filmmaker who can see the forest for the trees . ",positive
"but because it has a bigger-name cast , it gets a full theatrical release ",positive
"is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 ",negative
originality ,positive
"it 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones . ",positive
the script has less spice than a rat burger ,negative
", mad love looks better than it feels . ",negative
fantastic ,positive
gone a tad less for grit and a lot more ,negative
commands ,positive
shows uncanny skill in getting under the skin of her characters ,positive
it 's provocative stuff ,positive
genial and ,positive
of clichés and a dim ,negative
inside it he 's well worth spending some time with ,positive
of a particularly nightmarish fairytale ,negative
"i do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold . ",positive
dramatized ,positive
the devastation ,negative
her nomination as best actress even more ,positive
solid family fun ,positive
a fairly revealing study ,positive
impresses ,positive
he 's made at least one damn fine horror movie ,positive
as an exceptional thriller ,positive
"shot in artful , watery tones of blue , green and brown . ",positive
tremendously moving ,positive
this is n't even a movie we can enjoy as mild escapism ; ,negative
just that it 's so not-at-all-good ,negative
"davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air ",positive
queasy infatuation and overall strangeness ,negative
we really have n't had a good cheesy b-movie playing in theaters since ... well ... since last week 's reign of fire ,negative
"populated by whiny , pathetic , starving and untalented artistes ",negative
"does n't really know or care about the characters , and ",negative
", this cinderella story does n't have a single surprise up its sleeve . ",negative
"it 's the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep ",positive
a great deal of thought ,positive
"'s not a bad premise , just a bad movie . ",negative
"seems uncertain whether it wants to be an acidic all-male all about eve or a lush , swooning melodrama in the intermezzo strain . ",negative
the crassness of this reactionary thriller is matched only by the ridiculousness of its premise . ,negative
means to face your fears ,positive
is an enjoyable big movie primarily because australia is a weirdly beautiful place ,positive
it is n't merely offensive ,negative
deftly executed ,positive
the marvelous first 101 minutes ,positive
shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ,negative
"of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy ",negative
endlessly superficial . ,negative
"an often intense character study about fathers and sons , loyalty and duty ",positive
"the real star of this movie is the score , as in the songs translate well to film , and it 's really well directed ",positive
its excellent use of new york locales and sharp writing ,positive
are undeniably touched ,positive
it is also a testament to the integrity and vision of the band . ,positive
can be gleaned from this three-hour endurance test built around an hour 's worth of actual material ,negative
if it pushes its agenda too forcefully ,negative
the best he 's been in years ,positive
wit and humor ,positive
-- is a crime that should be punishable by chainsaw . ,negative
translation : ` we do n't need to try very hard . ' ,negative
are mesmerizing ,positive
... stale and uninspired . ,negative
"well-directed and , for all its moodiness , not too ",positive
has a way of seeping into your consciousness ,positive
's never as solid as you want it to be ,negative
a glorified episode of `` 7th heaven ,negative
wastes its time on mood rather than ,negative
the lack-of-attention span ,negative
becoming ,positive
had all its vital essence scooped ,negative
what it lacks in substance it makes up for in heart . ,positive
has the rare capability to soothe and break your heart with a single stroke ,positive
"a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience ",positive
elegant ,positive
nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises ,negative
sparkling ,positive
"'s dull , spiritless , silly and monotonous ",negative
a humorless journey into a philosophical void . ,negative
zany mix ,positive
"the color palette , with lots of somber blues and pinks , is dreamy and evocative ",positive
a thrill ,positive
"that somehow manages to bring together kevin pollak , former wrestler chyna and dolly parton ",negative
with great help from kevin kline ,positive
rigor ,negative
avoid ,negative
a film about female friendship that men can embrace and women ,positive
the pale script ,negative
will assuredly ,positive
"retread , hobbled by half-baked setups and sluggish pacing ",negative
inconclusive ,negative
"like a grinning jack o ' lantern , its apparent glee is derived from a lobotomy , having had all its vital essence scooped out and discarded . ",negative
"but in terms of its style , the movie is in a class by itself ",positive
offers nothing more than a bait-and-switch that is beyond playing fair with the audience . ,negative
visual hideousness ,negative
the best ensemble casts of the year ,positive
"the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year ",negative
the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions ,positive
a small gem of a movie that defies classification and is as thought-provoking as it ,positive
"not only does spider-man deliver , but i suspect it might deliver again and again . ",positive
that would set it apart from other deep south stories ,positive
brazenly misguided project ,negative
"shows crushingly little curiosity about , ",negative
to make such a worthless film ,negative
is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory ,negative
"lets you brush up against the humanity of a psycho , without making him any less psycho . ",positive
", and irritating ",negative
"impossible , irrevocable choices ",positive
"of stupidity , incoherence and sub-sophomoric sexual banter ",negative
as it provides a fresh view of an old type ,positive
... a guiltless film for nice evening out . ,positive
"is an inspirational love story , capturing the innocence and idealism of that first encounter . ",positive
extraordinary debut ,positive
teaming ,positive
"a highly spirited , imaginative kid 's movie that broaches neo-augustinian theology : is god stuck in heaven because he 's afraid of his best-known creation ? ",positive
sneak out of the theater ,negative
are often a stitch ,negative
plays like a student film by two guys who desperately want to be quentin tarantino when they grow up ,negative
about a pair of squabbling working-class spouses ,negative
"wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , ",positive
ill-considered notion ,negative
"a young american , ",positive
the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside . ,positive
the movie is so thoughtlessly assembled . ,positive
new york 's finest ,positive
"colorful , energetic and sweetly whimsical ... ",positive
deaths ,negative
"much like robin williams , death to smoochy has already reached its expiration date . ",negative
posing as a real movie . ,negative
silly but strangely believable ,positive
"is an intelligent , realistic portrayal of testing boundaries ",positive
just seem like a bad idea from frame one ,negative
a kind of perpetual pain ,negative
the peculiarly moral amorality of ( woo 's ) best work ,positive
"a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme ",negative
very good viewing alternative ,positive
"this gentle , mesmerizing portrait ",positive
succeed at cheapening it ,negative
"this is as lax and limp a comedy as i 've seen in a while , a meander through worn-out material . ",negative
get you ,positive
high-adrenaline documentary ,positive
triple x marks the spot . ,positive
", it would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . ",negative
"elements of romance , tragedy and even silent-movie comedy ",positive
", a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd . ",negative
do n't have a clue on the park . ,negative
"watch for that sense of openness , the little surprises . ",positive
a bore ,negative
the ridiculousness ,negative
disintegrating bloodsucker computer effects and jagged camera moves ,negative
presents a frightening and compelling ` what if ,positive
for no one ,negative
ideas and wry comic mayhem ,positive
"swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner . ",positive
a good chance ,positive
for most of the film it is hard to tell who is chasing who or why ,negative
"curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ",negative
rendered with such clarity that it 's as if it all happened only yesterday ,positive
"jumble that 's not scary , not smart and not engaging ",negative
superficiality and ,negative
as unblinkingly pure as the hours ,negative
and rough-hewn vanity project ,negative
