Aspect Category,News Headlines
Politics,اسلام آباد :سڌ سماءَ بابت وفاقي وزير مريم اورنگزيب چيو آهي ته 9 مئي جي واقعي تي هر اک آلي آهي، واقعي جي رٿابندي زمان پارڪ ۾ ٿي. پي ٽي آئي چيئرمين جي پوري سياست ڏڦيڙ، فساد ۽ ملڪ سان دشمني تي ٻڌل آهي
Crime,حيدرآباد ۾ پوليس ڪارروائي، 13 جوابدار گرفتار، هٿيار ۽ منشيات هٿ.
Crime,اٺ ڄڻن جي 16 سالا ناريءَ سان اجتمائي زيادتي
Politics,ملاقات ۾ مختلف شعبن ۾ تعاون سميت انساني امداد تي پڻ ڳالهه ٻولهه ڪئي وئي
Sports,ايمباپي فرانس جي فٽبال ٽيم جو ڪپتان ۽ گريزمن نائب مقرر
Politics,چيف جسٽس مخدوم علي خان کي چيو ته اڄ اوهان ايڏو پري کان پيش ٿيا آهيو، جنهن تي هن چيو ته گذريل ڏينهن جي حالتن کي ڏسي مون کي لڳو ته عدالت پهچڻ ڏکيو ٿيندو، اڄڪلهه ته سوشل ميڊيا به نه آهي جو ڄاڻ ملي سگهي.
Politics,اسٽينڊنگ ڪميٽي جي رپورٽ چيئرمين محمود بشير ورڪ ايوان ۾ پيش ڪئي. عدالتي سڌارن بابت سپريم ڪورٽ پريڪٽس اينڊ پروسيجر بل 2023ع جي شق وار منظوري ڏني وئي، بل 2023ع تي ريفرنڊم ڪرائڻ جي رٿ منظور ڪئي وئي.
Crime,سندس چوڻ هو ته پي ٽي آءِ سان تعلق رکندڙ عورتون دهشتگردي لاءِ مردن کان به اڳتي آهن،
Crime,جوابدار خلاف ڪيس داخل ڪري گرفتار لا ڇاپا هنيا پيا وڃن، جلد جوابدار کي گرفتار ڪيو ويندو.
Crime,هٿياربندن هڪ شخص کي باهه ڏئي ساڙي ڇڏيو، زخمي شخص کي اسپتال منتقل ڪيو ويو.
Sports,آءِ سي سي ون ڊي رينڪنگ ۾ انگلينڊ جي ٽيم پهرين پوزيشن تي پهچي وئي جڏهن ته نيوزيلينڊ جي ٽيم ٻي پوزيشن تي اچي وئي.
Sports,ميڊيا مطابق بنگلاديش جي ٽيم 199 رنسون ٺاهي آئوٽ ٿي وئي، جنهن ۾ اريف الاسلام 50، محفوظ الرحمان 34، پرويز جبن 30، احرار امين 27 رنسن سان نمايان رهيا، پاڪستاني بالر ايمل خان ۽ علي اسفند 3،3 شڪار ڪيا. پاڪستان 2 وڪيٽن تي هدف پورو ڪري ڪامياب ٿي ويو
Crime,رپورٽن موجب مافيا خلاف ڪريڪ ڊائون 5 ورهين جي ڳجهي جاچ کان پوءِ ڪيو ويو.
Politics,سعودي هاڻ ڪنهن به مُلڪ کي غيرمشروط پرڏيهي امداد نه ڏيندو
Politics,صوبائي وزير سعيد غني چيو ته ڪراچيءَ ۾ غيرقانوني آبادين خلاف آپريشن ٿيندو آهي ته جماعت اسلامي ۽ ايم ڪيو ايم وارا چوندا آهن آپريشن بند ڪريو.
Crime,هن چيو ته جلد جديد هٿيار پوليس خريدڪري ڏوهارين خلاف آپريشن ڪيو ويندو
Crime,مقتول جي گھرڀاتين واقعي بابت مئجسٽريٽ جي انڪوائري رپورٽ رد ڪندي چيو آهي ته جاچ ۾ حقيقتن کي لڪايو ويو.
Crime,ڪراچي جي مختلف علائقن ۾ پوليس ڪارروايون، 25 جوابدار گرفتار.
Sports,پاڪستان کي هارائڻ تي افغان رانديگرن مٿان ڊالرن جي برسات
Politics,ان حوالي سان اسد عمر چيو ته رابطو سٺي ڳالهه آهي، حڪومتي نمائندا سپريم ڪورٽ ۾ ايندڙ شنوائي دوران ان اڳڀرائي کان آگاهه ڪن
Crime,ڪراچي ۾ ڦر واقعن خلاف عورت ايس ايڇ او جو اهم قدم
Crime,نوجوان ماڊل سان هلندڙ گاڏي ۾ اجتماعي لڄالٽ
Crime,ايئرپورٽ تي تلاشي دوران ناريءَ جي ڪپڙن مان اهڙي شئي نڪتي جو اهلڪار به دنگ رهجي ويا!
Politics,ڪالهه اربع ڏينهن پنهنجي ٽوئيٽ ۾ وفاقي وزير مريم اورنگزيب چيو ته فارن ايجنٽ ڪير آهي، ثابت ٿي ويو
Sports,پاڪستاني بالر احسان الله 2 وڪيٽون ورتيون.
Politics,وزيراعظم 7 فيبروري تي اي پي سي گهرائي ورتي، عمران خان کي به سڏ
Sports,مراڪش جي کٽڻ تي شڪيرا به ٻهڪي پئي
Politics,سنڌ يونائيٽيڊ پارٽي جي سيڪريٽري اطلاعات نويد امين چيو ته زرداري مافيا سنڌ کي تباهه ڪري ڇڏيو آهي، سنڌ هي مطالبو ڪري ٿي ته پيپلزپارٽي هاڻ گهر هلي وڃي
Sports,اداڪارا ناديا افگن پاڪستاني ڪرڪيٽرن مٿان ڏمرجي پئي
Politics,سنڌ جي اطلاعات واري وزير شرجيل انعام ميمڻ ڪراچي پريس ڪلب ۾ ڪراچي جي صحافين لاءِ افطار پارٽي جو اهتمام ڪيو ويو
Politics,آءِ ايس پي آر موجب آرمي چيف جنرل عاصم منير ڪور هيڊ ڪوارٽرز پشاور جو دورو ڪيو، جتي کيس موجوده سيڪيورٽي صورتحال ۽ دهشتگردي خلاف جاري ڪوششن تي بريفنگ ڏني وئي.
Sports,لاهور: نيوزيلينڊ ٽيم جي پاڪستان جي دوري لاءِ گرين شرٽس جا پرڏيهي ڪوچ 11 اپريل تي پاڪستان پهچندا.
Politics,صدارتي محل تي حملي جو ذميوار آمريڪا آهي، جلد جواب ڏنو ويندو: روس
Crime,وارثن جو چوڻ آهي ته جيڪب آباد ۾ 7 ڄڻن جي قتل ڪيس ۾ ملوث جوابدارن کي گرفتار ڪرڻ بعد پوليس سندن وارثن کي نه ڏيکاريندي.
Politics,پي ٽي آءِ لاءِ قومي اسيمبلي بعد سپريم ڪورٽ جا دروازا به بند
Sports,پي ايس ايل: ڪوئيٽا گليڊي ايٽرز به ڪراچي کي مات ڏئي ڇڏي
Crime,ڪيگلياري پوليس جي ترجمان ٻڌايو ته پولش ميئر هوٽل جي چوٿين منزل تي پنهنجي ڪمري جي دريءَ تي ويٺو هو توازن برقرار نه رکي سگھڻ ڪري ڪِري فوت ٿي ويو.
Politics,وزيراعظم، آرمي چيف ۽ ناڻي واري وزير جو ٿورائتو آهيان جن اسان جي سخت ڳالهين کي به برداشت ڪيو.بيرڪ گولڊ ڪمپني جي صدر مارڪ برسٽو چيو ته ماضي کي وساري مستقبل طرف هڪ سٺي سفر جي شروعات ڪرڻ وڃي رهيا آهيون
Politics,پ پ جي سينيئر اڳواڻ منظور وساڻ ملڪ ۾ ايمرجنسي لاڳو ڪرڻ سميت وڏيون اڳڪٿيون ڪري ڇڏيون. هن چيو ته هو عمران خان کي وزيراعظم ٿيندو يا اقتدار ۾ ايندو ڏسي نه ٿو سگهي.
Politics,افغانستان دهشتگردي روڪرائي نه ته سڌي ڪاروائي ڪنداسين:پاڪستان
Sports,ميڊيا مطابق آئي سي سي جي نامزدگين ۾ پاڪستان مان مينز ۽ ويمنز رانديگرياڻين نامزدگي نھ ماڻي آهي.
Sports,گورن شاهينن کي پهريون ڀيرو هوم گرائونڊ تي ٽيسٽ سيريز ۾ وائٽ واش ڪري ڇڏيو
Sports,آءِ پي ايل فرنچائزز طرفان مبينا آڇ تي انگلش ڪرڪيٽ بورڊ جو ردعمل به سامهون آيو آهي، اي سي بي جي چيف ايگزيڪٽيو رچرڊ گولڊ جو چوڻ آهي ته اهڙي قسم جي آڇن کي روڪڻ لاءِ وٽن پلان موجود آهي جنهن ذريعي رانديگرن جا معاوضا به وڌائي سگهجن ٿا، ڪجهه رانديگرن سان ٻن يا ان کان وڌيڪ سالن ڪانٽريڪٽ به ڏئي سگهجي ٿو.
Sports,نيوزيلينڊ خلاف نوجوان ڪرڪيٽر کيڏائڻ تي نظرثاني جو فيصلو
Sports,ڀارت آسٽريليا کان سيريز کٽي ورتي، آخري ٽيسٽ بنا نتيجي ختم
Sports,ميڊيا مطابق آئرلينڊ جا بيٽر چوٿين ڏينهن ٻي اننگز ۾ بچيل 2 وڪيٽن سان رڳو 6 رنسن جو اضافو ڪري 292 جي اسڪور تي آئوٽ ٿي ويا، جنهن ۾ اينڊي مڪبرائين 72 ۽ گراهم همي 14 رنسن ڪيون، ان کان اڳ لورڪن ٽڪر 108 رنسن جي شاندار اننگز کيڏي اسڪور کي اڳتي وڌايو هو
Politics,هن وڌيڪ چيو ته قتل ٿيل پروفيسر اجمل ساوند جي وارثن سان سنڌ جو وڏو وزير مڪمل رابطي ۾ آهي،
Crime,مٺي ۾ جوابدار عورت تي تشدد ڪري وار ڪٽي ڇڏيا، 3 جوابدارن خلاف ڪيس داخل.
Politics,اليڪشن ڪميشن 8 مارچ تي جاري ڪيل چونڊ شيڊيول واپس وٺندي پنجاب ۾ اليڪشن لا هاڻي 8 آڪٽوبر جي تاريخ مقرر ڪري ڇڏي آهي
Crime,2 گروپن ۾ جهيڙو، فائرنگ جي ڏي وٺ ۾ 3 ڄڻا مارجي ويا.
Politics,غوث جهتيال موجب دادو ۾ غير حتمي ۽ غير سرڪاري نتيجن مطابق يونين ڪائونسل پٽ گل محمد تعلقه جوهي ۾ پي ٽي آءِ اميدوار شاهد لغاري ڪامياب پيپلز پارٽي کي شڪست.
Politics,ڀارت جي مرڪزي حڪومت ملڪ جا سمورا 62 ڪنٽونمينٽ بورڊز ختم ڪرڻ جو فيصلو ڪيو آهي.
Sports,سچن ٽنڊولڪر جي پٽ آئي پي ايل ۾ ڊيبو ڪري ڇڏيو، منفرد اعزاز بھ ماڻي ورتو
Crime,مٺي: ناياب نسل جي 9 هرڻن جو شڪار، مقامي ماڻهن شڪارين کي سوگهو ڪري ورتو
Politics,سپريم ڪورٽ ريلوي کي عوامي استعمال لاءِ زمين ليز تي ڏيڻ جي اجازت ڏئي ڇڏي
Politics,تحريڪ انصاف جي ايجنڊا تي هلندڙ چيف جسٽس کي عهدو ڇڏي ڏيڻ گهرجي:نواز شريف
Politics,وڏو الميو اهو آ ته ٻه نمبر ماڻهو هِڪ نمبر عهدن تي آهن: خواجا آصف
Sports,واضح رهي ته امام الحق نيوزيلينڊ خلاف چوٿين ميچ نه کيڏي هئي جنهن بعد امام الحق پنجين ميچ کان اڳ اِهو پيغام ڏنو هو.
Sports,ليونل ميسي کي به سعودي عرب جي فٽبال ڪلب طرفان کيڏڻ جي آڇ
Sports,ملتان جي شاهنواز ڏاهاڻي کانپوءِ ڪراچي ڪنگز جو اهم بالر به ايونٽ مان آئوٽ
Crime,ان سلسلي ۾ ايس ايس پي گهوٽڪي تنوير تنيو صحافين سان ڳالهائيندي چيو ته پوليس اهلڪارن تي حملو بزدلاڻي ڪارروائي آھي، جوانن جو رت رائيگان نه ويندو، ڪنهن به صورت ۾ ڌاڙيلن کي نه ڇڏينداسون.
Sports,انگلينڊ اينڊ ويلز ڪرڪيٽ بورڊ سندس خلاف اينٽي ڪرپشن قانونن جي ڀڃڪڙي جي جاچ ڪري رهيو آهي.
Politics,سازشي سوچ جو رستو روڪڻ لاءِ هر شخص ٻاهر نڪري: اوباما
Politics,ملاقات ۾ ملڪي خاص طور تي سنڌ صوبي جي مجموعي سياسي صورتحال تي پڻ خيالن جي ڏي وٺ ڪئي وئي.
Crime,اي سيڪشن ٿاڻي جي حد ۾ 10 ورهين جي ٻارڙي سان زيادتي.
Politics,نوابشاهه مان ايم بي چانڊيو موجب نوابشاهه جي ٽي ايم سي ايڇ ايم خواجه جي يونين ڪائونسل 5 جي وارڊ نمبر 4 تي جنرل ڪائونسل جي سيٽ تي بلدياتي ضمني چونڊون ٿي گذريون
Crime,زخمين ۾ رام لال، منٺار، ڪرپال، بالم، اچلو، تارو، رحيم، ٻارڙي ڪويتا ۽ ٻيا شامل آهن، حادثي جو شڪار ٿيل مسافر ڇاڇرو ۽ ننگرپارڪر جي ڳوٺن ڪريم تڙ، ارنيارو، لپلو جوڻيجا، وڪڙيو، ھيماري جا رهواسي آهن، جيڪي عمرڪوٽ کان ڳوٺ هيرار ويندڙ ڪيکڙي ۾ سوار هئا
Crime,ڪراچي پوليس چيف شهر ۾ اسٽريٽ ڪرائم وارداتون وڌڻ جو اعتراف ڪري ورتو
Politics,جيڪڏهن ائين نٿو ٿئي ته اسان کي ڪجهه اهڙا قدم کڻڻا پوندا، جيڪي يقيني طور تي افغان سرزمين تي دهشتگردن جون پناهه گاهون هونديون، جتي اسان کي انهن کي نشانو بڻائڻو پوندو، اسان کي ان ڪري نشانو بڻائڻو پوندو ڇو ته اسان اهڙي صورتحال کي گهڻي وقت تائين برداشت نٿا ڪري سگهون
Politics, محمد يوسف چيو ته ميان نوازشريف پاڪستان جو اثاثو ۽ پاڪستان جي تعمير ۽ ترقي جو ضامن آهي هن چيو ته ميان محمد نواز شريف پاڪستان کي باعزت ۽ باوقار مقام تي پهچايو آهي.
Politics,آءِ ايم ايف اهو به شرط رکيو آهي ته پاڪستان پنهنجي اينٽي ڪرپشن قانونن تي نظرثاني ڪري.
Sports,پاڪستان فاسٽ بالر محمد عامر آل رائونڊر شاداب خان جي حق ۾ ميدان تي اچي ويو آهي،
Politics,نيتن ياهو جي واپسي ايران آمريڪا ۽ اسرائيل لاءِ چئلينج هوندو: ايران
Politics,قومي اسيمبلي ۾ عدالتي سڌارن بابت بل اتفاق راءِ سان منظور
Politics,پيپلزپارٽي ايم پي اي جي پٽ جي عورت پولنگ آفيسر سان ڏند چڪ
Politics,جيڪڏهن ڪنهن ڪمال قليچ کي اهڙو ڪو اطلاع ڏنو آهي ته اهو سراسر ڪوڙ آهي.
Politics,شهيد ذوالفقار علي ڀٽو کي ڦاهي ڏيندڙ جج به پنهنجي ڪتاب ۾ ان ڳالهه جو اعتراف ڪيو هيو ته ذوالفقار علي ڀٽو کي ڦاهي ڏيڻ لا سندن مٿان دٻاءُ هيو.
Politics,اجلاس ۾ آءِ جي پوليس غلام نبي ميمڻ، گهرو سيڪريٽري سعيد مڱڻيجو، سنڌ جي وڏي وزير جو پرنسپل سيڪريٽري فياض جتوئي، ايڊيشنل آءِ جي (انويسٽيگيشن) منير شيخ، سيڪريٽري ناڻو ساجد جمال ابڙو ۽ ٻين لاڳاپيل آفيسرن شرڪت ڪئي.
Crime,هڪ عورت کي سندس ڌيءَ سميت ڏوهاري اغوا ڪري ويا.
Sports,اڳوڻي ڀارتي ڪپتان بابر اعظم جي ناڪامين جو سبب ٻڌائي ڇڏيو
Politics,2035 تائين اليڪٽرڪ گاڏين تي پابنديءَ لاءِ قانون جوڙڻ جو اعلان
Politics,شهباز شريف جون ننڊون حرام ڪنداسين: عمران خان جو قومي اسيمبلي ۾ واپسيءَ جو اشارو
Politics,پنهنجي وڊيو پيغام ۾ عمران خان چيو ته سوشل ميڊيا تي ڪنهن جو به ڪنٽرول ناهي، هي اسان کان چونڊون کٽي نٿا سگهن تنهن ڪري کين ڪجهه نه ڪجهه ته ڪرڻو آهي، مون کان اهڙي ڪهڙي غلطي ٿي آهي جنهن تي منهنجي خلاف دهشتگردي جا ڪيس ٺاهيا ويا آهن، هتي جمهوريت ۽ آئين جو قتل ٿي رهيو آهي پر ڪنهن کي به آئين جو فڪر ناهي، هي چونڊن وارو ماحول ئي پيدا ٿيڻ نٿا ڏين، اربع تي اسان کي جلسو ڪرڻو هو پر هاڻي خبر پئي آهي ته سڀاڻي ان بابت عدالت فيصلو ڪندي.
Politics,عمران خان جي گرفتاري تي شوبز شخصيتن جو ردعمل
Politics,گذريل سال آڪٽوبر ۾ شي جن پنگ مسلسل ٽيون ڀيرو چين جي حڪمران ڪميونسٽ پارٽي جو جنرل سيڪريٽري چونڊيو ويو.
Politics,وزيراعظم شهباز شريف عربي ڳالهائڻ شروع ڪري ڇڏي
Politics,سنڌ جي گورنر ڪامران خان ٽيسوري خط ۾ لکيو آهي ته گوٿن کي ريگيولر ڪرڻ لاءِ جيڪا ڪميٽي جوڙي وئي آهي ان ۾ سمورين پارٽين کي شرڪت ڪرڻ گهرجي
Politics,عالمي اڳواڻن سان گڏجي هاڪاري انداز ۾ اڳتي وڌي رهيا آهيون، سپريم ڪورٽ پاڻمرادو نوٽيس ورتو آهي ته چونڊن جو شيڊول ڇو نه ڏنو پيو وڃي.
Politics,جماعت اسلامي جي امير سراج الحق ميڊيا سان ڳالهائيندي چيو ته ملڪ ۾ اليڪشن هڪ ئي وقت تي ڪرائڻ موضوع آهي، سياسي صورتحال کي سياسي طريقي سان ئي گڏجي ويهي حل ڪرڻو پوندو، ڇاڪاڻ ته پاڪستان ڪا به غير يقيني واري صورتحال برداشت نٿو ڪري سگهي. هن چيو ته تحريڪ انصاف جي چيئرمين عمران خان تفصيلي ملاقات ٿي
Sports,هن چيو تھ مارڪ چيپمن جهڙي نموني رنسون ٺاهيون هيون، مون کي لڳو تھ ايوارڊ ان کي ئي ڏنو ويندو.
Crime,لياري گينگ وار جو سربراهه عذير بلوچ وڌيڪ 3 ڪيسن مان آجو
Politics,اسٽيبلشمينٽ جو ” پلان بي “ ري اميجنگ کي سياسي قوت طور منظم ڪرڻ جو فيصلو
Sports,پي سي بي پاران ايشيا ڪپ جي حوالي سان پيش ڪيل هائبرڊ ماڊل تي اهم اڳڀرائي ٿيڻ ها اطلاع مليا آهن، جنهن بعد امڪان آهي تھ هلندڙ هفتي ئي تاريخ ڏيڻ جو فيصلو ٿي ويندو
Politics,سنڌ ۾ مڪاني چونڊن بابت اليڪشن ڪميشن جو وڏو فيصلو
Politics,عامر خان کي مودي جي تعريف ڪرڻ مهانگي پئجي وئي
Sports,فيفا ورلڊ ڪپ 2022 کانپوءِ هڪ ٻئي عالمي ڪپ جي ميزباني قطر کي ملي وئي آهي
Politics,پيادل قافلي جي ڀرپور آجيان ڪري مٿن گلن جي ورکا ڪئي وئي.
Crime,گهوٽڪي ۾ اي سيڪشن پوليس مقابلو، 3 جوابدار گرفتار.
Sports,ڪراچي جي نيشنل ڪرڪيٽ اسٽيڊيم ۾ نيوزيلينڊ جي ڪپتان ٽام ليٿم ٽاس کٽي پهريان پاڪستان کي بيٽنگ جي دعوت ڏني.…
Politics,اڳ ۾ عمران خان ڪراچي ۾ دھشتگردن کي نفيس ماڻھو قرار ڏنو
Sports,سائيور برنٽ جو چوڻ هو تھ منهنجي لاءِ رٽائرمينٽ جو فيصلو ڏکيو هو، جيڪو ڪري ورتو آهي، ڇاڪاڻ تھ ڪرڪيٽ ۾ وڏا خواب کڻي آئي هئس، مان نٿي سمجهان تھ مون اهي خواب پورا ڪيا آهن، بس ايترو ڪيو تھ گهرڀاتي مون تي فخر محسوس ڪندا رهن.
Crime,دادو ۾ نامعلوم هٿياربندن شاگردياڻي کي حراسان ڪري ڇڏيو. ڇوڪري ايس ايس پي آفيس پهچي سيڪيورٽي جي گهر ڪئي.
Sports,ميڊيا مطابق رونالڊو ۽ سندس پارٽنر جارجينا پڻ اسپتال ۾ موجود آهن، جتي سندن ڌيءَ جو آپريشن ٿيندو.
Sports,ميڊيا مطابق ايٿن بائيز سائڪلنگ ۾ آمريڪا جو 10 ڀيرا قومي چيمپيئن رهيو آهي، جڏهن تھ هن وٽ 500 ميٽر ٽريڪ ٽائيم ٽرائل ۾ تيز ترين فلائنگ اسٽارڪ جو رڪارڊ پڻ آهي.
Crime,فلپائن: جهاز آتش فشان جبل ويجهو حادثي جو شڪار، چار ڄڻا حياتيون وڃائي ويٺا
Politics,ڪمال قليچ چيو ته هن جي مخالفن طرفان غير ملڪي هيڪرز کي جعلي وڊيوز ۽ ڪجهه آڊيوز بڻائڻ لاءِ هائر ڪيو ويو آهي جن جو مقصد اليڪشن کان اڳ اپوزيشن کي بدنام ڪرڻ آهي.
Crime,جنهن ۾ هوءَ رڙيو ڪري فرياد ڪري آهي ۽ مقدس هستين جا واسطا ڏئي پنهنجي عزت بچائڻ جي ڪوشش ڪري رهي آهي.
Sports,آسٽريليا جي مقامي آبادي سان تعلق رکندڙ پهرين عورت ڪرڪيٽر فيٿ ٿامس لاڏاڻو ڪري وئي آهي.
Crime,خيرپور ۾ پوليس مقابلو، هڪ زخمي سميت 2 جوابدار گرفتار.
Sports,سڌير نائيڪ ڊوميسٽڪ ٽيم جو ڪوچ بھ رهيو هو.
