Aspect Category,News Headlines
Sports,بابر اعظم وڌيڪ هڪ اعزاز پنهنجي نانءِ ڪري ورتو
Crime,پشاور سانحو: آپگهاتي بمبار جون تصويرون سامهون اچي ويون
Crime,ايڌي اختيارين موجب رضاڪارن ريسڪيو آپريشن ڪيو ۽ بيهوش ٿيل ماڻهن کي ايڌي ايمبولينس ذريعي ٽراما سينٽر منتقل ڪيو ويو.
Politics,وزيراعظم ڪانفرنس منعقد ڪرڻ کي سٺو سنئوڻ قرار ڏيندي قطر پاران اها ڪانفرنس منعقد ڪرڻ کي ساراهيو
Sports,آئرلينڊ 2017 ۾ ٽيسٽ ٽيم جو درجو حاصل ڪيو ۽ هن وقت تائين سڀئي پنج ميچون هارائي چڪو آهي.
Sports,سريلنڪا جي ڪرونارتني آئرلينڊ خلاف ٽيسٽ سيريز بعد ڪپتاني ڇڏڻ جو رٿي ڇڏيو
Politics,چيف جسٽس خلاف ريفرنس آيو ته ڏسندس:صدر عارف علوي
Politics,ياد رهي تھ ايران ۾ ڪجهه وقت کان سخت پابندين خلاف احتجاج ٿي رهيو آهي ۽ اداڪارائون پڻ انهن احتجاجن جو حصو بڻجنديون رهيون آهن.
Politics,سپريم ڪورٽ جي چيف جسٽس راجا سعيد اڪرم اڳوڻي وزيراعظم جي وڪيلن تي ڪاوڙ جو اظهار ڪندي چيو ته توهان اپيل ۾ اڳوڻي وزيراعظم کي هاڻوڪو وزيراعظم ڇو لکيو؟
Politics,پاڪستان دوحه پروگرام آف ايڪشن لاڳو ڪرڻ جي ڀرپور حمايت ڪريان ٿو. اهڙن خيالن جو اظهار هن گڏيل قومن جي اهتمام هيٺ اسرندڙ ملڪن جي ڪانفرنس کي خطاب ڪندي ڪيو
Sports,هي بابر ۽ رضوان کان اڳتي نڪري ويندو، ڀارتي ڪرڪيٽر جي اڳڪٿي
Crime,ايس ايڇ او اي سيڪشن طفيل احمد جلالاڻي چيو ته جنيد بلوچ، انس بلوچ ۽ بختيار نظاماڻي پاڻ ۾ دوست آھن، اٽڪل 20 موٽرسائٔيڪلون تيز رفتاري ۾ اچي رھيون ھيون، جنهن سبب پاڻ ۾ ٽڪرائٔجي ويون، حادثو تيز رفتاري سبب پيش آيو. فوتي جنيد بلوچ ۽ زخمي انس بلوچ اسٽيشن واري علائقي جا رھواسي آھن
Politics,شهباز شريف طرفان ڳالهين جي دعوت تي ڀارت جو جواب سامهون اچي ويو
Politics,مسلم ليگ (ن) جي چيف آرگنائيزر ۽ سينيئر نائب صدر مريم نواز چيو آهي ته اصل سازش اڳوڻي وزيراعظم نوازشريف خلاف ٿي هئي، 4 جج ۽ هڪ جرنيل تي ٻڌل پنجن جو ٽولو ملڪ جي بدحالي جو ذميوار آهي، پنجن جي ٽولي جو مک جنرل رٽائرڊ فيض حميد هو،
Crime,ميڊيا رپورٽن موجب پوليس طرفان ٻڌايل تفصيلن موجب آچر جي رات جو سونو ۽ سندس پيءُ جو جهيڙو ٿيو هو جنهن دوران سونو جي پيءُ ليلورام پٽ کي ماريو جنهن تي سونو ڪاوڙ ۾ اچي پيءُ تي گاسليٽ هاري باهه ڏئي ڇڏي.
Crime,نينگر جي والد ايس ايس پي ٽنڊوالھيار ۽ وس وارن کان مطالبو ڪيو ته اسان غريبن کي انصاف ڏياري جوابدار کي گرفتار ڪري سخت سزا ڏني وڃي.
Politics,چيف جسٽس سوال ڪيو ته ڪمپائونڊ مان ڪيل گرفتاري اثرائتي رهي سگهي ٿي؟
Politics,فتني کي موقعو مليو ته قوم سان ڪو حادثو ڪندو: راڻا ثناءُ الله
Sports,ڪرڪيٽ شوقينن لاءِ خوشخبري، پاڪ ڀارت سيريز بابت وڏي خبر اچي وئي
Crime,بالي ووڊ فلمن جي سپر اسٽار سلمان خان پنهنجي سيڪيورٽي کي پاڻ لاءِ تڪليف ڏيندڙ قرار ڏيندي چيو آهي تھ منهنجي چوڌاري ايتريون بندوقون آهن جو هاڻ مون کي بھ خوف ٿئي ٿو.
Politics,ڪراچي (ويب ڊيسڪ) پوليس پي ٽي آءِ اڳواڻ صدر علي زيدي کي گرفتار ڪري ورتو.
Sports,سماجي رابطن واري پيج تي جاري ڪيل بيان ۾ نجم سيٺي ٻڌايو تھ ڪيترن ئي مهينن کان ميڊيا ۽ ڪرڪيٽ جي حلقن ۾ باراعظم کي ڪپتان رکڻ يا نھ رکڻ جي فائدن توڙي نقصانن تي بحث ٿي رهيو آهي
Politics,عمران خان ملڪ کي خودمختياري ۽ آزادي طرف نه پر غلامي طرف وٺي وڃي رهيو هو. مان سٺي خبر ڏيڻ چاهيان عو ته انشاءالله 23 ڪروڙ عوام جو ملڪ ڊيفالٽ نه پر ترقي طرف سفر ڪندو
Crime,عثمان شاهه هري ۾ شراب جي فيڪٽري تي پوليس جو ڇاپو، هڪ جوابدار گرفتار.
Crime,جنهن بعد جھيڙي ۾ قتل ٿي ويل ماڻهن جو انگ 5 ٿي ويو، ٻنھي ڌرين جي فائرنگ ۾ 5 ڄڻا زخمي ٿي پيا، زخمين ۾ مختيار ڊومڪي، طارق ڊومڪي، ذاڪر ڊومڪي، علم الدين ڊومڪي شامل آهن
Sports,پي سي بي جي اڳوڻي چيئرمين رميز راجا قومي ٽيم جي ٻن اهم بالرن شاهين شاهه آفريدي ۽ حارث رئوف جي بالنگ واري اسپيڊ ۾ گهٽتائي تي ڳڻتي ڏيکاري ڇڏي آهي.
Sports,سندس دور ۾ پاڪستان چيمپيئنز ٽرافي کٽي، مڪي آرٿر ڊربي شائر سان به ڪم ڪندو رهندو.
Crime,شڪارپور ۾ ٻن ڌرين ۾ جهيڙو، فائرنگ، 2 ڄڻا زخمي.
Politics,ناٽڪ باز عمران خان کي ڊراميباز ڪمپني کولڻ گهرجي: شرجيل ميمڻ
Crime,گذريل ڏينهن شاهه لطيف ٿاڻي تان اينٽي وائلنٽ ڪرائم سيل ڇاپو هڻي ٻن مغوين کي بازياب ڪرايو هو.
Politics,ڪابينا جي اقتصادي رابطا ڪميٽي جو اجلاس اربع ڏينهن هتي ناڻي واري وفاقي وزير شوڪت ترين جي صدارت ۾ منعقد ٿيو.
Politics,پڊعيدن: جسقم اڳواڻ رستم شر کي مبينا طور گم ڪرڻ خلاف وارثن ۽ جسقم ڪارڪنن احتجاجي مظاهرو ڪيو
Politics,ڪراچيءَ ۾ پريس ڪانفرنس ڪندي سعيد غني چيو ته افتخار چوڌري ۽ ثاقب نثار جهڙا چيف جسٽس رهيا جن عدالتي ساک کي نقصان پهچايو.
Crime,جڏهن ته حادثي جي نتيجي ۾ ظفر، عبدالغفور، مدثر، فارس حبيب، محمد صفدر، محمد بلال، شهناز، وحيد شاهه، وقاص علي آرائين، غلام عربي، عبدالستار ۽ مختيار احمد مهر سميت 15 مسافر زخمي ٿي پيا.
Sports,ناروي فٽبال ڪپ ۾ پاڪستان جي اسٽريٽ چائلڊ ٽيم کي بھ کيڏائڻ جو فيصلو ڪيو ويو آهي.
Politics,وڪيل گوهر علي چيو ته مان فائل نه ڏيڻ چاهيو، جڏهن ته ايس پي چيو مون کي ڌڪ لڳو آهي، مون وٽ صحيح ٿيل درخواست ناهي.
Politics,وزيراعظم آفيس جي ميڊيا پاران جاري بيان موجب ملاقات ۾ گڏيل دلچسپي جي معاملن تي ڳالهه ٻولهه ڪئي وئي
Politics,ايم ڪيو ايم سان ڪيل معاهدو پورو ڪنداسين: شرجيل ميمڻ
Sports,هوڏانهن بنگلاديش جي اوپنرن ئي 102 رنسون ٺاهي ٽيم کي ڪاميابي ڏياري ڇڏي، جنهن ۾ لٽن داس 50 ۽ تميم اقبال 41 رنسون ٺاهيون. آئرش بالر بنگلاديش جي اوپنرن آڏو بيوس رهيا.
Crime,رتيديري ۾ پوليس مقابلو، هڪ جوابدار گرفتار.
Crime,سپريم ڪورٽ: ارشد شريف جي قتل تي پاڻمرادو نوٽيس ڪيس ٻڌڻي لاءِ مقرر
Politics,وفاق حصي جو يوريا ڀاڻ سنڌ کي نه ڏئي رهيو آهي.
Sports,هائبرڊ ماڊل تي اڳڀرائي، ايشيا ڪپ جو فيصلو هلندڙ هفتي ٿيندو
Politics,دهشتگردن جا دوست پاڪستان جا دوست نٿا ٿي سگهن: پرڏيهي وزير
Sports,بابراعظم دنيا جو بهترين رانديگر آهي، ميدان تي اچڻ بعد دوستي ناهي رهندي: عامر
Politics,هن چيو تھ بورڊ ۾ هڪ لابي ڪراچي خلاف ڪم ڪري رهي آهي، جيڪي ڪراچي سان تعلق رکندڙ ڪرڪيٽرن يا ايڊمنسٽريٽرن خلاف ڪم ڪندي آهي.
Politics,شرجيل انعام ميمڻ چيو ته عمران خان کي چونڊ نه پر مصنوعي طريقي سان اقتدار ۾ آندو ويو، جنهن تي عمران خان پاڻ پنهنجي انٽرويوز ۾ اعتراف ڪيو ته قومي اسيمبلي ۽ سينيٽ ۾ منهنجي حڪومت جا انگ ڪو ٻيو پورا ڪندو هو
Politics,اسان جي شروع ڪيل ترقي جي سفر کي گذريل حڪومت روڪي ڇڏيو:وزيراعظم
Politics,ماڻهن کي ڊيڄاريو پيو وڃي ته عمران خان تي ريڊ لائن لڳائي وئي آهي: پي ٽي آءِ چيئرمين
Politics,پرڏيهي وزير بلاول ڀٽو زرداري چيو آهي ته اسان کي مقدس ڳئون جو سلسلو روڪڻو آهي، اسان لاءِ ۽ سمورن ججن لاءِ هڪ جهڙو قانون هجڻ گهرجي، نيب هميشه سياسي انجنيئرنگ ۽ غير جمهوري قوتن کي جاءِ ڏيڻ لاءِ ٺهيو آهي، اهو سلسلو بند ٿيڻ گهرجي، نه ته ان ۾ سڌارا ۽ ترميم ڪري ان کي عدليه تي پڻ لاڳو ڪيو وڃي
Crime,نيو ديرو ۾ ڦر دوران مزاحمت تي فائرنگ، هڪ ڄڻو مارجي ويو.
Crime,ڌارين جي دادگيري جو دَنگ، سنڌ جي قديمي ڳوٺ تي قبضي لاءِ ڌمڪيون
Politics,پ پ جي مجرمانه خاموشي تي اسان کي ڪيترائي خدشا آهن،
Sports,ميڊيا مطابق پي اين جي جا بيٽر 95 رنسون ٺاهي آئوٽ ٿي ويا، نيپال جي بالر سنديپ لميڇاني 5 وڪيٽون ورتيون، نيپال 96 جو هدف هڪ وڪيٽ تي پورو ڪيو.
Crime,پوليس اغوا ٿيل نوجوان اصغر کي اوبورو مان زخمي حالت ۾ بازياب ڪرايو.
Sports,ٽھ ملڪي ون ڊي سيريز جي آخري ميچ ۾ يو اي اي 6 وڪيٽن تي 310 رنسون ٺاهيون، جنهن ۾ آصف خان 11 ڇڪن سان 101 رنسن تي ناٽ آئوٽ رهيو ۽ ورتيا ارونڊ بھ 94 رنسون ڪيون، ڪپتان محمد وسيم 63 رنسن سان نمايان رهيو
Politics,ڇو ته برطانيا کان آيل 50 ارب رپين کان وڌيڪ رقم ته عمران خان ملڪ رياض کي واپس ڏني هئي ۽ عمران خان تي الزام آهي ته ان رقم عيوض القادر يونيورسٽي لاءِ 458 ايڪڙ زمين ورتي هئي ۽ بشريٰ بي بي کي به ملڪ رياض هيرن جا هار وغيره ڏنا هئا.
Politics,جواد سهراب ملڪ وزيراعظم جو خاص مددگار مقرر
Politics,عدالت چيو ته هڪ شئي ياد رکو اسان جي عدالت مان آزادي کان پو ڪنهن کي گرفتار ڪيو ته وڏو مسئلو ٿيندو.
Politics,سنڌ طاس معاهدو: ڀارت عالمي عدالت ۾ قانوني عمل روڪرائڻ لاءِ روايتي حربا استعمال ڪرڻ لڳو
Crime,ميڊيا مطابق سيشن ڪورٽ لاهور ۾ ڪيس جي ٻڌڻي شروع ٿي تھ ميشا شفيع جي وڪيل ٻڌڻي ملتوي ڪرڻ جي استدعا ڪئي، جنهن تي عدالت ٻڌڻي کي 2 مئي تائين ملتوي ڪري ڇڏيو آهي.
Crime,نئين دهلي (ويب ڊيسڪ) ڀارتي رياست ڪيرالا ۾ جوابدار علاج ڪندڙ نوجوان ڊاڪٽرياڻي کي قتل ڪري ڇڏيو.
Crime,جي ايڇ ڪيو گيٽ تي عورتن به ڀڃ ڊاهه ڪئي، 14 شرپسندن جي سڃاڻپ
Crime,پوليس موجبد پوليس جي جوابي فائرنگ ۾ 30 ڪيسن ۾ گھربل سليمان لنڊ مارجي ويو، مارجي ويل ڏوھاري جو لاش سي آئي اي پوليس سول اسپتال ٽنڊوالھيار آندو، جتي مارجي ويل ڏوھاري جا وارث مارجڻ جي خبر ٻڌي سول اسپتال پھتا، پوليس ڏوهاري جو وارثن کي لاش نه ڏنو.
Politics,چيف جسٽس عمر عطا بنديال ريمارڪس ڏنا ته هن ڪيس جي 46هين شنوائي آهي ۽ بئنچ جي مرضي آهي هن ڪيس کي مڪمل ڪيو وڃي
Crime,شھدادپور/ٽنڊوآدم/بدين/هالا: شهدادپور ۾ وڪيل تي تشدد ڪرڻ جو اي سي ۽ ميونسپل ايڊمنسٽريٽر سميت پوليس اهلڪارن ۽ روينيو عملي خلاف ڪيس داخل ڪيو ويو آهي.
Crime,نوجوان مڙس کي چاهيندڙ سان گڏ ماري ڇڏيائين، سڀني کي افسوس !
Politics,آمريڪي ايئر فورس طرفان جاري ڪيل بيان ۾ چيو ويو آهي نئين جهاز ۾ نيري ۽ اڇي رنگ جي ٿيم رکي وئي آهي پر هي جديد ۽ مختلف هوندو.
Politics,سوين سياسي ڪارڪن جيلن ۾ بند آهن، فسطائي حڪمرانن کان آزادي اسان جي منزل آهي: فواد
Politics,عمران خان اهو بيان آءِ ايس پي آر جي رد عمل ۾ ڏنو هو.
Politics,خميس تي پارليامينٽ جي پبلڪ اڪائونٽس ڪميٽي جي چيئرمين نورعالم خان جي صدارت هيٺ اجلاس ٿيو، جنهن ۾ توانائي وزارت بابت سال 2021-22 جي آڊٽ اعتراضن جو جائزو ورتو ويو
Sports,پي سي بي، ڀارتي ڪرڪيٽ بورڊ طرفان پاڪستان اچڻ کان انڪار تي هائبرڊ ماڊل جي آڇ پڻ ڪري چڪو آهي، جنهن تحت ڀارت جون ميچون نيوٽرل هنڌ تي ۽ باقي ميچون پاڪستان ۾ ٿينديون.
Sports,پاڪستان سپر ليگ جي هلندڙ اٺين سيزن ۾ دفاعي چئمپين ٽيم لاهور قلندرز ڪواليفائر ۾ ڪاميابي ذريعي سڌي ريت فائنل ۾ پهچڻ جو موقعو وڃائي ڇڏيو، محمد رضوان جي ٽيم ملتان سلطانز جي بالرن لاهور کي صرف 76 رنسن تي ڍير ڪري لڳاتار ٽيون ڀيرو فائنل جي سيٽ پڪي ڪري ورتي آهي
Sports,اسلام آباد يونائيٽڊ جي تيز بالر فضل الحق فاروقي مٿان ڪوڊ آف ڪنڊڪٽ جي ڀڃڪڙي ڪرڻ تي ميچ فيس جو 10 سيڪڙو ڏنڊ لڳايو ويو آهي.
Crime,مين پُڙي ۽ گُٽڪي جي ڪاروبار ۾ ملوث پوليس آفيسرن بابت رپورٽ طلب
Crime,آءِ جي سنڌ پاران عوامي آواز ڪيٽي بندر جي رپورٽر الياس سمون کي ڌمڪين تي شفاف جاچ جي خاطري
Crime,خيرپور مان 4 ڏينهن کان گم ٿيل نوجوان جو لاش هٿ.
Politics,جيڪڏهن سپريم ڪورٽ مان آئيني بحران پيدا ٿيو ته ان جي فيصلي تي ڪير اعتبار ڪندو؟ پوءِ فيصلو ڏنو وڃي ٿو ۽ ان تي عمل ڪرائڻ لاءِ حڪومت تي لاڳو ٿئي ٿو.
Crime,منشيات فروشن جي سرپرستي ڪندڙ پوليس اهلڪارن جي لسٽ جاري، آءِ جي سنڌ پوليس جي لسٽ جاري ڪري ڇڏي، ايس ايس پي نوشهروفيروز خلاف ڪارروائي نه ڪرڻ تي پابندي.
Politics,ترڪيه ۾ هڪ پاسي تباهي سبب سماجي اتحاد جو مطالبو ۽ امدادي ڪوششن جون هدايتون ڪيون ويون آهن ته ٻئي پاسي اها دعويٰ ڪئي پئي وڃي ته ترڪيا ۽ شام ۾ آيل زلزلو آمريڪي ڳجهي ٽيڪنالاجي جو نتيجو آهي
Crime,ميرپورخاص: ميرپورخاص ۾ پيار جي شادي ڪندڙ نوجوان وليمي واري رات ڪمري ۾ گوليون لڳڻ سبب قتل ٿي ويو
Politics,گورنر خط ۾ چيو آهي ته ايم ڪيو ايم سميت جماعت اسلامي کي ان حوالي سان خدشا آهن، اين جي اوز کي به ان تي خدشا آهن.
Crime,ملازم ٻار کي ماريندڙ وحشي عورت شيرين جو جسماني ريمانڊ منظور
Politics,افغانستان ۾ دهشتگردي جي ٺڪاڻن تي حملن ۾ مدد بابت سوال جو جواب ڏيڻ کان پاسو ڪيو.
Sports,ميڊيا مطابق النصر جو اسٽار فٽبالر پنهنجي ڪلب جون پوائينٽس گهٽ هجڻ سبب ميچ ۾ گول نھ ڪري سگهڻ تي صدمي ۾ اچي ويو آهي، جنهن سبب هن ڪاوڙ واري انداز ۾ ميدان ڇڏيو آهي.
Politics,پاڪ افغان مقابلو، طالبان پاران شهرين کي اهم هدايتون جاري
Crime,سنڌ ۾ پوليس اهلڪارن تي وڏي پابندي لاڳو، ڀڃڪڙي ڪندڙن خلاف سخت ڪارروائي ٿيندي
Politics,پاڪستان مسلم ليگ (ن) جي سربراهه اڳوڻي وزيراعظم محمد نواز شريف چيو آهي ته جيڪڏهن لاڏلي کي 2018ع ۾ ڌانڌلي ذريعي نه آندو وڃي ها ته اڄ پاڪستان گهڻو اڳتي وڃي چڪو هجي ها، اسان 2013ع ۾ اقتدار ۾ اچڻ بعد پاڪستان کي ڏکياين مان ڪڍيو هو پر عمران خان جي چئن سالن جي حڪومتي دور ۾ ماڻهو بدحال ٿيا
Sports,نئين دهلي ( ويب ڊيسڪ ) اڳوڻي ڀارتي ڪرڪيٽر وريندر سيهواگ ڪيئي ورهيه گذري وڃڻ باوجود پاڪستانين طرفان ملندڙ پيار، پهنجائپ ۽ مهمان نوازي نه وساري سگهيو آهي.
Sports,ميڊيا سان ڳالهائيندي هن چيو تھ سٺا رانديگر نھ هجڻ يا ٽيلنٽ جي کوٽ وارو تاثر نھ ملڻ گهرجي، ايندڙ ميچن ۾ ٽيم پرفارمن ڪندي.
Politics,نئون ديرو هائوس ۾ ورسي جي تقريب کي بلاول ڀٽو زرداري خطاب ڪندو، پيپلزپارٽي پاران شهيد ذوالفقار علي ڀٽو جي ورسي جون ضلعي سطح تي به تقريبون ٿينديون.
Sports,پي ايس ايل سيزن 8 جي مقابلن ۾ پشاور زلمي جي ٽيم طور خراب پرفارمنس تي انگلينڊ سان تعلق رکندڙ ڪرڪيٽر ٽام ڪوهلر ڪيڊمور پنهنجي ميچ فيس 30 سيڪڙو گهٽ وٺڻ جو اعلان ڪيو آهي.
Politics,ق ليگ کي پي ٽي آءِ ۾ ضم ڪيو، مونس کي پارٽي ۾ اهم عهدو ڏيندس، عمران خان جي پرويز الاهي کي آڇ
Sports,پاڪستاني ٽيم ھڪ ٻئي اسپنر سان ميدان تي لھي ھا ته فائدو ٿئي ھا: رميز راجا
Sports,زمبابوي ڪينگروز کي گهر ۾ ئي ڍير ڪري نئين تاريخ جوڙي ورتي
Sports,آئي پي ايل ميچ دوران اوور ۾ لاڳيتو 5 ڇڪا لڳڻ تي بالر بيمار، وزن بھ گهٽجي ويو
Politics,ذريعن موجب اجلاس ۾ چيو ويو ته ڪيترن ئي علائقن ۾ آدم شماري عملو نه پهچي سگهيو
Sports,پاڪستان ڪرڪيٽ ٽيم جي فاسٽ بالر نسيم شاهه کي اعزازي ڊي ايس پي بڻايو ويو، جڏهن ته بلوچستان پوليس به نسيم شاهه کي خير سگالي سفير مقرر ڪيو.
