Aspect Category,News Headlines
Crime,نوابشاهه ۾ پوليس مقابلو، 2 جوابدار زخمي حالت ۾ گرفتار.
Crime,ايم ڪيو ايم جي رابعه خاتون پنهنجي ڌيان ڇڪايو نوٽيس ۾ چيو ته ڪراچي ۾ اسٽريٽ ڪرائيم وڌي ويو آهي، ائين لڳي ٿو ته ادارا بيوس بڻجي ويا آهن.
Sports,ڪامينٽري دوران رڪي پونٽنگ کي دل ۾ تڪليف، اسپتال منتقل
Politics,صوبائي وزير پنھنجي ٽوئٽ ۾ چيو آھي ته پيپلز پارٽي شاهه محمود کي سازش ڪندي پڪڙيو
Sports,سهواگ کي پاڪستاني دڪاندار 35 وڳا مفت ۾ ڇو ڏنا؟ اڳوڻي ڪرڪيٽر ٻڌائي ڇڏيو
Crime,لطيف آباد جي علائقي ۾ عورت کي وحشياڻي تشدد جو نشانو بڻايو ويو، ايس ايس پي ڊي آءِ جي واقعي جي تفصيلي رپورٽ طلب ڪري ورتي، علائقي واسين عورتن کي کڻائي اسپتال پهچايو.
Sports,ثقلين مشتاق پاران ماضي ۾ جاويد ميانداد سان بدتميزي ڪرڻ جو اعتراف
Sports,رتو موني 33 رنسن تي رن آئوٽ ٿي وئي، ميچ ۾ سريلنڪن بالر خاص ڪارڪردگي ڏيکارڻ ۾ ناڪام رهيون آهن.
Crime,خانپورمهر ويجهو ڪارنهن الزام ۾ مڙس ۽ سهري هٿان عورت قتل
Politics,اسرائيلي فوج جي غزا تي بمباري
Politics,بادشاهه چارلس تي آني سان حملو
Crime,ڪنڌڪوٽ ۾ پوليس مقابلو، اغوا ٿيل ٻارڙي بازياب.
Politics,هڪ شخص ملڪ ۾ ڏڦيڙ چاهي ٿو، ادارن تي حملا برداشت نه ڪنداسين: آصف زرداري
Politics,تحريڪ انصاف جي سربراهه عمران خان چيو آهي ته حڪومت ۽ ان جا سرپرست مون کان ڊنل آهن، هنن کي اليڪشن ۾ عبرتناڪ شڪست جو ڊپ آهي.
Politics,اليڪشن ڪميشن تمام گهڻي غور ويچار ۽ زميني حقيقتون ڄاڻڻ بعد ئي 8 آڪٽوبر جي تاريخ ڏني هئي
Sports,پاڪستان خلاف مقابلي کان اڳ اهم ڀارتي بالر بيمار، شرڪت شڪي
Politics,پوليس خلاف احتجاج، 5 ڄڻن جي گم ٿيڻ جو الزام.
Sports,ميڊيا مطابق نيوزيلينڊ خلاف ميچ کان اڳ پي سي بي مينيجمينٽ ڪاميٽي جي چيئرمين حفيظ ڪاردار جي پٽ شاهد حفيظ کي هال آف فيم جو سوونيئر پيش ۽ سندس ڪيل ڪم ۽ مڃتا جو تفصيلي ذڪر ڪيو آهي
Sports,ٻئي پاسي ميڊيا سان ڳالهائيندي اڳوڻي ڪرڪيٽر شعيب اختر تجويز ڏيندي چيو آهي تھ منهنجي خواهش آهي تھ ايشيا ڪپ پاڪستان ۾ ٿئي، پر جيڪڏهن ائين نٿو ٿئي تھ اهي مقابلا سريلنڪا ۾ ڪرايا وڃن.
Politics,اسلام آباد:وفاقي حڪومت نيب ترميمي ڪيس ۾ سپريم ڪورٽ جي روبرو چيو آهي ته جن کي نيب جي ترميمن مان بري ڪيو ويو يا ان مان فائدو ورتو، انهن ۾ تمام گهٽ سياستدان آهن
Crime,ٻارڙي سان زيادتي بعد قتل واقعو، پوليس چارجوابدار گرفتار ڪيا
Crime,ڪچي ۾ ڌاڙيلن خلاف آپريشن جاري رهندو، گذريل ڏينهن ايس ايڇ او شهيد ۽ ڊي ايس پي سميت 4 ڄڻا زخمي ٿيا هيا ۽ پوليس پاران 8 کان وڌيڪ ڌاڙيلن کي مارڻ جي دعويٰ ڪئي وئي هئي
Crime,شهدادڪوٽ مان 2 ڏينهن پراڻو لاش هٿ.
Sports,قومي ڪرڪيٽرن پاران پنهنجي حقن لاءِ آواز اٿارڻ جو فيصلو
Crime,شهيد عبداللطيف سوڳوارن ۾ بيواهه، 6 ڌيئرون ۽ هڪ پٽ ڇڏيو آهي.
Crime,جوابدار گرفتار نه ٿيو ته پاڻ کي هٿ ڪڙيون هڻي عدالت ۾ پيش ٿينديس: پروين رند
Sports,ميڊيا مطابق ليگ جي ميچ ۾ آرسنل جي رانديگرن ڪيون ڊي بريوني ۽ ايرلنگ هالينڊ شاندار راند کيڏندي ٽيم کي ڪاميابي ڏياري، جنهن ۾ ڪيون ڊي بريوني 2 گول ڪيا، اهڙي ريت جان اسٽونس ۽ ايرلنگ هالينڊ هڪ، هڪ گول ڪري اسڪور کي مضبوط بڻائي ورتو.
Politics,سنڌ بلڊنگ ڪنٽرول اٿارٽي کي ڪراچي ۾ غير قانوني اڏاوتن خلاف ڪارروائي جو حڪم
Sports,پشاور زلمي لاهور قلندرز کي 35 رنسن تان شڪست ڏئي ڇڏي
Politics,پاڻمرادي نوٽيس جي ڪارروائي عدالت کي غير ضروري سياسي تڪرار ۾ وجهي ڇڏيو آهي.
Politics,نيو گيسٽ هائوس پوليس لائنز ۾ عمران خان خلاف القادر ٽرسٽ ڪيس جي ٻڌڻي احتساب عدالت جي جج محمد بشير ڪئي، جنهن سلسلي ۾ پي ٽي آءِ چيئرمين جا وڪيل علي بخاري، خواجا حارث ۽ بئريسٽر گوهر عدالت ۾ پيش ٿيا.
Crime,عمرڪوٽ ڀرسان ٻن ڪارن ۾ خوفناڪ ٽڪر، ناريءَ سميت ٻه ڄڻا فوت
Crime,سجاول جوڻيجو ۾ پوليس مقابلو، 2 جوابدار زخمي حالت ۾ گرفتار.
Sports,پاڪستان جي قومي ڪرڪيٽ ٽيم ون ڊي ۾ 500 فتحن جو هدف پورو ڪري ورتو آهي
Politics,30 ڏينهن ۾ ون ٽائيم اپيل جي حق سان اڳوڻي وزيراعظم نواز شريف سان گڏوگڏ يوسف رضا گيلاني، جهانگير ترين سميت پاڻمرادي نوٽيس ڪيسن جي فيصلن جون ٻيون متاثر ڌريون به فائدو کڻي سگهنديون
Politics,مسلم ليگ (ن) جي نائب صدر ۽ چيف آرگنائيزر مريم نواز چيو آهي ته غير آئيني ڪردار ادا ڪرڻ تي جنرل (ر) فيض حميد کي عبرت جو نشانو بڻائي سندس ڪورٽ مارشل ڪيو وڃي، ادارن جي بدنامي جو سبب بڻجندڙن جو احتساب ٿيڻ گهرجي
Sports,ويرات ڪوهلي آءِ پي ايل جي 16 هين سيزن ۾ رائل چئلينجر بئنگلور جي نمائندگي ڪري رهيو آهي ۽ هن پنهنجي ٽيم جي ڪاميابي ۾ انتهائي ڪارائتو ڪردار ادا ڪيو آهي
Politics,پ پ لياري جي يوسي 2 بهار ڪالوني ۽ يوسي 8 مومن آباد ۾ فتح حاصل ڪري ورتي.
Crime,عامر لياقت جي مبينا ايڪس ريز ۾ ڪيتريون ئي هڏيون ڀڳل هجڻ جو انڪشاف
Sports,ون ڊي رينڪنگ ۾ فخر زمان جو وڏو ٽپو، بابر لاءِ به خطرو وڌي ويو
Sports,ريال ميڊرڊ اسپينش ڪپ جي فائنل ۾ پهچي وئي، بارسلونا کي شڪست
Politics,واضح رهي ته سُپريم ڪورٽ ناڻي واري وزارت کي 21 ارب رُپيا اليڪشن ڪميشن کي ڏيڻ جي حڪم ڏنو هو ۽ الڪشن ڪيمشن کي هدايت ڪئي هئي ته يارنهن اپريل تائين اڳڀرائي رپورٽ عدالت ۾ جمع ڪرائي وڃي.
Politics,ايم ڪيو ايم ڊپٽي ڪنوينر، ڪنور نويد جميل جي حالت ڳڻتي جوڳي
Politics,ڪالهه خانگي ٽي وي جي پروگرام ۾ ڳالهائيندي صدر عارف علوي چيو ته 9 مئي سانحي ۾ ملوث ماڻهن خلاف ڪارروائي ۾ انساني حقن جو خيال رکيو وڃي ۽ مارڪٽ کان پاسو ڪيو وڃي، جڏهن ته ڪو به احتجاج قانون جي دائري ۾ رهي ڪري ڪرڻ گهرجي.
Crime,قمبر شهداد ڪوٽ ۾ غير حاضر رهندڙ 271 پوليس آفيسرن ۽ اهلڪارن جي نوڪري چٽ
Politics,رپورٽن موجب ڄاڻايل واقعو نريندر مودي جي ڪرناٽڪ اسيمبلي جي چونڊ لاءِ بي جي پي جي چونڊ مهم دوران پنهنجي حامين سان ملاقات دوران پيش آيو.
Sports,لاهور: پاڪستان ڪرڪيٽ بورڊ (پي سي بي) هڪ ڀيرو ٻيهر اڳوڻي ٽيسٽ ڪرڪيٽر ۽ ليول فور جي ڪوچ ياسر عرفات کي عهدي تان هٽائي ڇڏيو آهي.
Politics,جيل ڀريو تحريڪ بابت اجلاس، پرويز خٽڪ غير حاضر
Politics,فواد عدالت ۾ ڌيئرن جو پڇي روئي ويٺو، اسان کي ساڻس ملڻ نه پيو ڏنو وڃي: زال حبا
Politics,عمران خان خلاف بي اعتمادي رٿ آڻي اسان سمجهيو جمهوريت ڪامياب ٿي وئي ۽ سازش ختم ٿي وئي پر سازش اڃا جاري آهي؛
Politics,” تون زنده رهندينءَ بينظير “ مشرف جي لاڏاڻي تي بلاول جي ٽوئيٽ
Sports,فٽبال ميچ دوران ڇڪتاڻ، 125 ڄڻا فوت ٿي ويا
Crime,ڊينگي جي مريضن کي جعلي پليٽليٽس وڪرو ڪندڙ گروهه گرفتار
Crime,وڊيو: ڪراچي ۾ قرباني جي مڇريل جانور تي شهري گولين جو مينهن وسائي ڏنو
Politics,ڊي آءِ جي سائوٿ عرفان بلوچ جي ميڊيا سان ڳالهه ٻولهه.
Sports,واضح رھي تھ لکنئو سپر جائنٽس جي مينٽور گوتم گھمڀير ۽ اسٽار ڪرڪيٽر ويرات ڪوھلي وچ ۾ سخت جملن جي ڏي وٺ ٿي،
Crime,ڦر دوران مزاحمت تي فائرنگ ۾ دڪاندار زخمي، چور 1 لک روڪ رقم کڻي فرار ٿي ويا.
Politics,پنجاب جي نگران سرڪار تحريڪ انصاف اڳواڻن ۽ ڪارڪنن خلاف ڪريڪ ڊائون روڪي ورتو، عمران خان کي سڀاڻي مينار پاڪستان وٽ جلسي جي اجازت ڏيڻ جو فيصلو پڻ ڪيو ويو، جڏهن ته نگران وڏي وزير زمان پارڪ ۾ آپريشن دوران اهلڪارن تي ٿيل پٿرا ۽ تشدد جي واقعن جي جاچ لا جي آءِ ٽي جوڙڻ جو اعلان ڪندي چيو آهي ته صوبي ۾ حڪومتي رٽ قائم ڪرڻ لا پوليس کي فري هينڊ ڏئي ڇڏيو آهي، هاڻي جيڪو به پوليس تي هٿ کڻندو ان جا هٿ ڀڃي ڇڏينداسين.
Sports,ٽي 20 ليگز خطرو بڻجي ويون، عالمي ڪرڪيٽ بچائڻ لاءِ آئي سي سي سرگرم
Sports,پي سي بي جي اختيارين اڳوڻي تيز بالر ۽ ڊائريڪٽر طور ڪم ڪندڙ نديم خان کي ڪجهه وقت اڳ پاسيرو ڪرڻ بعد ملازمت تان بھ فارغ ڪري ڇڏيو آهي.
Crime,عدالت جي حڪم تي زميندار جي خانگي جيل تي پوليس جو ڇاپو، 24 هارين کي بازياب ڪرايو ويو.
Crime,جيڪب آباد ۾ مغوي جي آزادي لاءِ آپريشن، 6 اهلڪار شهيد ٿي ويا
Sports,آسٽريليا پاڻ کي ٽي 20 ڪرڪيٽ جي مشهور بگ بيش جي ڊيگهه کان بيزار ٿي ان جي سيزن محدود ڪرڻ جو فيصلو ڪري ڇڏيو آهي
Sports,جيڪو هي ٽيسٽ پاس ڪندو اُهو ئي ڀارتي ٽيم ۾ کيڏندو، بي سي سي واضح ڪري ڇڏيو
Politics,بيجنگ (ويب ڊيسڪ) چين روس- يوڪرين جنگ ۾ ٽياڪڙي جون ڪوششون تيز ڪندي خاص نمائيندو يوڪرين ۽ روس موڪلڻ جو فيصلو ڪري ورتو.
Sports,سڀ ڪجهه 92ع جهڙو ته روزا ڇو نه؟ رانديگرن روزا رکڻ شروع ڪري ڇڏيا
Crime,عدالت فيصلي ۾ ڄاڻايو آهي تھ جيا جي ماءُ پنهنجا اڳوڻا بيان بھ پاڻ رد ڪيا، آپگهات کي قتل ظاهر ڪيو ۽ ڪو ثبوت ئي نھ ڏنو
Sports,ميڊيا مطابق ميامي اوپن ٽورنامينٽ ڪواليفائر رائونڊ ميچ ۾ روس جي واروارا گريچيوا آمريڪا جي ٽينس اسٽار پيٽن اسٽيرنس کي 7، 6 ۽ 6، 1 جي مقابلي ۾ شڪست ڏني آهي.
Sports,سنڌ حڪومت جي ترجمان مرتضيٰ وهاب ڪراچي جي علائقي ڪلفٽن ۾ پل جي هيٺان رمضان ڪرڪيٽ نائيٽ ٽورنامينٽ کيڏي آهي، جنهن دوران سندس وڊيو پڻ شيئر ڪئي وئي آهي
Politics,اسلام آباد : پاڪستان ۽ چين ٻه طرفا لاڳاپن جي سمورن شعبن جو جائزو ورتو آهي. جڏهن ته ٻنهي ملڪن سياسي ۽ سيڪيورٽي تعاون، ٻطرفي واپار، اقتصادي ۽ مالي سهڪار، ثقافتي مٽاسٽا، سياحت ۽ عوام وچ ۾ لاڳاپن کي هٿي وٺرائڻ تي اتفاق ڪيو آهي
Politics,رياست ماءُ آهي، جنهن کي قيد ڪيو ويو آهي:عاصمه شيرازي
Politics,ڀارتي ٽيم پاڪستان اچي، سيڪيورٽي جو مسئلو ناهي: جاويد ميانداد
Crime,ڪوچز پاران 10 کان وڌيڪ عورت ريسلرز جي جنسي استحصال جو انڪشاف
Politics,وزيراعظم جو چوڻ هو ته اسان کي ماضيءَ مان سبق سکي اڳتي وڌڻو پوندو.
Crime,پشاور جي شير شاهه روڊ تي پوليس ۽ پي ٽي آءِ ڪارڪنن ۾ جهڙپون ٿيون،
Politics,دشمن ايجنسيون چيٽ ايپليڪيشنز ذريعي جاسوسي ۾ مصروف، حڪومت خبردار ڪري ڇڏيو
Politics,وڪيل عدالت کي ٻڌايو ته استعفيائون ڏيندڙ ايم اين ايز کان تصديق نه ڪئي وئي، اليڪشن ڪميشن بنا تصديق جي پي ٽي آءِ ايم اين ايز کي ڊي نوٽيفائي ڪيو.
Sports,پاڪستاني ڪرڪيٽر افتخار احمد بھ عمري جي سعادت ماڻي ورتي
Sports,ذريعن جو چوڻ آھي تھ ملالا يوسفزئي وومين ليگ جي ھڪ ٽيم خريد ڪرڻ چاھي ٿي ۽ ان حوالي سان ھن بورڊ کان وومين ليگ جي سموري عمل جي حوالي سان معلومات بھ ورتي آھي.
Sports,اهم ذميواري سنڀالڻ لاءِ مڪي آرٿر پاڪستان پهچي ويو
Crime,ان سلسلي ۾ زميندار جي ڀائرن فواد ڏيرو ۽ بالاچ ڏيرو جو چوڻ آھي ته ڀا ڳوٺ طارق ڏيرو مان موٽرسائيڪل تي سوار ٿي ڀاڻيجن سان ملڻ کانپو واپس پئي آيو ته کيس رستي مان نامعلوم ڪار سوار اغوا ڪري ويا.
Politics,وزيراعظم شهباز شريف سان آرمي چيف جنرل عاصم منير ۽ ڊي جي آءِ ايس آءِ نديم انجم وزيراعظم هائوس ۾ ملاقات ڪئي.
Sports,قومي ٽيم کي 5 ميچن جي سيريز ۾ 2-1 جي سرسي حاصل آهي. پاڪستان پهرين ٻن ميچن ۾ نيوزيلينڊ کي شڪست ڏني هئي
Crime,12 ۽ 22 مئي تي قتل عام ڪندڙ دھشتگردن کي سخت سزائون ڏنيون وڃن:لال جروار
Sports,ثنا مير جو پي سي بي سان گڏ ڪم ڪرڻ کان انڪار پر ڇو؟
Politics,”جنرل باجوا کي ايڪسٽينشن ڏيڻ وارو شرمناڪ قانون“
Sports,جنهن جي موٽ ۾ فالڪن ٽيم 137 رنسون ٺاهي سگهي، چماري ۽ ٿيرٺا 29، 29 رنسن سان نمايان رهيون.
Sports,آسٽريليا جي ٽيم ٻيهر پهريون نمبر حاصل ڪري ورتو، جڏهن ته هاڻي بابر اعظم اليون کي ٽيون نمبر نصيب ٿيو آهي.
Crime,مٽياري مان اغوا ٿيل ٻارڙو ملتان مان بازياب.
Sports,يوئيفا چيمپيئن ليگ 2024ع جي ڪواليفائر مقابلن ۾ پرتگال، انگلينڊ، ڊنمارڪ ۽ ناردرن آئرلينڊ پنهنجا پنهنجا مقابلا کٽي ورتا آهن، سلواڪيا ۽ ليگزمبرگ وچ ۾ ميچ بنا نتيجي ختم ٿي وئي.
Politics,نيب قانون ۾ ڪجهه غلطيون آهن، ان تي فيصلو ڏينداسين:چيف جسٽس
Crime,دادو ۾ ام رباب چانڊيو جي ٽن گهر ڀاتين جي قتل ڪيس جي ٻڌڻي بنا ڪارروائي جي 15 اپريل تائين ملتوي
Politics,ياد رهي ته شاهه رخ خان جي فلم ”پٺاڻ“ تي مودي جي هندوتوا ڀارت ۾ انتها پسندن پاران سخت تنقيد ڪئي پئي وڃي.
Crime,ڪراچي ۾ وڏي واردات، ڦورو دڪان مان 35 آءِ فون کڻي ويا
Sports,اسلام آباد ( ويب ڊيسڪ) پاڪستان ڪرڪيٽ ٽيم جي اڳوڻي ڪپتان شاهد آفريدي، فاسٽ بالر شاهين شاهه آفريدي جي ناٺي طور چونڊ واري سبب تان پردو کڻي ڇڏيو
Crime,شھر جي وارڊ نمبر 2 ۾ مبارڪ علي شيخ جي گھر مان 3 ٻارن جي ماءُ عابده شيخ جو لاش مليو
Crime,فوت ٿيلن ۾ 2 سڳا ڀائر آھن، جن جي سڃاڻپ 40 سالن جي محمد يوسف ولد رحيم بخش ۽ 35 سالن جي امين ولد رحيم بخش طور ٿي آھي، ريسڪيو ذريعا
Politics,پوري قوم هٿياربند فوج سان گڏ بيٺي آهي. اجلاس ۾ وڳوڙين جي خلاف ڪيسن جو جلد فيصلو ڪرڻ لاءِ مختلف آپشنز تي غور ڪيو ويو.
Politics,هن هدايتون جاري ڪيون ته انهن عنصرن جي نشاندهي لاءِ ٽيڪنالاجي جي ڀرپور مدد ورتي وڃي ۽ انٽيليجنس وسيلن کي استعمال ڪيو وڃي.
Sports,ڪرڪيٽ شوقينن لاءِ خوشخبري، انگلينڊ بعد هڪ ٻي وڏي ٽيم پاڪستان اچڻ جي حامي ڀري ورتي
Crime,دعا زهرا کي لاهور کان ڪراچي منتقل ڪرڻ لاءِ پوليس کي اجازت ملي وئي
Sports,آسٽريليا جي پهرين مقامي عورت ڪرڪيٽر فيٿ ٿامس لاڏاڻو ڪري وئي
Crime,عمران خان جا ڌمڪي ڪيس ۾ ضمانت نه ٿيڻ جوڳا وارنٽ
Politics,عمران خان ۽ بشريٰ بي بي جي توشا خانا ڪيس ۾ نيب طلبي قانون خلاف قرار
Sports,ميڊيا مطابق پرتگال ٻڙي جي ڀيٽ ۾ 4 گولن تان ليچسٽن کي شڪست ڏني آهي، جنهن ۾ ڪرسٽيانو رونالڊو 2 گول ڪري پاڻ مڃايو
Politics,شهري کي ڪنهن به شهر جي ڊوميسائل وارو بل سنڌ دشمن آهي: اياز لطيف
Crime,مريد شاخ ۾ پوليس مقابلو، هڪ جوابدار زخمي حالت ۾ گرفتار.
Crime,ايس ايس پي ڪيماڙي فدا حسين جانوري ٻڌايو ته موچڪو پوليس سنيپ چيڪنگ دوران ٻن موٽرسائيڪل سوارن جن جي عمر 16 ۽ 20 آهي کي رڪيو.
Politics,اسلام آباد ؛روس – يوڪرين ڇڪتاڻ کانپوءِ پاڪستان ۾ پيٽروليم شين جي اگهه ۾ هڪ ڀيرو ٻيهر وڏي واڌ امڪان آهي.
Sports,ڀارت ٽيسٽ ڪرڪيٽ ۾ نمبر ون بڻجي ويو، ٽي 20 ۾ بھ بادشاهت برقرار
Politics,واپاري ڪيترا به طاقتور ڇونه هجي، ذخيرا اندوزي ڪندڙ کي نه ڇڏيو ويندو.
Sports,ڪپتان جي تبديلي جو جواز ناهي، پي سي بي بابر آڏو واضع ڪري ڇڏي: عامر
Sports,لاهور ( ويب ڊيسڪ ) ڀارت ۾ شيڊول ايشين هاڪي چيمپيئنز ٽرافي ۾ جي شرڪت واري معاملي تي پاڪستان هاڪي فيڊريشن ( پي ايڇ ايف ) ڀارت وڃڻ لاءِ حڪومت کان اجازت گهري ورتي.
Sports,ميڊيا مطابق ڀارتي ٽينس اسٽار ۽ سندس ساٿي هاڻ فائنل ۾ ٽرافي جي لاءِ ڪيرن کيچانوف ۽ سندس ساٿي اينڊري روبليوف سان مقابلو ڪندا.
Sports,انگلش بيٽرن کي پنهنجي آڱرين تي نچائيندڙ ابرار احمد جو پاڪستان ٽيم تائين سفر ڪيئن رهيو؟ ڄاڻي وٺو
Politics,هن چيو ته اسان کي نئين ۽ پراڻي پاڪستان جو بحث ڇڏي اسان جي پاڪستان جي ڳالهه ڪرڻ گهرجي.
Sports,ٻڌايو وڃي ٿو تھ ذاڪر خان ٻن ڏهاڪن کان پي سي بي ۾ آهي، جنهن عالمي ڪرڪيٽ جي بحالي لاءِ ڪم ڪيو.
Politics,عالمي تنظيم پاڪستان کي صحافت لاءِ خطرناڪ مُلڪ قرار ڏئي ڇڏيو
Sports,هوڏانهن ميچ دوران سيولا جي ٻن رانديگرن کي ريڊ ڪارڊ پڻ ڏيکاريو ويو هو.
Crime,ارشد شريف قتل ۾ عدالت سنجيدا آهي، سندس مُلڪ ڇڏڻ پٺيان ڪهڙا سبب هئا؟ جاچ ڪيو: چيف جسٽس
Sports,وزيراعظم شهباز شريف پاران پي ايس ايل جي ڪامياب ايونٽ تي منتظمين کي مبارڪ
Politics,آمريڪي ڪانگريس ميمبر بريڊ شرمين سيڪريٽري آف اسٽيٽ انٽوني بلنڪن کي خط لکي پاڪستان ۾ جمهوريت ۽ خاص طور تي تحريڪ انصاف خلاف “سياسي انتقام” بابت آگاهه ڪيو آهي
Crime,پوليس پاران قتل ۾ ملوث جوابدارن جي گرفتاري ۾ ناڪامي خلاف عوام جو احتجاج.
Crime,خيرپور ناٿن شاهه: خيرپور ناٿن شاھه ۾ 12 آڪٽوبر 2022ع نوري آباد بس سانحي ۾ مغيري برادري جي هڪ خاندان جا سڙي رک ٿيندڙ 19 ڀاتين جي وارثن پاران انصاف نه ملڻ خلاف نٽھڻ اس ۾ علمدار چوڪ کان ريلي ڪڍي سٽي پريس ڪلب آڏو سخت احتجاجي مظاهرو ڪيو ويو، احتجاجي مظاھري ۾ شھر جي سياسي، سماجي، مذهبي اڳواڻن، ڪارڪنن ۽ شھرين وڏي انگ ۾ شرڪت ڪئي
Sports,پاڪستان ڪرڪيٽ ٽيم جو اڳوڻو ڪوچ مڪي آرٿر اسلام آباد پهچي ويو، هو 20 اپريل تائين پاڪستان ٽيم سان گڏ هوندو
Sports,ڪراچي ٽيسٽ: انگلش بيٽر ابرار ۽ نعمان جي ڄار ۾ ڦاسي پيا، سڄي ٽيم 354 رنسن تي ڍير
Politics,گجرات اسيمبلي اليڪشن: ناليواري ڪرڪيٽر جي گهرواري ”بي جي پي“ جي اميدوار
Crime,برازيل ۾ ٻن اسڪولن ۾ فائرنگ، ٻارڙي ۽ ٻه عورتون مارجي ويون
Politics,ججن جي اڪثريت واضح موقف ڏنو ته پاڻمرادو نوٽيس نٿو بڻجي: شرجيل ميمڻ
Politics,سکر جي ايڊيشنل ڊسٽرڪٽ اينڊ سيشن ڪورٽ ۾ تحريڪ انصاف سکر جي ضلعي صدر ظهير بابر طرفان مريم نواز خلاف ڪيس داخل ڪرڻ لا درخواست داخل ڪئي وئي هئي، جنهن تي ايديشنل ڊسٽرڪٽ اينڊ سيشن جج سکر شنوائي ڪئي.
Crime,ام رباب جو چوڻ آهي ته جوابدارن جا وڪيل عدالتن سان مذاق ڪري رهيا آهن، سندن واحد مقصد ڪيس کي اينگهائڻ آهي.
Politics,سوڊاني فوج موجب پيرا ملٽري فورسز سان 72 ڪلاڪن جي جنگبندي تي راضپو ڏيکاريو آهي، اميد آهي ته باغي ويڙهاڪ جنگبندي جو احترام ڪندا.
Politics,جيئن ئي ايس آئي ڊي سي ايل ملي ويندي، اسان انٽر ڪنيڪشن ڪري ڇڏينداسين. سنڌ اسيمبلي ۾ جمعي تي سنڌ ايمرجنسي ريسڪيو سروس بل ايوان ۾ آندو ويو، جنهن کي وڌيڪ غور لاءِ اسپيڪر اسٽيڊنگ ڪميٽي ڏانهن اماڻي ڇڏيو ۽ سنڌ اسيمبلي جو اجلاس سومر 2 وڳي تائين ملتوي ڪيو ويو.
Sports,سريلنڪا جي ويمن ڪرڪيٽ ٽيم ٽن ميچن واري ٽي 20 ۾ بنگلاديش کي شڪست ڏئي سيريز کٽي ورتي آهي.
Crime,اورنگي ٽائون سيڪٽر 11 ۾ عوام هٿان 2 ڌاڙيل مارجي ويا.
Politics,پرڏيهي آفيس جي ترجمان پاران جاري بيان موجب پرڏيهي وزير بلاول ڀٽو زرداري سعودي عرب ۽ ايران جي وچ م لاڳاپن کي معمول تي آڻڻ بابت تازي “ٽه ڌريي گڏيل بيان” جي ذريعي اعلان تي سعودي پرڏيهي وزير کي مبارڪباد ڏني ۽ ان مثبت اڳڀرائي تي سعودي عرب جي قيادت کي ساراهيو
Politics,سندس چوڻ هو ته فوج کي هٽائي ملڪ نه ٿو هلي سگهي، پي ٽي آءِ ۾ شموليت وقت سلجهيل پارٽي آهي جيڪو واقعو هن ڏٺو تنهن تي کيس ڏک ٿيو آهي.
