Aspect Category,News Headlines
Crime,اتر آمريڪي مُلڪ ميڪسيڪو ۾ آمريڪي سرحد ويجهو پناهگيرن جي ڪئمپ ۾ باهه لڳڻ سبب 37 ڄڻا سڙي فوت ٿي ويا آهن.
Politics,رياست ماءُ آهي، جنهن کي قيد ڪيو ويو آهي:عاصمه شيرازي
Crime,ڪراچي پوليس کي گهربل لياري گينگ وار جو اهم جوابدار گرفتار
Politics,ٻيلهه سواريءَ تي پابندي آهي يا نه؟ ڪراچي وارا ڪمشنر ۽ شرجيل ميمڻ جي بيانن تي ٻڏتر جو شڪار
Sports,ڪراچي جي نيشنل ڪرڪيٽ اسٽيڊيم ۾ نيوزيلينڊ جي ڪپتان ٽام ليٿم ٽاس کٽي پهريان پاڪستان کي بيٽنگ جي دعوت ڏني.…
Politics,نور عالم خان چيو ته آڊٽ رڳو پئسن جي نه هوندي، هر شيءِ جي آڊٽ ٿيندي، آڊيٽر پنهنجي مرضي موجب جاچ ڪري سگهن ٿا، حڪومت جي ماڻهن جو پئسو ڪيئن ۽ ڪٿي خرچ ٿي رهيو آهي. ان حوالي سان ڪارڪردگي جي آڊٽ ٿيڻ گهرجي.
Crime,فيڪٽ فائنڊنگ ڪميٽي عدالت ۾ جمع ڪرايل پوسٽ مارٽم رپورٽ جو حوالو ڏيندي ٻڌايو ته ڏاڍائي بعد ليلا 6 مهينن جي پيٽ سان هئي.
Sports,ميڊيا سان ڪيل ڳالهه ٻولهه ۾ هن ٻڌايو تھ ورلڊ ڪپ ۾ اڃا گهڻو وقت پيو آهي، وليمسن ايونٽ تائين صحتياب ٿي سگهي ٿو، هن جي سرجري ڪامياب ٿي آهي، ري هيب ڪري پيو، تنهنڪري ڪجهه بھ چوڻ مناسب ناهي.
Politics,هن چيو ته اجلاس ملڪ ۾ هلندڙ ڊجيٽل مردم شماري کي رد ڪندي مطالبو ڪيو ته سڄي ملڪ ۾ مردم شماري هڪجهڙي معيار جي هجي، ڪجهه علائقن ۾ ڊجيٽل مردم شماري جاري ۽ ٻين علائقن ۾ بند ڪئي وئي.
Politics,سياسي تاريخ ۾ ڪيترائي تجربا ڪيا آهن، ڪيتريون ئي قلابازيون کاڌيون آهن.
Sports,ناروي فٽبال ڪپ ۾ پاڪستاني اسٽريٽ چائلڊ ٽيم شرڪت ڪندي
Crime,ڊاڪٽر بيربل جي قتل ۾ اسسٽنٽ قرت العين تي شڪ، گرفتار
Politics,قومي اسيمبلي ۾ توهين پارليامينٽ بل منظور،جوابدار لا 6 مهينا قيد ۽ 10 لک ڏنڊ جي سزا
Politics,انٽرويو ۾ سيمي اگروال جي سوال جي جواب ۾ ڪرينا ڪپور جو چوڻ هو تھ مون کي اها ڳالهه چوڻ گهرجي الائي نھ پر مان راهول گانڌي سان دوستي ڪرڻ ۽ ان سان گڏ وقت گذاري کيس سمجهڻ چاهيان ٿي.
Politics,اليڪشن ڪميشن جي وڪيل چيو ته نگران حڪومت قائم ٿيڻ کانپوءِ چونڊ شيڊيول جاري ٿي چڪو آهي.
Crime,ذريعن موجب پي ٽي آءِ جي ڪجهه ڪارڪنن کي هٿيار کنيل هئا ۽ اهي فائرنگ ڪري رهيا هئا، جڏهن ته پوليس طرفان به فائرنگ ڪئي وئي.
Crime,ٻئي طرف رابطو ڪرڻ تي ايس ايڇ او جھول ياسر نواز مغل ٻڌايو ته مون ڪو نشو ناهي ڪيو، گاڏي جو اڳيون ٽائر برسٽ ٿيڻ سبب حادثو پيش آيو، زخمين کي مون ۽ اهلڪارن فورن کڻائي اسپتال پهچايو، سندن مدد ڪري رهيو آهيان
Politics,چيئرمين ڪميٽي چيو ته عوام کي ڄاڻ هجڻ گهرجي ته انهن جي پئسن مان ڪير فائدو ۽ پگهارون وٺي رهيو آهي؟
Politics,فلسطين ۾ فٽبال ليگ جي فائنل ۾ اسرائيل جي شيلنگ، ماڻهن ۾ ڀاڄ
Politics,سنڌ اسيمبليءَ ۾ مخالف ڌر جي اڳواڻ حليم عادل شيخ چيو ته چورن جو ٽولو جيڪو هن وقت ملڪ تي مڙهيل آهي ان کي عوام رد ڪري ڇڏيو آهي.
Politics,طالبان کي ڀتو ڏيڻ جا الزام مڙهڻ وارا ثبوت پيش ڪن: محمود خان
Sports,هڪ سوال جي جواب ۾ هن چيو تھ اسين ورلڊ ڪپ بابراعظم جي ڪپتاني ۾ ئي کيڏڻ وڃي رهيا آهيون، تنهنڪري هو آرام ڪري ۽ پرفارمنس تي ڌيان ڏئي.
Politics,معاهدي تحت ڪراچي جو ايڊمنسٽريٽر ايم ڪيو ايم جو هوندو: ڪامران ٽيسوري
Crime,ڪراچي ۾ ٻارڙي کي اغوا ڪرڻ جي ڪوشش ناڪام، عورت گرفتار
Politics,هن چيو ته هر شيءِ کي قلمبند ڪيو ويو ته عمران خان کي ضرورت جي شيءِ ملي، عمران خان چوي ٿو ته کيس ڏنڊا هنيا ويا کيس ڪجهه ياد ناهي.
Politics,سپريم ڪورٽ غير منصفاڻا فيصلا ڪري رهي آهي
Politics,”ميڊيا اسلام آباد جو تماشو ڏيکارڻ بند ڪري ۽ ٻوڏ صورتحال کي ترجيح ڏئي“ بلاول جي وائرل وڊيو ڏسو !
Politics,بلاول ڀٽو زرداري چيو ته پ پ عمران خان رجيم جي تباهين کان بچائڻ جي جدوجهد ڪري رهي آهي.
Politics,توهين عدالت ڪيس ۾ آزاد ڪشمير جي وزيراعظم سردار تنوير الياس نااهل قرار
Politics,اسلام آباد :پبلڪ اڪائونٽس ڪميٽي بنا فرق سڀني کان ٽول ٽيڪس وصول ڪرڻ جي هدايت ڪري ڇڏي.
Politics,ڇو ته برطانيا کان آيل 50 ارب رپين کان وڌيڪ رقم ته عمران خان ملڪ رياض کي واپس ڏني هئي ۽ عمران خان تي الزام آهي ته ان رقم عيوض القادر يونيورسٽي لاءِ 458 ايڪڙ زمين ورتي هئي ۽ بشريٰ بي بي کي به ملڪ رياض هيرن جا هار وغيره ڏنا هئا.
Politics,مڪاني چونڊون: شرجيل ميمڻ جو پي ٽي آءِ تي بدترين دهشتگردي جو الزام
Crime,پوليس مقابلي ۾ 1 جوابدار گرفتار.
Sports,نئين دهلي ( ويب ڊيسڪ ) اڳوڻي ڀارتي ڪرڪيٽر وريندر سيهواگ ڪيئي ورهيه گذري وڃڻ باوجود پاڪستانين طرفان ملندڙ پيار، پهنجائپ ۽ مهمان نوازي نه وساري سگهيو آهي.
Crime,عمرڪوٽ: ميرپورخاص-عمرڪوٽ روڊ تي لاھوري اسٽاپ وٽ ڪار ۽ موٽرسائيڪل ۾ ٽڪر ٿي پيو، جنهن سبب اسڪول کان پيادل گھر ويندڙ اٺ سالن جو شاگرد معشوق پٽ محمد اسلم مري سخت زخمي ٿي پيو، زخمي شاگرد کي ڳڻتي جوڳي حالت ۾ پٿورو اسپتال منتقل ڪيو ويو، پر شاگرد رستي ۾ ئي دم ڏئي ڇڏيو، پوليس ڪار ۽ موٽرسائيڪل کي تحويل ۾ وٺي ڇڏيو، ڪار ڊرائيور فرار ٿي ويو.
Politics,تلاشي لاءِ پوليس فواد چوڌري سوڌو سندس گهر پهتي
Politics,پرڏيهي وزارت جي ترجمان ودنت پٽيل جاري ڪيل بيان ۾ چيو ته زلمي خليل زاد عام شهري آهي، سندس بيان ذاتي حيثيت ۾ آهن.
Politics,شرميلا فاروقي تحريڪ انصاف ميمبرن جي غير سنجيدگيءَ جي وڊيو جاري ڪري ڇڏي!
Crime,ڪوٽڏيجي ۾ مختلف روڊ حادثن ۾ ٻه ڄڻا فوت
Sports,بابر ۽ ڪوهلي جو نالو گڏگڏ
Sports,فيفا ۾ ڀارت جي نمائندگي ڪندڙ نورا فتيحي ڀارتين جي نشاني تي ڇو؟
Politics,بي بي سي کي ڏنل انٽرويو ۾ هن چيو ته مون کان پڇيو ويو ته اسٽيبلشمينٽ توهان سان ڳالهائي ته ڇا توهان ڳالهه ٻول ڪندا؟ مون ورندي ڏني مان سياسي ماڻهو آهيان، چورن کانسوا ٻين سڀني سان ڳالهائيندس.
Politics,مڪاني چونڊن جو ٽيون مرحلو، سنڌ حڪومت اليڪشن ڪميشن کي اهم خط لکي ڇڏيو
Politics,جسٽس عامر فاروق پڇاڻو ڪيو ته ڇا عدالتن سان به ائين ڪري سگهجي ٿو؟
Crime,آمريڪي ميڊيا موجب حادثو آمريڪي سرحد ويجهو ميڪسيڪو جي شهر ( سيوداد جواريز Ciudad Juarez ) ۾ پيش آيو.
Sports,نجم سيٺي چيو ته پي ايس ايل جي فائنل کي بهتر بڻائڻ لاءِ پي ايس ايل جو فائنل ري شيڊول ڪرڻ جو فيصلو ڪيو ويو آهي.
Crime,ڪشمور ويجهو ڪنڌڪوٽ جي بي سيڪشن ٿاڻي جي حد ۾ پوليس سان مبينا مقابلي ۾ ٻه ڏوهاري محمد عامر بٽ ۽ محمد بلال پنهور مارجي ويا
Politics,اهو ئي سبب آهي جو پاڪستان جو هاڻ اصولي موقف آهي ته جيڪڏهن ڀارت 2 آگسٽ 2019 جي صورتحال تي واپس اچي ۽ اهڙو ماحول پيدا ڪيو وڃي، جنهن ۾ ڳالهه ٻولهه ٿي سگهي ته اها هاڪاري اڳڀرائي هوندي.
Politics,چيف جسٽس بائيڪاٽ ختم ڪرڻ بابت لکت ۾ آگاهي ڏيڻ تائين حڪومتي اتحاد جي وڪيلن کي ٻڌڻ کان انڪار ڪري ڇڏيو،
Politics,پيپلزپارٽي ايم پي اي جي پٽ جي عورت پولنگ آفيسر سان ڏند چڪ
Politics,ضلع ڪائونسل تي پ پ اُميدوار احد رضا سُندراڻي 1201 ووٽ کڻي ڪامياب ٿي ويو.
Sports,ياد رهي تھ وفاقي ڪابينا ڪاميٽي جي مدي ۾ ٻن کان چار هفتن جي توسيع جي سفارش ڪئي هئي.
Politics,اڄ عمران نيازي اسٽيبلشمينٽ کان مطالبو ڪري رهيو آهي ته هو نظرثاني ڪري.
Sports,ياد رهي تھ شهروز ڪاشف ڪجهه ڏينهن اڳ نيپال ۾ عورت جبل چاڙهو نائلا ڪياني سان گڏ اناپورنا چوٽي فتح ڪرڻ بعد واپسي تي موت جي منهن ۾ ويندي شهروز بچيو هو.
Crime,گهوٽڪي مان اڻڄاتل لاش هٿ، پوليس لاش اسپتال پهچايو.
Sports,قومي ٽيم جي نيوزيلينڊ دوري ۽ ورلڊ ڪپ لاءِ روانگي بابت اهم خبر
Crime,سنڌ ۾ پوليس اهلڪارن تي وڏي پابندي لاڳو، ڀڃڪڙي ڪندڙن خلاف سخت ڪارروائي ٿيندي
Crime,بڪيرا شريف ٿاڻي جي حد ڳوٺ جمعون ڪاتيار ويجهو مين شيخ ڀرڪيو-ٽنڊوالهيار روڊ تي صحافي غلام مصطفى ڪاتيار جو سئوٽ نوجوان راجا امجد ڪاتيار ويٺو هو ته مٿس تيز رفتار موٽرسائيڪل چڙهي وئي، جنهن سبب نوجوان زخمي ٿي پيو، حادثي بعد موٽرسائيڪل سوار شان ڪوري ۽ ڪاتيار ڌر جي ماڻهن ۾ جهيڙو ٿي پيو
Politics,عمران خان بلٽ پروف برقعو ايجاد ڪيو آهي: ناصر شاهه
Politics,نيب چيئرمين تي دٻاءٌ، استعيفيٰ تي غور
Crime,مسڻ وڏي ۾ “سنڌ ايڪسپريس” رپورٽر تي حملي خلاف مظاهرو
Politics,پاڪستان پيپلزپارٽي جي چيئرمين ۽ پرڏيهي وزير بلاول ڀٽو زرداري دهشتگردي جي خلاف آپريشن ۾ پاڪ فوج جي ٻن جوانن جي شهادت تي پونئيرن سان افسوس جو اظهار ڪندي چيو ته اتر وزيرستان ۾ آپريشن دوران شهادت ماڻيندڙ جوان ملڪ جا بهادر فرزند هئا.
Politics,ڀارت ۾ ٻٽي شهريت ممنوعي آهي، 1955 جي شهريت ايڪٽ موجب ڪو به شخص جيڪو ڀارت ۾ ڄائو هجي يا ان جو پيءُ ماءُ ڀارتي هجن ته اهو پهريان هندستاني شهري سمجهيو ويندو آهي.
Politics,پاڪستان ان فورم سميت سڀني اهم فورمن تي اسرندڙ ملڪن جي آواز کي اجاگر ڪندو رهندو.
Crime,ٻئي پاسي اطلاع تي سوڳ ۾ مٺي شھر بند ٿي ويو. ان ڏس ۾ حيسڪو ملازمن ٻڌايو ته لائن مين سنجي مهراج ڏينهن جو هڪ وڳي شهر ۾ 11 هزار وولٽيج جي تار سان ٽرانسفارمر جو ڪنيڪشن لڳائي رهيو هو ته بجلي جو کيس ڪرنٽ لڳو. ٻئي طرف نوجوان جي گهرڀاتين معاملي جي جاچ ۽ لائن ۾ اوچتو بجلي چالو ڪندڙ ذميوارن خلاف جاچ ڪري سخت ڪارروائي جو مطالبو ڪيو
Sports,هوڏانهن نئين شعبي جي ڊائريڪٽر جي ذميواري سيد ظاهر شاهه حوالي، چئن صوبن، آزاد ڪشمير ۽ گلگت مان ميمبر کنيا ويا آهن.
Sports,جڏهن تھ موٽ ۾ اومان جي ٽيم 226 رنسن تي آئوٽ ٿي وئي، جنهن ۾ ڪوشل مالا 65 رنسن سان نمايان رهيو، سنديپ گوڊ 46 رنسون ڪيون آهن.
Politics,ٿورو به ڪجهه ٿيو ته وري ٽي مهينا نه اٿي سگهندس: عمران خان جو عدالت ۾ بيان
Crime,ٻئي طرف جناح هائوس تي حملي دوران ڪور ڪمانڊر جي وردي کڻي ويندڙ جوابدار کي به گرفتار ڪيو ويو آهي.
Politics,واضح رهي ته اسلام آباد هاءِ ڪورٽ تحريڪ انصاف جي گرفتار اڳواڻن مليڪا بخاري ۽ علي محمد خان جي ٿري ايم پي او تحت گرفتاري کي ڪالعدم قرار ڏيندي فوري طور آزاد ڪرڻ جو حڪم ڏنو هو
Crime,سندس والد روو ميگھواڙ طرفان قتل جو خدشو ظاھر ڪرڻ تي پوليس وارثن کي پوسٽ مارٽم لا ليٽر جاري ڪيو، جنهن بعد وارثن اسپتال مان لاش جو پوسٽ مارٽم ڪرايو
Crime,ٺڳي واري ڪيس ۾ علي زيدي ٽن ڏينهن جي جسماني رمانڊ تي پوليس حوالي
Crime,مڇريل ماڻهن روڊ بند ڪري ڇڏيو ۽ ڀڃ ڊاهه به ڪئي.
Politics,سچل سرمست جي عرس جي سرڪاري تقريبن جو افتتاح، درگاهه کي بحال ڪرائبو: وڏو وزير
Politics,پي ٽي آءِ اڳواڻ حليم عادل شيخ گرفتار
Sports,شاهين آفريدي بيٽنگ تي ڌيان ڏيڻ لڳو، لاهور ۾ پريڪٽس
Crime,محرابپور: گم ٿيل ٻار جو برساتي پاڻي مان لاش هٿ، وارثن ۾ ڪهرام
Politics,وزيراعظم شهبازشريف آديامان ۾ زلزلي متاثرن سان ملاقات ڪئي، جنهن ۾ شهباز شريف ترڪ زلزلي سٽيلن کي پاڪستان پاران وڌ ۾ وڌ مدد جي خاطري ڪرائي آهي
Sports,ڪيويز خلاف ون ڊي سيريز لاءِ پاڪستاني اسڪواڊ جو اعلان، حارث سهيل جي واپسي، ڏاهاڻي به شامل
Crime,جين ڪيرول الزام لڳايو هو ته اڳوڻي صدر ڊونلڊ ٽرمپ 27 ورهيه اڳ کيس جنسي ڏاڍائي جو نشانو بڻايو هو، ان وقت عورت جي عمر 52 سال هئي.
Politics,خواجا حارث عدالت کي چيو ته فرد جرم اڄ ته نٿو ٿي سگهي، جنهن تي جج ظفر اقبال چيو اميد آهي ته ايندڙ شنوائي ايف ايٽ ڪچهري ۾ ٿيندي.
Crime,پوليس ڪانو ڪولهي، فرار ٿيل جوابدارن راجو، مٺو ۽ ڀيم ڪولهي خلاف ڪيس داخل ڪري ڇڏيو.
Sports,اٽلي ۾ جاري مشهور ايونٽ گيرو ڊي سائيڪل ريس جو ڇهون مرحلو ڊنمارڪ جي سائيڪلسٽ ميڊس پيڊرسن کٽي ورتو آهي.
Politics,سنڌ جا مسئلا حل ڪرڻ لاءِ هر فورم تي آواز اٿاريندس: ڪامران ٽيسوري
Politics,ڀارتي ميڊيا موجب مرڪزي حڪومت طرفان ڪينٽونمينٽ جي اسٽيٽس ۾ تبديلي لاءِ 27 اپريل تي نوٽيفڪيشن جاري ڪيو ويو.
Sports,نيوزيلينڊ ۽ سريلنڪا وچ ۾ ٻيو ون ڊي برسات سبب نھ ٿي سگهيو
Sports,رينڪنگ ۾ سريلنڪا جي ستين، ويسٽ انڊيز جي اٺين، بنگلاديش جي نائين ۽ زمبابوي جي ڏهين پوزيشن آهي.
Crime,ڳوٺ بدر مارفاڻي ۾ ۾ جوابدار نادر مارفاڻي پنهنجي ڀائيٽي فرزانا مارفاڻي کي پسٽل جا فائر ڪري قتل ڪيو اطلاع تي پوليس پهچي لاش اسپتال منتقل ڪيو، پوسٽ مارٽم بعد وارثن حوالي
Sports,نيوزيلينڊ خلاف ٻي ون ڊي ميچ ۾ سينچري اسڪور ڪرڻ سان گڏوگڏ فخر زمان لاڳيتو ٽي ون ڊي سينچريون اسڪور ٺاهيندڙ چوٿون پاڪستاني بيٽر بڻجي ويو آهي.
Politics,اسلام آباد ۾ پريس ڪانفرنس ڪندي مفتاح اسماعيل چيو ته رپئي تي دٻاءُ جلد ختم ٿي ويندو ۽ معاملا آسان ٿي ويندا، ٽن مهينن ۾ اهڙو ڪو ڪم نه ڪيو، جنهن سان رپئي جو قدر گهٽجي، عمران خان ملڪ کي ڏيوالي ۾ ڇڏي ويو پر اسان پاڪستان کي بچايو، عمران خان پڇي ٿو ته ذميوار ڪير آهي؟ ذميوار توهان آهيو
Sports,سريلنڪا جي ٽيم 157 رنسون ٺاهي آئوٽ ٿي وئي، جنهن ۾ پيٿم نشانڪا 57 رنسن سان مزاحمت ڪئي، جنهن ۾ ڊوسن شناڪا بھ 31 رنسون ٺاهي ساٿ ڏنو، پر سندن ڪوششون ڪامياب نھ ٿي سگهيون، باقي بيٽرن ۾ چميڪا ڪرونارتني 24، ڌننجيا ڊي سلوا 13 رنسون ڍاهيون، ٽيم جا 4 بيٽر ٻڙي تي آئوٽ ٿي واپس ويا
Sports,نيوزيلينڊ کان ٽن مئچن تي ٻڌل سيريز ۾ شڪست بعد سريلڪن ٽيم آءِ سي سي ۾ سڌي ريت شرڪت ڪرڻ کان محروم ٿي وئي.
Crime,زال کان انعامي رقم لڪائيندڙ شهري خلاف عدالت جو انوکو فيصلو !
Politics,”سياسي قوتون دشمن عنصرن خلاف متحد ٿين، سياسي ويڙهه پوءِ وڙهي سگهون ٿا“
Sports,” ڪم جا ناهيو“ بي سي سي آءِ جو ايندڙ ورلڊ ڪپ ۾ سينيئرز کي گهرو ڀيڙو ڪرڻ جو فيصلو
Crime,وارثن جو يرغمالي جي بازيابي لاءِ احتجاج.
Crime,ان کان اڳ اسلام آباد جي مقامي عدالت پڻ عمران خان جا ضمانت نه ٿيڻ جوڳا گرفتاري وارنٽ جاري ڪيا هئا.
Crime,جرمني جي شهر ميونخ جي هوائي اڏي تي هڪ ماڻهو کي گرفتار ڪيو ويو آهي جيڪو سامان ۾ ناياب نسل جو البينو واڳون کڻي وڃي رهيو هو.
Crime,شاهه لطيف ٽائون ۾ گهر مان رٽائرڊ سب انسپيڪٽر جو لاش هٿ.
Sports,ڪيوي ٽيم پاڪستاني بالنگ اڳيان لاجواب ٿي وئي، ٽي ٽوئنٽي مئچ ۾ 88 رنسن تان شڪست
Crime,شڪارپور ۾ پوليس ڪامياب ڪارروائي ڪندي 2 مغوين کي بازياب ڪرائي ورتو. مغوين کي 2 مهينا اڳ غوثپور مان اغوا ڪيو ويو هو.
Sports,ٽي ٽوئنٽي ورلڊ ڪپ ۾ وڪيٽن جي پهرين هيٽ ٽرڪ
Politics,ڪراچي ۾ مڪاني کاتي جون چونڊون ٿين ته حڪومت خلاف نه ڳالهايو وڃي: مرتضيٰ وهاب
Politics,وڊيو:”خيرپور ٻڏي ويو پر ميڊيا کي عمران خان جي لڳل آهي“
Politics,تحريڪ انصاف جي چيئرمين عمران خان چيو آهي ته جيل ڀريو تحريڪ احتجاج جو پرامن طريقو آهي، عوام رستن تي نڪرڻ لا تيار آهي، اهڙين ئي حالتن ۾ سريلنڪا جي عوام وزيراعظم جو گهر ساڙيو هو.
Politics,نار سهڪار تنظيم (جي سي سي) ملڪن لاءِ نئين شينگن طرز جي ويزا جي منصوبابندي ڪري ورتي، سڄي دنيا جا شهري هڪ ئي ويزا تي سڀني ملڪن جو دورو ڪري سگھندا.
Crime,1 مهينا اڳ ڦر مزاحمت دوران قتل ٿيل شخص جي وارثن جو احتجاج.
Politics,روس پاران فوج جو انگ وڌائڻ جو اعلان
Politics,فهميدا مرزا چيو ته توهان کي شايد بائڊن زرداري جي دوستي جو سبب برو لڳو آهي، پنجن ماڻهن کي ئي ٻڌي وٺو، فهميده مرزا چيو ته اسان جيڪڏهن قورم جي نشاندهي ڪيون ها ته توهان جا پرڏيهي وزير ڳالهائي نه سگهن ٿا. اهو رويو رهيو ته قورم جي نشاندهي ٿيندي.
Sports,ميڊيا مطابق ٽينس ٽورنامينٽ جي فائنل مقابلي ۾ روس جي رانديگر اينڊريو روبلوف پوئين ٻن سيٽن ۾ ڊينمارڪ جي رانديگر هولگر روني کي شڪست ڏئي ٽرافي پنهنجي نالي ڪئي، ان کان اڳ پهريون رائونڊ هولگر روني کٽي پاڻ کي بهترين پليئر ثابت ڪيو هو.
Politics,شاگردن جو چوڻ هو ته سنڌ ڏهاڙو ملهائڻ اسان جو حق آهي، ڇا سنڌ ڏهاڙو ملهائڻ ڏوهه آهي جو پوليس گردي ۽ رياستي دهشتگردي جو مظاهرو ڪيو ويو
Sports,قومي ٽيم جي ندا ڊار ويمن ٽي ٽوئنٽي جو رڪارڊ ٺاهي ورتو
Sports,هن وڌيڪ چيو ته پاڪستاني ڪوچن جون دستيون نڀائڻ واري ڳالهه سچ آهي، مڪي آرٿر ڊربي شائر جو ڪوچ آهي، پاڪستان ٽيم سان ڪيئن ڪم ڪندو؟ پي سي بي کي مڪي آرٿر جي ذميوارين ۾ توازن رکڻو پوندو.
Politics,رابعا ڪلثوم پاڻ کي ماهرا قرار ڏئي سياسي چٿر ڪري ڇڏي
Politics,ان موقعي تي چيف جسٽس عمر عطا بنديال جسٽس جمال مندوخيل کي ڳالهائڻ کان روڪي ڇڏيو ۽ چيو ته اوهان جي وڏي مهرباني بئنچ جوڙڻ جو جيڪو به فيصلو ٿيندو عدالت ۾ ٻڌايو ويندو
Crime,حيدرآباد ۾ عورت جو گهر مان گولي لڳل لاش هٿ
Politics,اليڪشن ڪميشن سپريم ڪورٽ آف پاڪستان جي فيصلي جي روشني ۾ صدر مملڪت کي خط اماڻيو ويو آهي جنهن ۾ پنجاب صوبي ۾ اليڪشن ڪرائڻ لاءِ 30 اپريل کان 07 مئي 2023ع تائين جون تاريخون تجويز ڪيون ويون آهن.
Sports,ميڊيا مطابق آئي سي سي پاران جاري ڪيل نئين سالياني ٽيسٽ رينڪنگ ۾ ورلڊ چيمپيئن شپ کان اڳ ڀارت آسٽريليا کي نمبر ون تان پوئتي ڌڪي پاڻ نئون نمبر ون بڻجي ويو آهي.
Crime,اسلام آباد جڊيشل ڪامپليڪس ۾ ڀڃ ڊاهه جو ڪيس داخل، هٿياربندن سميت 25 گرفتار
Crime,6 ڏينهن اڳ اغوا ٿيل نوجوان جي وارثن جو احتجاج وارثن چيو ته پوليس اڃا تائين ڪيس داخل ناهي ڪيو.
Politics,ڀارتي صحافي منيش شرما جي هڪ آڊيو ليڪ معاملي تان پردو هٽائي ڇڏيو، ليڪ ٿيل آڊيو ۾ ڀارتي صحافي کي پنهنجي ماتحت ماڻهن کي حقيقت لڪائڻ جون هدايتون ڏيندي ٻڌي سگھجي ٿو.
Politics,سندس گرفتاري جي خبر ڪوڙي آهي، هو اسلام آباد ۾ پارٽي اڳواڻن سان گڏ موجود آهي.
Sports,جسٽس طارق سليم چيو ته لاهور ۾ پي ايس ايل به ٿي رهيو آهي، مون کي شهر ۾ امن گهرجي
