Text,label
په دغه ناسته کې خبريالانو خپلې ستونزې، وړانديزونه او غوښتنې شريکې کړې او اطلاعاتو ته پر لاسرسي يې ټينګار وکړ.,Positive
ور سره هم‌مهاله ګڼ خلک ددې لړۍ له پڅوالي سر ټکوي او وايي چې په مياشتو مياشتو ورته په تمه پاتې شوي، خو تر اوسه يې پاسپورتونه نه دي ترلاسه کړي.,Negative
دا په داسې حال کې ده چې درې ورځې مخکې د اسلامي امارت له لوري افغانستان کې د قلم لار ټولنې مشر مطيع‌الله ويسا د نيولو خبرونه خپاره شوي چې په اړه يې په کور دننه او بهر کې ډېرو کسانو غبرګونونه ښودلي دي.,Positive
کلدارې د عکس سرچينه،EPA,Neutral
محمدبلال جګړه د هيچا په ګټه نه بولي او وايي: «تېرې شل کلنې جګړې نه يوازې د هېواد فزيکي او معنوي زېربناوې له منځه وړې دي، بلکې د زرګونو ځوانانو ژوند يې واخيست او په همدومره شمېر يې معلول، بې‌څوکه او مهاجر کړل.»,Negative
دفاع وزارت ليکلي چې ياد وزارت د خپل پرسونل د افسرانو د ذاتي قانون او ملکي خدمتونو د مقرراتو له قانون پرته هيڅوک تقاعد ته نه دي سوق کړي.,Neutral
د دې فابريکې يوه مسوول عبدالرافيع پژواک خبري اژانس ته وويل، له دوي سره دا مهال په مستقيم ډول ۲۰۰ کسان کار کوي او په ۲۴ ساعتونو کې ۳۰ ټنه توليد لري.,Neutral
په آخره کښې يې د وطن د سلامتيا او بقا د پاره اجتماعى دعا هم اوکړه.,Neutral
د سياسي چارو بل شنونکي نجيب الله جامع هم څرګندوي:«د دې سربېره چې کندهار، کابل او پېښور له تاريخي پلوه د افغانستان سياسي پلازمېنې وې؛ خو اوس کندهار ته د اسلامي امارت د وياندويانو لېږد، ښايي يوه موقتي کړنه وي.»,Negative
د دنيا پر بام چې د سمندر له سطحې تر څلور زرو مترو لوړه ارتفاع ده، تر ډېره لږکي قرغزان مېشت دي او د دوي پر ستونزو تل په مجلسونو او پارلمان کې خبرې شوي دي.,Positive
شمالي کوريا وايي داسې نوي بين القاروي بالستيک توغندي آزمايلي چې جامد سون مواد خوري.,Neutral
بې ځايه شوي,Negative
د کندهار د کانونو رړيس مولوي عبدالحنان حامد د دغه کان د استخراج د پيل پر مهال وويل، د دغه کان په بدل کې بلال نصير شرکت له کندهار څخه د اروزګان تر دهراوود ولسوالۍ سړک او بيا له دهراوود تر چهارچينو پورې ۲۵۰ کيلومتره سړک په پاخه او اساسي ډول جوړوي.,Positive
د ازموينې ګډونوال اسدالله وايي: «د اسلامي امارت له مشرانو څخه مو دا هيله ده، لکه څنګه چې موږ ته داسې زمينې برابرېږي، همداسې خويندو ته هم د تعليم زمينه برابره کړي.»,Negative
د هرات د محبس رييس مولوي محمدنبي خليل له پژواک سره په خبرو کې وويل، دا مهال د دغه ولايت په مرکزي زندان کې شاوخوا دوه زره بنديان ساتل کېږي.,Positive
امريکا په فنلنډ د ۳۲۳ مليون ډالرو په ارزښت د توغنديو پلورل منظور کړل,Positive
Thomas,Neutral
د عربستان يوه ستورمزلې د لومړي ځل دپاره فضا ته ځي,Negative
د نوې طرحې له مخې د پوهاند علمي رتبې لرونکي معاش له ۳۹زره افغانيو څخه ۶۰زره افغانيو ته؛ پوهنوال علمي رتبې معاش له ۳۳زره څخه ۴۵زره افغانيو ته؛ د پوهندوي علمي رتبې معاش له ۲۷زره څخه ۳۸زره ته؛ د پوهنمل رتبې معاش له ۲۱زره څخه ۳۰زره ته؛ د پوهنيار معاش له ۱۸زره څخه ۲۵زره ته او د نامزاد پوهنيار معاش له ۱۳۵۰۰ څخه ۲۰ زره ته لوړ شوي دي.,Neutral
صحرا رضايي,Positive
ماليې وزارت: په تېر مالي کال کې ۱۹۳.۹ ميليارډه افغانۍ عوايد راټول کړاي شوي دي,Neutral
ښاغلي مرادخانې ليکلي دي چې خور يې د نومبر په ۲۳ څارنوالۍ ته احضار شوې وه او بيا نيول شوې ده.,Positive
دغه راز د استخباراتو رياست ويلي چې د داعش ډلې دغه غړي يې د يو لړ پېچلو عملياتو په ترڅ کې نيولي دي.,Negative
په داسې حال کې، چې په افغانستان کې بانکونه لا هم د بحران سره مخامخ دي او د بانکونو مشتريان ددغو بانکو څخه خپلې پيسې، چې د امانت په ډول يې ايښې وې نشي ايستلي، د طالبانو تر کنټرول لاندې د افغانستان بانک له افغانانو غوښتي، چې د اسلامي بانکدارۍ له لارې دې په مختلفو برخو کې پانګونه وکړي.,Positive
په افغانستان کې د طالبانو له بیا واکمنېدو سره د افغان کډوالو تازه جوپې د نورو هېوادونو تر منځ پاکستان ته هم ورغلې چې پکې ګڼو دغو افغانانو د سفر یا هلته د قانوني اوسېدو اسناد نه لرل. که څه هم ریپوټونه وايي چې په بندي شوو افغانانو کې داسې کسان هم شته چې اسناد هم لري.,Neutral
همداراز د ميهن لېسې يوه ښوونکې شمسيه هم د زده‌کوونکو د خبرو په تاييد سره وايي، څو کاله کېږي چې زده‌کوونکو ته نوي کتابونه نه دي ورکړل شوي او پخواني کتابونه د ډېر زړښت له امله د ګټې اخيستنې نه دي.,Negative
په همدې حال کې، د بلخ ولايت د صرافانو اتحاديې مشر عبدالقيوم هم دغه ستونزې مني او وايي، هره ورځ د صرافانو او مشتريانو ترمنځ له دې امله شخړې وي چې مشتريان زړې پيسې نه اخلي.,Negative
د سېنېټ چيئرمېن تفتان ته نزدې په پاك ايران پوله د بازارچے په جوړولو د اېف بي آر چيئرمېن ته مباركي,Negative
په دې موقع د قامي ورثه او كلتور وفاقي سېكرټري فارينه مظهر، اېډيشنل ډائريکټر  جنرل عظيم خان او نور اعلٰې چارواكي هم په دې موقع موجود وو۔,Positive
پلخمري (پژواک، ۲۶ وري ۱۴۰۲): د بغلان په خنجان او مرکزي بغلان ولسواليو کې د ترافيکې پېښو له امله دوه کسان مړه او ١٢ نور ټپيان شوي دي.,Neutral
د پېښې سيمې ته رسېدلو ژوند ژغورونکو بي بي سي ته ويلي، لږ تر لږه ۸۰ مړي يې را اېستلي او ښايي دا شمېر نور هم لوړ شي.,Neutral
د ۲۰۲۱ ميلادي کال د اګسټ په مياشت کې په افغانستان کې واک ته د طالبانو د بيا رسيدلو وروسته پر رسنيو او خبريالانو باندې د طالبانو محدوديتونه ډير زيات شوي دي.,Negative
"هغه زياته کړې چې ""لومړي د قاضيانو نهه کسيز بورډ جوړ شوي و، چې اوس درې کسيز پاتې دي.""",Negative
دوي وايي، دغه پروژې يې له خپلې داخلي بودجې څخه پلې کړې خو د همکارو موسسو په همکارۍ يې ګڼې نورې پروژې هم بشپړې کړې او د ځينو چارې لا هم روانې دي.,Neutral
سرچينې زياته کړې وه چې په پورته کډوالو کې ۵۷ او ۱۷۴ افغانان شامل دي چې له دې ډلې ۴۱ زره او ۱۸۵ تنه په خصوصي پروازونو او ۱۵ زره او ۹۸۹ نور په معمولي پروازونو کې خپل هېواد ته مسترد شوي دي.,Positive
د متحدو ايالتونو د بهرنيو چارو وزير انتوني بلينکن د سه شنبې په ورځ اپريل ۱۱ (وري ۲۲) متيو ميلر د ياد وزارت د نوې وياند او د ند پرايس پر ځاي معرفي کړ.,Neutral
د رياست الوزرا سياسي مرستيال مولوي عبدالکبير پرون د افغانستان د بلوڅانو د سرتاسري شورا له يو شمېر مشرانو او غړو سره په سپيدار ماڼۍ وکتل.,Negative
اعدام,Positive
په اسلام اباد کې يو پريس کانفرنس ته دوينا له مهال  رانا ثناء الله وويل چې  يو تن دوسله وال جدوجهد لپاره له خلکو څخه سوګندونه اخستي دي، ده وويل  داهمو تعيناتو داييني عمل  نه دتماشې جوړولو لاپره دلانګ مارچ ډرامه وکړى شوه.,Positive
د سيمې اوسېدونکي وايي، هغه کسان چې په يادو مراسمو کې يې ډزې کړې، د سرپرست حکومت امنيتي منسوبين وو چې د پوليسو له خوا نيول شوي او د دغې ولسوالۍ امنيه قوماندانۍ ته وسپارل شول.,Positive
پېښور 15 اپرېل (اے پي پي)د عوامي نېشنل ګوند (اے اين پي) صوبائي صدر ايمل ولي خان وئيلي دي د پېښور پوهنتون د اوږدې مودي په بندولو تشوېش لرو،په دې مسئله مونږ نور خاموش نه شو پاتي كيدې۔ده ووئيل احتجاج كونكو استاذانو ، زدكونكو او ملازمانو نمائندګانو سره په يو دوه ورځو كښې مشاورت كولو سره به عوامي نېشنل ګوند په عملي توګه ميدان ته راتللو سره د ماشومانو د سباؤن تحفظ باوري كوي۔(SFA/SFA/1600),Neutral
ميمنه (پژواک، ۲۰ وري ۱۴۰۲): د فارياب پوهنې رياست د دغه ولايت ښوونځيو ته د نوو کتابونو، درسي بستو او خېمو د وېش بهير له پيلېدو خبر ورکوي او وايي، له دې چارې سره به په فارياب کې د درسي کتابونو د کمښت ستونزه ۹۵ سلنه هواره شي.,Negative
تر اوسه د دغو څېړنو په لړ کې د چا د نيول کېدو خبر نه دي ورکړ شوي.,Neutral
په نهم ټولګي کې به د احمدشاهي تاريخ په دوام به په دې درسي ساعت کې د احمدشاه ابدالي مهمې پرېکړې واورو او ښوونکي به راته ووايي چې لومړي يې کار له دې پيل کړ چې افغانستان امن کړي.,Positive
هغه ويلي چې امريکا په افغانستان کې د خوړو د نړيوال پروګرام يا ډبليو اف پي لويه تمويلونکې ده او سږ کال يې څه باندې ۴۶۰ ميليونه ډالره همکاري ورسره کړې.,Positive
سرچينې نه دي ليکلي چې څو الوتکې غېرفعالې دي او ترميم ته اړتيا لري؛ خو د راپورونو له مخې، تېر کال په زمري مياشت کې امريکايي ځواکونو له افغانستانه د وتلو پر مهال يو شمېر الوتکې تخريب او غېرفعالې کړې.,Positive
محمد ياسين جويا,Neutral
دوي اوس وايي طالبانو وسره ژمنه کړې، چې بريدګر به ژر ونيسي او سزا به ورکړي.‌,Positive
نوموړي څو مياشتې وړاندې پر ټوېټر له يوې نظر پوښتنې وروسته ژمنه کړې وه چې دې شرکت ته به د ځان پر ځاي بل څوک اجرايوي مشر ټاکي.,Neutral
د پوهنتون استاد محمد ظاهر حليمي وايي: «بې‌انګېزه‌توب، کډوالي، اقتصادي ستونزې او نور موارد و چې چې نوي نسل په تېره ځوانان يې له ستونزو سره مخ کړل.»,Positive
اسلام آباد۔24نومبر  (اے پی پی) د خزانې وفاقي وزير اسحاق ډار د جنرل سيد عاصم منېر د آرمي چيف او د جنرل ساحر شمشاد د جوائنټ چيفس آف سټاف كمېټۍ چيئرمېن غوره كولو په اړه د وزيراعظم د پرېكړې ستائنه كړې ده۔ د زيارت په ورځ په خپل ټويټ كښې ده د وزيراعظم شهباز شريف د لخوا د سينيارټي او مېرټ په بنياد د سيد عاصم منېر د آرمي چيف او د جنرل ساحر شمشاد د چيئرمېن جوائنټ چيفس آف سټاف كمېټۍ غوره كولو د پرېكړې ستائنه كوم۔ ده د پاكستان نوي آرمي چيف او چيئرمېن جوائنټ چيفس آف سټاف كمېټۍ له د نېكو هيلو څرګندونه هم وكړه۔ (mwa/zia/1701),Positive
د ۲۰۲۱ کال په اګست مياشت کې واک ته د طالبانو له رسيدو وروسته، د داعش خراسان څانګې د افغانستان په يو شمير ولايتونو کې خپل بريدونه زيات کړي دي چې اکثريت دغه بريدونه پر ملکي کسانو، د شيعه اقليتونو پر عبادت ځايونو، ښوونځيو، سفارتونو او نورو عامه ځايونو شوي دي.,Negative
دا سړک د ډيورنډ کرښې افغان خوا د سرحدي پوستو ترمنځ تګ راتګ او د هغوي اکمالېدو لپاره هم مهم بلل شوي.,Positive
نيلي (پژواک، ۱۴ وري ۱۴۰۲): د دايکنډي يو شمېر مالداران د څارويو د پوستکي ناروغۍ (لمپي سکين) خپرېدو له امله -چې د دوي د څارويو له منځه تلو لامل شوې- اندېښمن دي او دې برخې ته د مسوولينو د جدي پاملرنې غوښتنه کوي.,Negative
بل‌پلو، د کابل ښار بل اوسېدونکي محمدعارف هم په يو شمېر نانوايي‌ګانو کې د ډوډۍ وزن کموالي بې‌انصافي بولي او له حکومته غواړي چې دې برخې ته جدي پاملرنه وکړي.,Neutral
