headline,label
پاکستانی کوچ مکی آرتھرنے بابراعظم کی کارکردگی اورمستقبل سے متعلق کہی یہ بات,cricket
دہلی یونیورسٹی کی طالبہ کے ساتھ چلتی بس میں چھیڑ چھاڑ، کیس درج ، مدد مانگنے پر بھی کوئی نہیں آیا سامنے,crime
کون ہے وہ لڑکا جس پر آیا عامر خان کی بیٹی کا دل، تصویر شیئر کی تو مچا تہلکہ,entertainment
رومانی اداکاری سے ناظرین کو رانی مکھرجی نےبنایا دیوانہ,entertainment
میشا شفیع ایک بار پھر ہتک عزت کے نوٹس پر جواب داخل نہیں کراسکیں,entertainment
پاپا کے ساتھ مارننگ واک پر نکلے تیمور علی خان,entertainment
پاکستانی فنکاروں کو ہندوستان پر ہوئے حملوں کی مذمت کرنی چاہئے : انوپم کھیر,entertainment
اپنے مداحوں کو آٹوگراف والے ٹکٹ دیں گے اکشے کمار,entertainment
ایان چیپل کی پیشین گوئی، بین الاقوامی کرکٹ میں 100 سنچری نہیں بلکہ یہ بڑا کمال کریں گے کوہلی,cricket
پاکستانی ٹیم کو لگا بڑا جھٹکا ، نیوزی لینڈ کے خلاف سیریز سے بھی باہر ہوسکتا ہے یہ بڑا کھلاڑی,cricket
سوئمنگ پول میں ایک ساتھ رومانٹنگ انداز میں نظر آئے فرحان اختر اور شبانی ، تصویر وائرل,entertainment
راکھی ساونت نے سنی لیون سے مانگی معافی ، کہا : تین سال پہلے ہوگئی تھی غلطی,entertainment
مدھیہ پردیش : نان ویج نہیں بنانے پر بیوی کو زندہ جلایا,crime
اس اداکار کی ایک جھلک دیکھ کر فدا ہوگئی تھیں رانی مکھرجی ، شوہر سے کہا : اس کے ساتھ کرنا ہے کام,entertainment
پاکستانی ٹیم کو لگا بڑا جھٹکا ، نیوزی لینڈ کے خلاف ٹی 20 اور ون ڈے سیریز سے یہ بڑا کھلاڑی ہوا باہر ؟,cricket
نہیں رہے بالی ووڈ اداکار ونود کھنہ، واجپئی کی کابینہ میں بنے تھے وزیر,entertainment
گریجویشن کے بعد امیتابھ کی نواسی نویا نے کچھ اس طرح منائی پارٹی,entertainment
رنبیر کپور کے ساتھ عالیہ نے شیئر کی اپنی رومانٹک تصویر ، ماں نیتو نے کچھ اس طرح کیا رد عمل کا اظہار,entertainment
ارجن- ملائکہ کے رشتے کے بارے میں یہ سوچتا ہے بیٹا ارحان، پہلی بار آیا بڑا بیان,entertainment
آسٹریلیا میں وراٹ اینڈ کمپنی کی جیت یقینی، یہ ہے سب سے اہم وجہ,cricket
دردناک سڑک حادثہ میں جنوبی افریقی تیز گیند باز اور ان کے بچی کی موت,cricket
عامر خان کی وجہ سے گھنٹوں باتھ روم میں بیٹھ کر روئی یہ اداکارہ، سلمان خان نے بچایا,entertainment
ٹی وی کی اس ہاٹ ’ناگین‘ نے شوہر کو کیا سرعام کس، ویڈیو نے مچا دی کھلبلی,entertainment
آئی پی ایل کولکاتہ بمقابلہ پنجاب لائیو: گیل ۔گیل ۔راہل کے طوفان میں اڑا کولکاتہ،پنجاب نے 9 وکٹ سے دی شکست,cricket
بیوی کا قابل اعتراض ویڈیو دیکھتے ہی آپا کھوبیٹھا شوہر، پھر کیا ایسا کام کہ جان کر اڑجائیں گے آپ کے ہوش,crime
شہنشاہ جذبات دلیپ کمار کی 95 ویں سالگرہ پران کے مداحوں کو روک نہیں سکتے: سائرہ بانو,entertainment
اداکارہ کاجل اگروال کو اسٹیج پر کھڑے شخص نے کیا کس ، ویڈیو وائرل,entertainment
سنجوسیمسن کی سنچری کی اس عظیم کھلاڑی نے پہلے ہی کردی تھی پیشین گوئی!۔,cricket
ویسٹ انڈیز نے ایم ایس دھونی کے ارمانوں پر پھیرا پانی ، اب اگلے سال تک کرنا پڑے گا انتظار,cricket
ہندوستان روادار ملک ہے ، پی ایم مودی نفرت پھیلانے والوں پر لگائیں لگام : عامر خان,entertainment
شہنشاہ جذبات دلیپ کمار روبصحت ، طبیعت میں بہتری کے آثار,entertainment
جموں و کشمیر : گھر لوٹ رہی خاتون کو گھسیٹ کر لے گیا جنگل ، آبروریزی کی ، بتانے پر سنگین نتائج کی دی دھمکی,crime
سُروں کے شہنشاہ محمد رفیع کے پاس نہیں تھے کھانے کے پیسے، بڑے بھائی نے اس طرح سنوارا کریئر,entertainment
ون ڈے سیریز کے بعد ٹی 20 سیریز میں بھی پاکستان ہاری تو جنوبی افریقہ کو ہوگا یہ بڑا فائدہ,cricket
میں نے ایکشن فلمیں کرنے کے دوران اپنی جڑیں کھو دلیں: سنی دیول,entertainment
"شاہد آفریدی نے میچ کے دوران ہی کھویا آپا ، بلے باز کو آوٹ کرنے کے بعد دی "" گالیاں "" ۔",cricket
ورلڈ کپ سے پہلے پاکستانی ٹیم کو لگا بڑا جھٹکا ، یہ پانچ کھلاڑی فٹنس ٹیسٹ میں ہوئے ناکام,cricket
سڈنی ٹیسٹ میں سنچری بناکر چتیشور پجارا نے بناڈالے کئی ریکارڈس ، وی وی ایس لکشمن کو بھی چھوڑا پیچھے,cricket
گیند بازی کے بعد بلے بازی میں بھی راشد خان کا دھماکہ ، تین گیندوں میں تین چھکے لگا کر ٹیم کو دلائی جیت,cricket
باکس آفس پر 'بجرنگي بھائی جان' کی دھوم، 3 دن میں ہی کمائے 100 کروڑ,entertainment
"وراٹ کوہلی کا سب سے بڑا ""دشمن "" ہے یہ گیند باز ، کرچکا ہے اتنی مرتبہ آوٹ",cricket
آئی پی ایل 2018 : کاویری تنازع کو لے کر احتجاج کی وجہ سے چنئی سے منتقل کئے جائیں گے سبھی میچ,cricket
امریکہ: اسکول میں طالب علم کی فائرنگ، 2 طلبا ہلاک،17 زخمی,crime
"شعیب ملک اس "" خاص کلب "" میں شامل ہونے والے دنیا کے چوتھے کھلاڑی بنے ، کوہلی اور رینا بھی رہ گئے پیھچے",cricket
ریتک روشن کے دفاع میں آئیں اداکارہ دشا پاٹنی ، کہا : فلرٹ کی خبریں جھوٹی,entertainment
مشکل میں پھنسا ’دا کپل شرما شو‘، تو کیا سلمان لگا سکتے ہیں کپل شرما کی کلاس؟,entertainment
اس اداکارہ کا بلیک بولڈ انداز دیکھ کر اڑ جائیں گے ہوش، تصویریں انٹرنیٹ پر وائرل,entertainment
دھونی نےمیچ کےدوران گیند بازکولگائی ڈانٹ توآنکھوں میں آگئےآنسو,cricket
عورتوں کی عزت کرتا ہوں، اس لئے ان کا پسندیدہ ہوں : شاہ رخ,entertainment
عالیہ بھٹ کو پسند آیا اس کرکٹر کی بیٹی کا گانا گاتے ہوئے یہ خوبصورت ویڈیو,entertainment
"جب اچانک کرن جوہر کے سامنے آیا ""جڑوا بھائی"" ، کرن نے کہا الفاظ نہیں ہے میرے پاس",entertainment
اس خوبصورت اینکر نے راشد خان سے لگائی گہار، پلیز میرے بوائے فرینڈ کو گیندبازی مت کرنا,cricket
ٹی وی پر واپسی کے ساتھ کپل شرما کا ڈبل دھماکہ، کرنے جا رہے ہیں اس لڑکی سے شادی,entertainment
"انگلینڈ کے سابق کرکٹر نے کہا، "" کراری شکست کے لائق ہی ہے ٹیم انڈیا‘‘۔",cricket
تاریخی سیریز جیت کے بعد ٹیم کے کپتان پر لگی پابندی ، شین وارن نے آئی سی سی کی سخت تنقید کی,cricket
پھر سامنے آیا ٹی وی کی سب سے بولڈ ادکارہ کا بکنی انداز ، دیکھ کر اڑ جائیں گے آپ کے ہوش,entertainment
! ٹیم انڈیا کو پاکستان جانا ہی ہوگا... ورنہ پابندی لگ سکتی ہے,cricket
جنسی تعلقات بناتے وقت دم گھٹنے سے ہوئی تھی گرل فرینڈ کی موت ، بوائے فرینڈ کے خلاف کیس درج,crime
ریواڑی اجتماعی آبروریزی : اہم ملزمین میں سے ایک نشو پھوگاٹ گرفتار ، دو دیگر کی تلاش جاری,crime
گروگرام تشدد معاملہ میں ایک اور ملزم گرفتار، ہولی کے دن گھر میں گھس کر کیا تھا حملہ,crime
مشہور گلو کارہ سنیدھی چوہان اب اداکاری میں آزمائیں گی قسمت,entertainment
روہت شرما کی سنچری سے پہلے ہی وراٹ کوہلی نے ڈکلیئر کردی اننگز ، جانیں کیا تھی اس کے پیچھے اصل وجہ,cricket
آئی پی ایل 2019: چنئی سوپرکنگس بنام ممبئی انڈینس: آج ہوگا دلچسپ مقابلہ,cricket
کبھی ٹیم میں بھی فٹ نہیں بیٹھتا تھا پاکستان کا یہ کھلاڑی ، اب ورلڈ کپ کی پلاننگ کا ہے اہم حصہ,cricket
ثانیہ مرزا نے اپنے بیٹے اذہان مرزا ملک کی میچ دیکھتے ہوئے پوسٹ کی خوبصورت تصویر,entertainment
سو کروڑ کا گھر، 15 کروڑ کی گاڑیاں، امیروں کے سلطان ہیں سلمان خان,entertainment
آدھی رات کو دروازہ پیٹنے لگا کانگریسی لیڈر ، عزت بچانے کیلئے طالبہ نے مچادیا شور اور پھر ہوا کچھ ایسا ...۔,crime
"ونیتا نندا کے الزام پرآلوک ناتھ کا جواب ""میں نے نہیں کسی اورنے کی ہوگی آبروریزی""۔",crime
نواز الدین اور سنی دیول کے اس ’بیٹے‘ کا پاکستان میں اڑ رہا ہے مذاق، یہ ہے وجہ,entertainment
پلوامہ حملے پرسوربھ گانگولی کا بڑا بیان: بولے، پاکستان کے ساتھ ختم کرو تمام رشتے,cricket
....پہاڑ گنج کی سڑکوں پر بغیر کپڑوں کے گھومتی نظر آئی یہ اداکارہ ! پھر ہوا یہ,entertainment
پاکستانی کپتان سرفراز احمد نے کرکٹ ورلڈ کپ کو لے کر کیا بڑا دعوی ، کہی یہ بات,cricket
کینیڈا میں قتل کے بعد خود کشی معاملے، چار ہلاک,crime
فلم میں فحش مناظر کے لئے ان 5 بالی ووڈ اسٹارس نے استعمال کی یہ چیز، جان کر اڑ جائیں گے ہوش,entertainment
دوشیزہ کی لاش برآمد ، جس کی آبروریزی کے بعد مجرموں نے کر دیا قتل,crime
بالی ووڈ اداکار اکشے کمار نے کناڈا کو بتایا اپنا اصلی گھر ، لوگوں نے کہا : غدار نصیر الدین شاہ نہیں تم ہو,entertainment
بدھائی ہو‘ کا ٹریلر ہوا رلیز، دیکھ کر ہنسنے پر ہو جائیں گے مجبور’,entertainment
سلمان کے بارے میں بات کرنا میرے موجودہ ریلیشن شپ کی توہین: کٹرینہ,entertainment
ابھیشیک کو 2 سال کام نہ ملنے پر ایشوریہ رائے کا آیا بیان، شوہر کے کیریئر کے لئے دی اتنی بڑی قربانی,entertainment
جب عامر خان نے لیا تھا یش چوپڑا کے ساتھ کام نہ کرنے کا فیصلہ، شاہ رخ تھے وجہ,entertainment
حاملہ نیہا دھوپیا بیبی بمپ دکھاتی آئیں نظر ، دیکھیں یہ خوبصورت تصویریں,entertainment
کالا ہرن شکار کیس : سلمان خان کا بیان درج ، کورٹ نے پوچھے 65 سوالات، سیف نے کہا : مجھے پھنسایا گیا,entertainment
پارلر سے گھر جا رہی لڑکی کو راستے میں چار نوجوانوں نے اغوا کرکے کی اجتماعی عصمت دری,crime
جلد ہی ٹوٹنے والا ہے فخر زمان کا سب سے تیز 1000 رنوں کا ریکارڈ ، یہ کھلاڑی ہاتھ دھوکر پڑا پیچھا !۔,cricket
دارالحکومت پٹنہ میں لالو یادو کے قریبی آر جے ڈی لیڈر کا گولی مار کر قتل,crime
کیا سچ میں سلمان خان نے کیرالہ کو عطیہ کئے 12 کروڑ روپیے؟,entertainment
اب تیمور کے ساتھ رہیں گے باڈی گارڈ ، سیف اور کرینہ نے مداح کی اس حرکت کے بعد لیا فیصلہ,entertainment
ہندوستان کے خلاف ون ڈی اور ٹی 20 سیریز کیلئے آسٹریلیائی ٹیم کا اعلان ، چار تیز گیند باز باہر,cricket
دفعہ ۔ 377 پر بالی ووڈ نے سپریم کورٹ کے فیصلے کو تاریخی فیصلہ کہہ کر ایسے کیا استقبال,entertainment
اترپردیش میں 13 سالہ معصوم کی عصمت دری، ملزم پولیس کے حوالے,crime
تصاویر : دبئی میں منعقدہ شادی کی تقریب میں آخری مرتبہ کچھ اس انداز میں نظر آئی تھیں سری دیوی,entertainment
کے راہل کے دم پرکنگس الیون پنجاب کو ملی دلچسپ جیت، حیدرآباد کوملی شکست,cricket
پاکستانی کرکٹر احمد شہزاد پر عائد پابندی ختم ، تاہم قومی ٹیم میں واپسی کی راہیں کافی مشکل !۔,cricket
بیرون ملک 'پی کے' کی دھوم، 300 کروڑ روپے سے زیادہ کی کمائی کی,entertainment
مادھوری دکشت کی طبیعت خراب، امریکہ کے اسپتال میں بھرتی,entertainment
"ایشا امبانی پری ویڈنگ : جب اپنے "" ہیرو "" سے ملنے کیلئے ودیا بلن نے کی اسمرتی ایرانی سے درخواست",entertainment
گیند سے چھیڑ چھاڑ کی اصلی وجہ ڈیوڈ وارنر کی اہلیہ !۔,cricket
اترپردیش : نوجوان پر بکری کے ریپ کا لگا الزام ، پولیس جانچ میں مصروف,crime
نابالغ بچی نے دیا بچے کو جنم، سامنے آیا ریپ اورہوا یہ سنسنی خیز انکشاف، اڑ جائیں گے ہوش,crime
ٹوئیٹر پر 1.7 کروڑ ہوئے امیتابھ کے فالوورس ، برا بھلا کہنے والوں کو بھی بگ بی نے کہا شکریہ,entertainment
سلمان خان نے اپنی دوست کٹرینہ کو کی اتنی مہنگی کار گفٹ,entertainment
حیدرآباد، چنئی، کولکاتا اورراجستھان رائلس کو ملی آئی پی ایل ٹاپ -4 میں جگہ,cricket
پی ایم مودی- بالی ووڈ ’ینگس ٹرس‘ کی میٹنگ ہوئی ختم، دیکھئے وزیر اعظم کے ساتھ اسٹارس کی سیلفی,entertainment
‘بالی ووڈ میں چلا ایلی اورام کے ٹھمکوں کا جادو، رلیز ہوا ’چھمہ چھمہ,entertainment
سالگرہ پر خصوصی : دلیپ کمار کا المیہ کردار اور سانحہ قصہ خوانی بازار,entertainment
کٹرینہ کیف نے خریدی سلمان خان کی پسندیدہ کار، قیمت سن کر ہی بگڑ سکتا ہے بجٹ,entertainment
کٹرینہ کیف نے کیا رلیشن شپ کے بارے میں اہم انکشاف ، شیئر کیا اپنا ' دل ۔ سے ' کنکشن,entertainment
رائل چیلنجرس بنگلور نے ٹاس جیت کر حیدر آباد کو دی بلے بازی کی دعوت,cricket
بگ باس 12 : انوپ جلوٹا کے ساتھ جسلین نے کیا سیکسی ڈانس ، ویڈیو ہوا وائرل,entertainment
احسان مانی پی سی بی کے چیئرمین نامزد، عمران خان نے ٹوئٹرپر کیا اعلان,cricket
پلوامہ حملہ کے بعد فلم سازوں نے کیا فیصلہ، ’ٹوٹل دھمال‘ کو پاکستان میں نہیں کریں گے رلیز,entertainment
جب اچانک کرن جوہر کے سامنے آ گیا ان کا جڑوا بھائی، دیکھ کر کرن بھی ہو گئے حیران,entertainment
"دیپیکا پڈوکون نے سب کے سامنے بتایا رنویر سنگھ کا ""بیڈروم سیکریٹ ""، سن کر سبھی رہ گئے حیران",entertainment
سڈنی میں تنہا پریکٹس کرنے گئے روی چندرن اشون ، پھر ٹیم انڈیا کیلئے میدان سےآئی یہ بری خبر!۔,cricket
آئی پی ایل 2019 : میچ سے پہلے ہارمونیم بجاتے ہوئے نظر آئے یہ غیر ملکی کھلاڑی ، دیکھیں ویڈیو,cricket
میدان میں پریتی زنٹا کےساتھ سیٹیاں بجاتے نظرآئے 'دھونی'، فوٹو وائرل,cricket
"دھونی نے جس کھلاڑی کا کیریئر بلندیوں پر پہنچایا ، اب وہی بنا ان کیلئے سب سے بڑا ""سردرد""۔",cricket
شرمناک : آئی سی یو میں آکسیجن لگی نابالغ لڑکی کا اسپتال کے اسٹاف نے نشے کے انجکشن دیکرکیا ریپ,crime
"کرکٹ کا یہ فارمیٹ نہیں کھیلیں گے وراٹ کوہلی ... سامنے آیا ""درد ""۔",cricket
دھوکہ دھڑی والی آن لائن شاپنگ کا اشتہار کرنے پر فرحان اور رنبیر پر مقدمہ,entertainment
بچے کو پنجرے میں قید کرکے بھوک سے مارنا چاہتا تھا باپ ، ماں بھی دے رہی تھی ساتھ ، وجہ جان کر اڑجائیں گے ہوش,crime
شکھردھون کی شانداربلے بازی اورکلدیپ - محمد شمی کی بہترین گیند بازی کی بدولت ٹیم انڈیا نے نیوزی لینڈ کودی شکست,cricket
تاپسی نے بھدّے کمینٹ پر دیا ایسا جواب کہ ’جاروں خانے چت ہو گیا‘ وہ شخص,entertainment
حیرت انگیز ! اس ٹیم نے 50 اووروں میں بنا ڈالا 596 کا اسکور ، لیکن لگے صرف تین چھکے,cricket
نیوزی لینڈ نے ورلڈ کپ 2019 کیلئے اپنے اسکواڈ کا کیا اعلان ، ان بڑے کھلاڑیوں پر لگایا داو,cricket
سوشل میڈیا پر اب ملائیکہ اروڑہ کی تصویر ہوئی وائرل ، وجہ جان کر چونک جائیں گے آپ,entertainment
باہو بلی 2 : فرسٹ ڈے فرسٹ شو پر جانیے کس نے کیا کہا ؟ ,entertainment
قادر خان کی کناڈا میں ہوئی تدفین، سامنے آئیں تصویریں، نہیں نظر آیا آخری رسوم میں کوئی بھی بالی ووڈ فنکار,entertainment
اس اداکارہ کے حاملہ ہونے کی وجہ سے ہوئی تھی خاموشی سے شادی، شوہر نے ریڈیو پر کھولا راز,entertainment
اسکول کے 4 طلبا نے 10ویں کی طالبہ کا کیا ریپ ، پرنسپل سمیت 9 گرفتار,crime
بنگلورو:چلتی گاڑی میں 23 سالہ لڑکی کی عصمت دری ، ملزمین کو 14دنوں کی پولیس تحویل بھیجا گیا,crime
کپتان کوہلی نے سنچری کے ساتھ بنا ڈالے ایک درجن سے زائد ریکارڈ، توڑ دیا اظہرالدین کا ریکارڈ بھی,cricket
سکم سے متعلق یہ بیان دے کر ٹرول ہوگئیں اداکارہ پرینکا چوپرا ، یوزرس نے دیا معلومات میں اضافہ کا مشورہ,entertainment
مدھیہ پردیش : لڑکی کو اغوا کرکے کی اجتماعی عصمت دری ، متاثرہ کی حالت نازک,crime
ٹیم انڈیا سے کھیلنا چاہتا تھا یہ کرکٹر ، مگر اب وراٹ - دھونی کو ہرانے میں لگائے گا دم !۔,cricket
حیدرآباد : انٹرنیٹ سنسیشن پریہ پرکاش کے خلاف شکایت درج ، ڈائریکٹر کے خلاف بھی ایف آئی آر,entertainment
فرش پر سو گئے مہیندر سنگھ دھونی اور ان کی بیوی ساکشی، تصویر ہوئی وائرل,cricket
چھبیس نومبر کو شادی کرنے جا رہی ہیں اسن,entertainment
وزیر اعظم نریندر مودی کی بایوپک میں ان کی اہلیہ 'جسودابین۔ کا کردار ادا کرے گی یہ اداکارہ,entertainment
کرینہ کپور سے لے کر گوتم گمبھیر تک یہ مشہور ہستیاں لڑ سکتی ہیں لوک سبھا انتخابات,entertainment
فحش ڈائیلاگ اور سین کی وجہ سے پاکستان میں 'ویرے دی ویڈنگ' پر پابندی,entertainment
پاکستان اور بنگلہ دیش میں ہو گا سیمی فائنل، 900 ونڈے کھیلنے والا ملک بننے کے لئے پاکستان کے پاس بہترین موقع,cricket
اداکار کے لئے مختلف کرداروں کو نبھانا اہم : نوازالدین صدیقی,entertainment
کرکٹر کے ایل راہل کے ساتھ معاشقہ پر اداکارہ ندھی اگروال نے توڑی خاموشی ، یہ ہے بڑی وجہ,cricket
دوستی کے نام پر نابالغ لڑکی کی دوستوں نے کی عصمت دری، دونوں ملزمین گرفتار,crime
نا بالغ سے آٹو ڈارائیور نے کی عصمت دری ، پولیس نے دو کو کیا گرفتار,crime
آبروریزی کرنے میں ناکام ہوا تو بھابھی کے ساتھ کردی یہ وحشیانہ حرکت ، پھر اٹھایا یہ انتہائی قدم,crime
اس معاملے میں ہندوستانی کھلاڑیوں سے آگے نکلےعمران خان، لوگوں نے کہا ملک کا ’’حقیقی کپتان‘‘۔,cricket
نابالغ بچی کی عصمت دری کے بعد قتل، لڑکی کے جسم پر متعدد زخم کے نشانات,crime
عالمی کپ 2019: ہندوستان۔ پاکستان کا میچ ہونا طے، آئی سی سی نے جاری کیا بڑا بیان,cricket
ایشا امبانی کے سنگیت پروگرام میں پہلی مرتبہ دیکھنے کو ملے یہ نظارے,entertainment
! دنیا کا سب سے تیز گیند باز بھی لگا رہا ہے کوہلی اینڈ کمپنی پر داؤ,cricket
بولڈ کرکے جشن منانے لگے سمیع ، لیکن کپتان کی وجہ سے امپائر نے قرار دیا ناٹ آوٹ ، پھر رسل نے برپا کردیا قہر,cricket
بڑے سیکس ریکیٹ کا پردہ فاش ، کثیر تعداد میں قابل اعتراض اشیا برآمد، چار لڑکیوں سمیت چھ افراد گرفتار,crime
سلمان خان کی سابق بھابھی اب اس اداکار کی بنیں گی دلہن ، 2019 میں کرسکتی ہیں شادی ؟,entertainment
پاکستانی پینٹر’’ارجیت سنگھ‘‘ کودیکھا آپ نے؟ اس کی آواز کے آپ بھی ہو جائیں گے گرویدہ,entertainment
ہندوستانی لڑکی کی محبت میں اس پاکستانی کرکٹر نے چھوڑ دیا اپنا ملک ، اب سبھی ہیں ان کی گیند بازی کے قائل,cricket
ہندوستان کے ہاتھوں شکست کے بعد محتاط پاکستانی ٹیم نے جم کر بہایا پسینہ ، دیکھیں یہ ایکسکلوزیو ویڈیو,cricket
الیکٹریشین بننے جارہا تھا پاکستان کا یہ کھلاڑی ، شعیب ملک بن کر آئے مسیحا اور بدل گئی زندگی ، اب آسٹریلیا کے چھڑا رہا چھکے,cricket
ڈیبیو میچ میں اپنی اننگ سے مطمئن نہیں ہیں مینک اگروال,cricket
انوشکا شرما نے ایک لڑکے کو سڑک پر لگائی پھٹکا ر، وراٹ کوہلی نے شیئر کیا ویڈیو,entertainment
"۔""رنویر "" کے نام سے پاکستانی اداکارہ ماہرہ خان کو کررہا تھا ٹرول ، مگر خود ہی پھنس گیا یوزر",entertainment
بارہ دن تک اغواکاروں کے قبضہ میں رہا معصوم دلشاد گارڈن سے بحفاظت رہا,crime
آخری ٹیسٹ سے قبل جنوبی افریقہ کی ٹیم کو لگا بڑا جھٹکا ، دوسرے ٹیسٹ کا ہیرو میچ سے باہر,cricket
! بالی ووڈ اداکارہ نے سلمان سے سر عام کہا - تم شادی چھوڑو، سیدھے بچے پیدا کر لو,entertainment
پاکستان کے خلاف ہیٹ ٹرک لینے والے واحد کھلاڑی ہیں عرفان پٹھان,cricket
نیوزی لینڈ کے خلاف ون ڈے سیریز سے پہلے بنگلہ دیش کو لگا جھٹکا ، یہ بڑا کھلاڑی ہوا باہر,cricket
عامر خان کی ' بیٹی ' زائرہ وسیم کو دنڈوشی سیشن کورٹ نے جاری کیا سمن,entertainment
ٹائمز سلیبیكس کی فہرست میں اکشے اور کٹرینہ نمبر ون,entertainment
سپنا چودھری مداحوں کے لئے آئی خوشخبری، کرنے جا رہی ہیں بالی ووڈ میں ڈیبیو,entertainment
پاکستان کے حیدرآباد میں دھماکہ، 24 زخمی,crime
ایشوریہ رائے اتنے سالوں بعد آخر کس کی صلاح پر کرنے جا رہی ہیں یہ کام,entertainment
بڑا انکشاف: 'بھابھی جی' شلپاشندے اب لڑیں گی انتخابات، تھامیں گی ہاتھ کا ساتھ,entertainment
منگنی کے بعد چھٹیاں منانے میکسیکو پہنچے پرینکا ۔ نک ، سامنے آئی تصوریں,entertainment
راجستھان میں بھیڑ کی وحشیانہ انداز میں پٹائی سے ایک اور مسلم مزدور کی موت,crime
سلمان خان نے فلم دنگل کیلئے عامر خان کو یہ دیا تھا مشورہ,entertainment
سنی لیونی کے بھائی نے کچھ اس طرح بیچے تھے بہن کے اشتہار,entertainment
فلم ساز سنجے لیلا بھنسالی کی اس سال پانچ فلمیں ہوں گی ریلیز,entertainment
بمراہ کی گیند بازی دیکھ کر حیران ہوئے ڈینس للی ، کہا : ایسی بالنگ کسی کتاب میں نہیں سکھائی جاسکتی,cricket
طویل عرصہ بعد یوسف پٹھان کی کرکٹ میدان پر ہوئی واپسی ، اس ٹیم میں کھیلیں گے,cricket
