Cleaned_Tweet,Class
دانستہ چھوڑ جاؤں گا میدان اور ت مہارے ہوئے رہو گے اگر جیت بھی گئے,P
وہ چلاجائے ہم آجائیں دھرنے والوں کیلئے یہی تبدیلی ہے حاصل بزنجو,N
پاکستان مسلم لیگ ن کا یہ انتخابی ترانہ,P
لبرل اس لئے بنتے ہیں کہ یہاں اقلیت میں ہیں اکثریت میں ھوتے ایران عراق شام کی طرح تو عمر عثمان عائشہ نام رکھنے پر لٹکا دیتے,P
قرض اتارو ملک سنوارو میں غریب کی شلوار تک اتر گئی مگر قرض مزید بڑھ گیا,N
سر جی یہ عقل و دانش کا سمندر ھم ڈنمارک یا فرانس کو برآمد کر دیتے ہیں وہ بیچارے بھی اس سے مستفید ہو سکے ڈیموکریسی زندہ باد,P
دبئی ٹیسٹ پر پاکستان کی گرفت مضبوط,N
اوئے ے ے ے ڈڈو پھر آ گیا تو ھمارے گھر لڑائی پڑوانے,N
اے آروائی اربوں خرچ کرکے بھی اتنی پبلیسٹی حاصل نہیں کرسکتاتھاجتنی لوھارراج کے شاہ لوہا نواز اسے بند کرکے دے رھے ھیں,N
سارے پاکستا کو پتا ھے دونوں بڑی پارٹیاں مل کر کس طرح پاکستان پر زبردستی قابض ھیں اب پولیس عوام کے حقوق صلب جرتی ھے پیمرا نیپرا نادرا نو میرٹ,N
مریم نواز نے کہا کہ استعفی مانگنے والے اب چندہ مانگ رہے ہیں واقعی اگر عمران نے بھی نواز کی طرح منی لانڈرنگ کی ہوتی تو چندہ نہ مانگ رہا ہوتا,N
جس کام کے بارے میں آپ سوچنا نہیں چھوڑ سکتے اس کام کو پایہ تکمیل تک پہنچانے کیلئے کوشش کرنا بھی نہ چھوڑیئے,N
یاسرٹھیک ھے ذوالفقار کے پلے کچھ نہیں ایجڈ بھی ھے فاسٹ بالروں کاتواللہ ھی حافظ ھے,N
سائن آوٹ کرو اور کوئی اچھی سی کتاب پڑھو آپ زیادہ آوٹنگ نہیں کرتے شائد ٹویٹر سے باھر بھی نکلا کرو,P
تئیس اکتوبر کو عوامی تحریک کے جلسے کے لیے ایبٹ آبادجاؤں گا طاہر القادری,P
رانا مشہود نہیں رانا مشکوک,N
وقت کا تقاضا ہے کہ وسائل کی منصفانہ تقسیم کے لیے انتظامی بنیادوں پر صوبے بنائے جائیں انھیں مالی وسیاسی اختیارات دئے جائیں وفاق مشترکہ وحدت بنے,P
حکومتوں سے الگ ہونے کا فیصلہ حتمی ہے رہنما ایم کیوایم فاروق ستار,N
احتجاج احتجاج احتجاج مہاجر قوم اپنی نسلوں کی بقا کيلئے گھروں سے باہر نکليں کليم الطافی,N
گھر سے استنجا اور وضو کر کے مسجد آنا احادیث مبارکہ سے یہ ثابت ھوتا ھے کہ وضو اور استنجا گھر سے کرکے جانا,P
اپنے عزیزوں کو نشے کی لعنت سے بچائیں,P
ہاہاہا ہزارہ تو کھڑا ہے کیا حضرت صاب بھی کھڑے ہیں یا انہیں بھی ر لانے کا پلان ہے,N
چلو کوئ نہیں پٹوارہوں سے خود تو کچھ ہوتا نہیں ہماری وجہ سے تھوڑی دیر خوش ہونے دو,P
پارلیمنٹ صوبائی اسمبلیاں وفاقی اور صوبائی حکومتیں عوام کی پریشانیوں اور معاشرے کی بدترین ٹوٹ پھوٹ سے بے خبر ہیں,N
لاہور پیپر ری چیکننگ کی چار ہزار پانچ سو درخواستیں موصول ہوئے ہیں لاہور بورڈ,N
کوئی بھی شخص اس غلط فہمی میں نہ رہے,P
لاہور بادامی باغ سے مردہ جانوروں کا گوشت پکڑا گیا دو افراد گرفتارلاہور تاندلیانوالہ نیوز سے لاہور میں مردہ,N
مشرف کے دوست شیرافگن نے کہا تھا کہ فضل الرحمن کواس شرط پر اپوزیشن لیڈر بنایا گیا تھا کہ وہ مشرف کی پالیسیوں کی حمایت کریں گے ڈیزل کی اصلیت,P
سال بعد مگر انصاف مل گیادہلی کی ایک عدالت نے اجتماعی ریپ کیس کے تمام پانچ قصورواروں کو عمر قید کی سزا سنائی ہے,P
گلی گلی نگر نگر عمر عمر سیدنا عمر فاروق رضی اللہ تعالی عنہگلی گلی نگر نگر عمر عمر سیدنا عمر فاروق رضی اللہ تعالی عنہ,P
ایم کیو ایم کو منانے کی کوئی کوشش نہیں کی رحمان ملکگویا اس بار خود ہی ذلیل ہو کہ واپس آ جاویں گے جیسے طاھرکینیڈوی ذلیل و رسوا ہو کہ آ گئے,N
اے شفقت اے ھن جناب دیناراض نا ہونا مرا ویر,P
رسول اللہﷺ کے اخلاق یہ تھے کہا گر کوئی آدمی آپ کی طرف منہ کرکے بات کرتاتو آپ اس کی طرف متوجہ ہی رہتے یہاں تک کہ فارغ ہوکروہی آدمی چہرہ پھیرلیتا,P
دعا ایسا خوبصورت عمل ہے جس میں مانگنے والا اپنی پریشانیاں اور مشکلات,P
خواجہ صاحب بارش آ گئئ ساڈے لائق کوئئ ہور حکم,P
کیا زبردست دن تها آج پاکستان کرکٹ ٹیم کے لیے پہلے تو احمد,P
پانی سرسے گزرچکاہے فیصلہ تبدیل ہونے کا امکان نہیں فاروق ستار,N
ایم کیوایم ڈسٹرکٹ ملتان کے صدر ذیشان دلاور قریشی کی والدہ محترمہ کے انتقال پر رابطہ کمیٹی کااظہار تعزیت,N
شیری مزاری نے پاکستان میں تیل کی کھداٴں ی سے پہلے ناگن ڈانس کیا کریں گی چندے سے انقلاب,P
لاہور پسند کی شادی کرنے والی لڑکیاں پہلے حالات کیوں نہیں سمجھتیں جسٹس قاسم خان,N
اعصاب شکن میچ میں کپتان ایسی ہی غلطیاں کرتا ہے عمران خان,N
عربی سیکھو اس لیے کہ وہ عقل میں پختگی اور مرو ت میں زیادتی پیدا کرتی ھے سیدنا عمر فاروق,P
کینیڈا کی پارلیمنٹ میں فائرنگ کی ویڈیو جاری کینیڈا کی پولیس نے پارلیمنٹ پر حملے کی ویڈیو جاری,N
سرجی مسکین لوگ آں اسی ڈان کتھوں ہو گئے,N
ﻣﯿﺮﺍ ﺭﺭﻟﭧ ﺩﯾﮑﮫ ﮐﺮ ﻣﯿﺮﮮ ﺍﺑﻮ ﻧﮯﺻﺮﻑ ﺍﺗﻨﺎ ﮨﯽ ﮐﮩﺎﻓﺮﺍﺯﺑﮓ ﺑﻮﺱ ﭼﺎﮨﺘﮯ ﮨﯿﮟ ﮐﮧ ﺁﭖ ﺍﺱ ﮔﮭﺮﺳﮯ ﺍﺑﮭﯽ ﺍﻭﺭ ﺍﺳﯽ ﻭﻗﺖ ﺩﻓﻌﮧﮨﻮﺟﺎﺋﯿﮟ,N
نا اہلی اور رکنیت معطلی کے باوجود بھی افس پر قبضہ کیے ہوئے ہیں قبضہ گروپ اپنی سیٹوں کو چھوڑنے والے نہیں تحریک,N
جس دن ہم میں دین کا فہم پیدا ہو جائے گا اس دن سارے مولویوں کو اپنی اپنی دوکانیں بند کر کے بهاگنا پڑ جائے گا,N
قادری صاحب سمجھ تے تسی گے ہو گے,P
فتح حق اورسچ کی ہوئی الطاف حسین کورابطہ کمیٹی کی مبارکباد,P
شہدا نے پکارا ہے تم کوفردوس کے بالا خانوں سے ہم راہ وفا میں کٹ آے تم کوپیارہے ابھی تک اپنی جانوں سے ذوالحج یوم شھادت محمد عثمان باغائي,P
چھاپہ مار ٹیم نے ٹاپ ٹریٹمنٹ کے نام سے قائم فیکٹری کو سیل کردیا,N
ﻻﮨﻮﺭ ﺿﻠﻌﯽ ﺍﻧﺘﻈﺎﻣﯿﮧ ﮐﺎ ﺭﻧﮓ ﺭﻭﮈ ﺑﺎﺩﺍﻣﯽ ﺑﺎﻍ ﮐﮯ ﻗﺮﯾﺐ ﭼﮭﺎﭘﺎ ﻓﺮﻭﺧﺖ ﮨﻮﻧﯿﻮﺍﻟﮯﮔﻮﺷﺖ ﻣﯿﮟ ﻣﺮﺩﮦ ﮔﮭﻮﮌﮮ ﺍﻭﺭﮔﺪﮬﮯ ﮐﺎ ﮔﻮﺷﺖ ﺑﮭﯽ ﺷﺎﻣﻞ,N
اے اللہ تیری ذات پاک ہے خوبیوں والیاور تیرا نام برکت والااور تیری شان اونچی ہے اور تیرے سوا کوئی معبود نہیں,P
ﺩﺑﺌﯽ ﭨﯿﺴﭧ ﮐﮭﺎﻧﮯ ﮐﮯ ﻭﻗﻔﮯ ﭘﺮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ ﻭﮐﭧ ﭘﺮ ﺭﻧﺰﺍﻇﮩﺮ ﻋﻠﯽ ﺍﻭﺭ ﯾﻮﻧﺲ ﺧﺎﻥ ﺭﻧﺰ ﭘﺮ ﻧﺎﭦ ﺁﺅﭦ,P
دبئی ٹیسٹ یونس خان کے نام ٹیسٹ کے دونوں اننگز میں سنچری لگاکر پاکستان کی تاریخ میں سب سے زیادہ سنچریاں بنانے والے کھلاڑی بن گئے,P
حضرت عمر اکثر کہا کرتے تھے اے عمر تجھے تو اونٹ چلانے نہ آتے تھے آج اسلام نے تجھے کہاں پہنچا دیا,P
باجوڑ ایجنسی میں پولیو ٹیم پر حملہ دو لیوی اہلکار زخمی,N
لاہور میٹرو بس میں آمدن کروڑ روپے اخراجات ارب کروڑ روپے نقصان ارب کروڑ روپے حکومتی اعدادوشمار,N
سال کی عمر میں بھٹو پہلی مرطبہ منظر عام پر آیا جنرل ایوب خان کی حکومت کا وزیر پٹرولیم بن کے یعنی اپنی محنت سے نہیں,N
دہشتگردی میں جاں بحق گریڈ ایک سے کے ملازمین کے اہلخانہ کو لاکھ روپے امداد ملے گی,N
ہلکی غذا لو سوپ پیو,P
نیوز سنگدل شخص نے بیوی اور بچے کو فائرنگ کرکے قتل کردیا پاکستان,N
ایدھی سنٹر ڈکیتی مرکزی ملزم سابقہ ملازم گرفتار کراچی شہر قائد میں ایدھی ٹرسٹ کے ہیڈ آفس میں ڈکیتی کرنے,N
مسائل سے آگاہی کا شور تو آپ بهی دل کهول کر بیان کرتے ہیں آپ کیوں کوئ حل نہیں بتاتے یہ ملک صرف سیاست دانوں کا ہی ہے جاوید چوہدری صاحب,N
آیا نہ ہوگا اسطرح حسن و شباب ریت پر گلشن بتول کے تهے سارے گلاب ریت پر عشق میں کیا لٹائیے عشق میں کیا بچائیے آل نبی نے لکھا سارا نصاب ریت پر,P
قادری صاحب اور ڈیل ہرگز نہیں,N
پشاور پولیو مہم لاکھ سے زائد بچوں کو پولیو قطرے پلائے گئے پشاور پشاور میں پولیو مہم,P
پاکستان کا معاشی حب کراچی ہے خالد مقبول صدیقی,P
ایدھی سنٹر میں ڈاکے کا مرکزی ملزم سابق ملازم نکلا,N
ویسے تو زندگی موت اللہ کے ہاتھ میں هے لیکن بلٹ پروف گاڑی کو داد نہ دینا بهی زیادتی ہوگی آج یہودیوں کی بنائی ہوئی,N
غلط انسان سے ریٹ پوچھ رہے کیا پتا زیادہ ریٹ بتادے اصل ریٹ ٹویٹ والی سرکار سے پوچھیے,N
ظلم آ سدھو سانوو,N
کامران شفیع کا کہنا تھا کہ پاکستان میں پانچ لاکھ سے زائد افراد آن لائن کام کرکے پاکستان کے زر مبادلہ میں اضافے کا سبب بن رہے ہیں,P
انل نریندر بچوں کے جنسی استحصال کے بڑھتے واقعات باعث تشویش مس,N
ﻓﻀﺎ ﺳﮯ ﮔﺮﺍﯾﺎ ﮔﯿﺎ ﺍﻣﺮﯾﮑﯽ ﺍﺳﻠﺤﮧ ﺩﻭﻟﺖﺍﺳﻼﻣﯿﮧ ﮐﮯ ﮨﺎﺗﮫ ﻟﮓ ﮔﯿﺎ ﺭﭘﻮﺭﭦ,N
برطانوی فوج نے افغانستان میں آخری اڈاہ بھی خالی کردیا,P
لاہور رانا ثنااللہ کو نوٹس پنجاب اسمبلی سیکرٹریٹ کے پتے پر بھجوا دیاگیا,N
تو کیا آپ یه کهنا چاهتے هیں که دهشتگردی روکنے کیلئے ضرب عضب آپریشن روکنا هو گا,N
رقم کچھ زیاده کریں پهر خاں صاحب سے بات کرتے ہیں,N
سلیکٹرز یونس خان کی جانب سے ایک اور سینچری,P
جو ب رائی کو نہیں پہچانتا وہ زیادہ قریب ھے کہ ا س میں واقع ھو جائے سیدنا عمر فاروق,N
فلمی ستارے تو ان علماے کرام کی دینی خدمات اور شخصیت سے متاثر ہو کر از خود کھنچے چلے آتے ہیں,P
وزیر اعظم کی زیر صدارت پارلیمانی رہنماؤں کا اجلاس,P
طارق بن زیاد اگر آج زندہ ہوتے تو عمران خان کو اتنا ضرور کہتے کہ بیٹا کشتیاں جلانے میں اورلڑکیاں نچانے میں بہت بڑا,N
ﻣﺮﯾﻢ ﻧﻮﺍﺯﮐﯽ ﯾﻮﺗﮫ ﻟﻮﻥ ﺍﺳﮑﯿﻢ ﮐﯽ ﭼﯿﺮﭘﺮﺳﻦ ﺗﻌﯿﻨﺎﺗﯽﮐﮯﺧﻼﻑ ﺩﺭﺧﻮﺍﺳﺖ ﮐﯽ ﮨﺎﺋﯿﮑﻮﺭﭦ ﻣﯿﮟ ﺳﻤﺎﻋﺖﻣﺮﯾﻢ ﻧﻮﺍﺯ ﮐﯽ ﺗﻘﺮﺭﯼ ﮐﺲ ﺑﻨﯿﺎﺩ ﭘﺮ ﮐﯽ ﮔﺌﯽ ﺟﺴﭩﺲ ﻣﻨﺼﻮﺭ ﻋﻠﯽ,N
ایک سے گریڈ کے ملازمین کے انتقال پر خاندان کو لاکھ روپے دیے جائیں گے,N
ساحر لدھانیوی عصمت چغتائی راجندر سنگھ بیدی علی سردار جعفری اور دیگر ترقی پسند ادیب ساحل سمندر پر اکٹھے ہیں,P
خواجہ سرا آصف شرم کرو,N
ایک شرابی کے ہاں ہر وقت شراب کا د ور رہتا تھا ایک مرتبہ اس کے دوست احباب جمع تھے شراب تیار تھی اس نے اپنے غلام,N
صرف فیصد کے بل زیادہ آئے انھوں نے بجلی زیادہ استعمال کی خواجہ آصف,N
ﻣﺎﺩﺭ ﺟﻤﮩﻮﺭﯾﺖ ﺑﯿﮕﻢ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﮧﺒﺣﺎﺍﯾﺮﺍﻥ ﮐﯽ ﺑﯿﭩﯽ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ﯽﻨﺑ ﮞﺎﻣﺍﻧﮩﻮﮞ ﻧﮯ ﺳﻘﻮﻁ ﮈﻫﺎﮎ ﮐﮯ ﺑﻌﺪ ﺑﮑﻬﺮﮮ,P
بنوں میں دوستانہ میچ آئی ڈی پیز کی شاہد آفریدی الیون نے جیت لیا,P
ایسا ا سان حدف بچوں والا میچ ہو گیا یہ تو ہا ہا ہا ہا ہا,P
پی ٹی آئی کا استعفے واپس نہ لینے کا اعلان,P
ان کا کام ہی لوٹنا ہے,N
نہیں میں شیو نہیں کرتا صرف ٹویٹ کرتا ہوں بغیر ٹائپو والی ڈ,N
اپنے باپ شوبازشریف کو بول پہلے وہ پنجاب کو بچالے اور تو اپنی بجلی پر توجہ دے ماما نا بن خیبر پختونخواہ کا جعلی معزز بهڑوے سالے,N
ڈالر کا کمال هے جناب,P
میں نے پوچھا کہ زندگی کیا ہے ہنس دئیے پھول رو پڑی شبنم,N
م جھے کر عطا اے میرے اللہ تو بہت بندہ نواز ہے میری ہر صبح محتاج ہے تیری رحمتوں کے نزول کی دعا پینڈو,P
پیار بھرے دو شرمیلے نین چندے سے انقلاب,P
دریا کی طرح خاموش نہ تھاجن کو بلا کا چاہتا تھاان ہی کے طعنے بھی سنتا تھادنیا نے اسے کچھ نہ دیا,P
چندے سے انقلاب نہیں لایا جاسکتا اور نہ بندے ا ٹھانے سے انہیں چ پ کروایا جا سکتا ہے,N
لوگوں پر ایک ایسا زمانہ آنے والا ہے کہ جس میں آدمی کو پرواہ نہیں ہوگی کہ جو وہ لے رہا ہے آیا کہ حلال ہے یا حرام صحیح بخاری,N
ڈاکٹر طارق سلیم کو امیر ضلع گجرات منتخب ہو گئے,P
تے چاچے قادری نو ں ایویں ای چھڈ دینا اے,P
آج سے بیس سال پہلے ایک عزیز تعلیم کے سلسلے میں امریکہ میں مقیم تھا,P
خواجہ عمران نذیر نے مریضوں سے علاج معالجے کی سہولتوں سے متعلق دریافت کیا,P
م قر وض کے ب گڑے ہ وئے حالات کی مان ند م جب ور کے ہ ونٹ وں پہ س والات کی مان ندد ل کا ت یری چاہ ت میں ع ج ب حال,N
اپ ڈیٹ کرو ٹھیک ہو جائے گا,P
گنجو کا فوٹو شوٹ تو هو گیا نا,P
دہشتگردی میں جاں بحق گریڈ سے اوپر کے ملازمین کے اہلخانہ کو ایک کروڑ روپے امداد ملے گی,P
جوانوں حاضری لگانے کا وقت هو چکا هے آفواج پاکستان زندہ باد,P
جب زخم ناسور بن جائیں تو زخم لگانے والے کو فراموش کرنا نا ممکن ہوجاتا ہے یہ بات وہی سمجھ سکتا ہے جو زخم اٹھاتا ہے,N
لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا,P
دنیا نے کس کا راہ وفا میں دیا ہے ساتھتم بھی چلے چلو یوں ہی جب تک چلی چلے,P
یہقاں تو فالوور بھی جان کو اٹک جاتا ہے لیڈر سے سوال کرنے کی کون جرا ت کر سکتا ہے,N
پاکستان کو میچ جتنے کیلے تین ویکٹس کی ضرورت میچ ہاتھ میں ہے ابھی بھی,P
ہر اک کو اپنی پڑی ہے میری فکر ہی نہیں,N
کچه اور چیز هے شاید تیری مسلمانیتیری نگاه میں هے ایک فقیر و رهبانیسکوں پرستی راهب سے فقیر هے بیزارفقیر کا هے سفینه همیشہ طوفانی,N
پیپلز پارٹی کی جانب سے الطاف حسین کے خلاف تضحیک آمیز رویہ اپنایا گیا مزید پڑھئے,N
سرچ انجن گوگل کے نائب صدر نے فضا میں فٹ کی بلندی پر چھلانگ لگا کر عالمی ریکارڈ قائم کرلیا چھلانگ کی,P
تبدیلی ڈول بجانے سے نہیں آتی عملی کام کرنے سے آتی ھے,P
انشا اللہ بابے دا ڈیرہ سے تا ریخی قافلہ گجرات جلسہ میں شر کت کر ے گا ملک چاند محبوب,P
سن رھا ھے تو دیکھ رھی ھو ں میں,P
آپ کس چينل پر آتے ہو ٹائم اور چینل بتا دو دیکھ لیا کرو گا,P
دیکوں دیکوں کون ایا شیر کا شکاری ایا,N
راؤ جانی اس پر روشنی ڈالے گا میرے لیول سے اوپر کی گیم ہے یہ,N
تحریک انصاف استعفوں کے موقف پر قائم ہے نظام کی تبدیلی چاہتے ہیں شیریں مزاری,P
بنوں میں مکانات کے کرائے بڑھ گئے متاثرین بکاخیل کیمپ جانے پر مجبور,N
مک جائے نام تیرا سیاست کے فسانے سے تیرا رونا ہی بنتا ہے زمانے میں,N
لاہور بڑا ہسپتال نہیں سیالکوٹ اور ہارون آباد میں چھوٹے یونٹس بنا رہی ہوں میرا,P
میٹرو بس منصوبہ ایک ارب کروڑ لاکھ روپے سالانہ خسارے میں چل رہا ہے دستاویز,N
جس قسم گندے الفاظ فضلو نے دھرنے کی خواتین کے بارے میں استعمال کئے اس پر تمام سیاسی اور مزھبی جماعتوں کو انکا بائکاٹ کرنا چاہئے,N
اپ مدعا سمجھے ہی نہیں,P
یونس خان آسٹریلیا کے خلاف ایک ٹیسٹ میں دو سنچریاں سکور کرنیوالے چالیس سال میں پہلے کھلاڑی بن گئے,N
غازی تربیلہ اسکول میں بجلی کا تار گرگیا طلبہ جھلس کرزخمی,N
قاتل بھی تم مقتول بھی تم ظالم بھی ہم اور مظلوم بھی تم,N
انقلاب دھرنا ڈیل ماڈل ٹاﺅن میں جاں بحق ہونے والوں کوخون بہادینے کے علاوہ قادری کوعلیحدہ سے ستر کروڑدینے کابھی یقین دلایاگیا رپورٹ,N
پیمرا کے ایکشن پر پرزور مذمت کرتے والوں کو آج سانپ سونگھ گیا کیا کراچی کے اکثر علاقوں میں نیوز چینلز کی نشریات بند,N
لوگو کتاب کا خزانہ ہو جاؤ اور علم کے چشمے بن جاؤ اور روزانہ اللہ سے روزی مانگو اگر تمہارے پاس بہت زیادہ روزی نہیں تو کوئی نقصان نہیں عمر,P
ا س آدمی نے ا س سالار کو کافی معقول ٹپ دی ہے,P
چندے سے انقلاب لانے سے بہتر ہے کے ہم کسی مستحق کی امداد کریں اور اسکی زندگی کو خوشحال کر دیں,P
انصافی ٹائگر عمران خان کے معذور افراد کے ساتھ گزرے سب سے قیمتی,P
مگر ہم بیان ہوں کیسے رسوائیوں سے ڈرتا ہوں شاید,N
رسول اللہ صلی اللہ علیہ وسلم نے سودکھانے والے اس کے وکیل اسکے کاتب اور اس کے گواہ پر لعنت فرمائی ہے اور فرمایا کہ وہ سارے برابر ہیں مسلم,P
اتفاق سے میں پرچہ حل کرنے کیلئے جارہاہوں دو بجے پیپر ہ,P
خواب ہوتے ہیں دیکھنے کے لئے ان میں جا کر مگر رہا نہ کرومنیر نیازی,N
